ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Levon Vincent - Levon Vincent,388,,,,,,,,,,,,,,,,,,21,,,,21.00,21,72.3,1,0
Andrew Combs - All These Dreams,22,22,,,,,,,,,,,,,,,,,,,,,22.00,22,72.35,1,0
Hoor House - Chiltern,404,,,,,,,,,,,,,,,,,,,,22,,22.00,22,72.35,1,0
Mark Knopfler - Tracker,191,,,,,,,,23,,,,,,,,,,,,,,23.00,23,72.4,1,0
WIDT - WIDT,308,,,,,,,,,,,,,,23,,,,,,,,23.00,23,72.4,1,0
Little Simz - A Curious Tale of Trials + Persons,332,,,,,,,,,,,,,,,23,,,,,,,23.00,23,72.4,1,0
Public Service Broadcasting - The Race for Space,119,,,,24,,,,,,,,,,,,,,,,,,24.00,24,72.45,1,0
Tribulation - The Children of the Night,175,,,,,,,24,,,,,,,,,,,,,,,24.00,24,72.45,1,0
Tinashe - Amethyst,210,,,,,,,,,24,,,,,,,,,,,,,24.00,24,72.45,1,0
Julio Bashmore - Knockin' Boots,382,,,,,,,,,,,,,,,,,,24,,,,24.00,24,72.45,1,0
Golden Teacher - Sauchiehall Enthrall,405,,,,,,,,,,,,,,,,,,,,24,,24.00,24,72.45,1,0
Steve Earle & The Dukes - Terraplane,25,25,,,,,,,,,,,,,,,,,,,,,25.00,25,72.5,1,0
Darlene Love - Introducing Darlene Love,192,,,,,,,,25,,,,,,,,,,,,,,25.00,25,72.5,1,0
Lone Bellow - Then Came the Morning,272,,,,,,,,,,,,25,,,,,,,,,,25.00,25,72.5,1,0
Africa Express Sound System - Terry Riley's in C Mali,342,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Anthony DeMare - Liasons,343,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Boston Modern Orchestra Project - Andrew Norman: Play,344,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Brandi Carlile - The Firewatcher's Daughter,345,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Carla Morrison - Amor Supremo,346,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Cecile McLoren Salvant - For One to Love,347,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Christian Scott - Stretch Music,348,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Dayme Arocena - Nueva Era,349,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Dead to a Dying World - Litany,350,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
DJ Sotofett - Drippin' for a Tripp,351,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
ICE - In the Light of Air,352,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Joan Shelley - Over and Even,353,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Sam Lee & Friends - The Fade in Time,354,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
San Francisco Symphony - Adams: Absolute Jest...,355,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
The Beauty Pill - The Beauty Pill Describes Things As...,356,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Vijay Iyer Trio - Break Stuff,357,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Worriers - Imaginary Life,358,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
Xaos - Xaos,359,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.5,1,0
J.G. Biberkopf - Ecologies,376,,,,,,,,,,,,,,,,,,25,,,,25.00,25,72.5,1,0
"William Parker - For Those Who Are, Still",406,,,,,,,,,,,,,,,,,,,,25,,25.00,25,72.5,1,0
Chemical Brothers - Born in the Echoes,98,,,26,,,,,,,,,,,,,,,,,,,26.00,26,72.55,1,0
Erykah Badu - But You Caint Use My Phone,251,,,,,,,,,,,26,,,,,,,,,,,26.00,26,72.55,1,0
Father - Who's Gonna Get Fucked First?,373,,,,,,,,,,,,,,,,,,26,,,,26.00,26,72.55,1,0
Deslondes - The Deslondes,27,27,,,,,,,,,,,,,,,,,,,,,27.00,27,72.6,1,0
Eric Church - Mr. Misunderstood,193,,,,,,,,27,,,,,,,,,,,,,,27.00,27,72.6,1,0
Towkio - .wav Theory,212,,,,,,,,,27,,,,,,,,,,,,,27.00,27,72.6,1,0
Braids - Deep in the Iris,230,,,,,,,,,,27,,,,,,,,,,,,27.00,27,72.6,1,0
Susanne Sundfør - Ten Love Songs,252,,,,,,,,,,,27,,,,,,,,,,,27.00,27,72.6,1,0
Steven Wilson - Hand. Cannot. Erase.,361,,,,,,,,,,,,,,,,,27,,,,,27.00,27,72.6,1,0
Murlo - Odyssey,389,,,,,,,,,,,,,,,,,,27,,,,27.00,27,72.6,1,0
Visionist - Safe,407,,,,,,,,,,,,,,,,,,,,27,,27.00,27,72.6,1,0
Eskimeaux - O.K.,176,,,,,,,28,,,,,,,,,,,,,,,28.00,28,72.65,1,0
Guantanamo Baywatch - Darling...It's Too Late,273,,,,,,,,,,,,28,,,,,,,,,,28.00,28,72.65,1,0
Hey Colossus - Radio Static High,310,,,,,,,,,,,,,,28,,,,,,,,28.00,28,72.65,1,0
Cloud Rat - Qliphoth,333,,,,,,,,,,,,,,,28,,,,,,,28.00,28,72.65,1,0
Various Artists - Gqom Oh! The Sound of Durban Vol. 1,394,,,,,,,,,,,,,,,,,,28,,,,28.00,28,72.65,1,0
Six Organs of Admittance - Hexadic,408,,,,,,,,,,,,,,,,,,,,28,,28.00,28,72.65,1,0
Lucero - All a Man Should Do,29,29,,,,,,,,,,,,,,,,,,,,,29.00,29,72.7,1,0
Ought - Sun Coming Down,177,,,,,,,29,,,,,,,,,,,,,,,29.00,29,72.7,1,0
FIS - The Blue Quicksand is Going Now,374,,,,,,,,,,,,,,,,,,29,,,,29.00,29,72.7,1,0
Aphex Twin - Computer Controlled Acoustic Instruments Pt 2,409,,,,,,,,,,,,,,,,,,,,29,,29.00,29,72.7,1,0
Bill Fay - Who is the Sender?,51,,30,,,,,,,,,,,,,,,,,,,,30.00,30,72.75,1,0
Staves - If I Was,178,,,,,,,30,,,,,,,,,,,,,,,30.00,30,72.75,1,0
Nathaniel Rateliff & The Night Sweats - S/T,274,,,,,,,,,,,,30,,,,,,,,,,30.00,30,72.75,1,0
My Disco - Severe,311,,,,,,,,,,,,,,30,,,,,,,,30.00,30,72.75,1,0
Kode9 - Nothing,385,,,,,,,,,,,,,,,,,,30,,,,30.00,30,72.75,1,0
Dwight Yoakam - Second Hand Heart,31,31,,,,,,,,,,,,,,,,,,,,,31.00,31,72.8,1,0
Wire - Wire,100,,,31,,,,,,,,,,,,,,,,,,,31.00,31,72.8,1,0
Bell Witch - Four Phantoms,231,,,,,,,,,,31,,,,,,,,,,,,31.00,31,72.8,1,0
Airbird & Napolian - Mr. Foolish,255,,,,,,,,,,,31,,,,,,,,,,,31.00,31,72.8,1,0
Enya - Dark Sky Island,312,,,,,,,,,,,,,,31,,,,,,,,31.00,31,72.8,1,0
Junglepussy - Pregnant with Success,383,,,,,,,,,,,,,,,,,,31,,,,31.00,31,72.8,1,0
Trevor Jackson - Format,123,,,,32,,,,,,,,,,,,,,,,,,32.00,32,72.85,1,0
Yowler - The Offer,179,,,,,,,32,,,,,,,,,,,,,,,32.00,32,72.85,1,0
Cindy Lee - Malenkost,256,,,,,,,,,,,32,,,,,,,,,,,32.00,32,72.85,1,0
Charli XCX - Sucker,285,,,,,,,,,,,,,32,,,,,,,,,32.00,32,72.85,1,0
One More Grain - Grain Fever,313,,,,,,,,,,,,,,32,,,,,,,,32.00,32,72.85,1,0
Philip Jeck - Cardinal,410,,,,,,,,,,,,,,,,,,,,32,,32.00,32,72.85,1,0
Built to Spill - Untethered Moon,33,33,,,,,,,,,,,,,,,,,,,,,33.00,33,72.9,1,0
Joanna Gruesome - Peanut Butter,124,,,,33,,,,,,,,,,,,,,,,,,33.00,33,72.9,1,0
Jason Derulo - Everything is 4,157,,,,,,33,,,,,,,,,,,,,,,,33.00,33,72.9,1,0
Anthony Naples - Body Pill,257,,,,,,,,,,,33,,,,,,,,,,,33.00,33,72.9,1,0
Twerps - Range Anxiety,275,,,,,,,,,,,,33,,,,,,,,,,33.00,33,72.9,1,0
LA Priest - Inji,286,,,,,,,,,,,,,33,,,,,,,,,33.00,33,72.9,1,0
Chrononautz - Noments,314,,,,,,,,,,,,,,33,,,,,,,,33.00,33,72.9,1,0
Iron Maiden - The Book of Souls,334,,,,,,,,,,,,,,,33,,,,,,,33.00,33,72.9,1,0
Between The Buried And Me - Coma Ecliptic,362,,,,,,,,,,,,,,,,,33,,,,,33.00,33,72.9,1,0
Archy Marshall - A New Place 2 Drown,396,,,,,,,,,,,,,,,,,,,33,,,33.00,33,72.9,1,0
Shopping - Why Choose,125,,,,34,,,,,,,,,,,,,,,,,,34.00,34,72.95,1,0
Chastity Belt - Time to Go Home,147,,,,,,34,,,,,,,,,,,,,,,,34.00,34,72.95,1,0
Horrendous - Anareta,180,,,,,,,34,,,,,,,,,,,,,,,34.00,34,72.95,1,0
Marilyn Manson - The Pale Emperor,195,,,,,,,,34,,,,,,,,,,,,,,34.00,34,72.95,1,0
Pond - Man It Feels Like Space Again,287,,,,,,,,,,,,,34,,,,,,,,,34.00,34,72.95,1,0
Disclosure - Caracal,335,,,,,,,,,,,,,,,34,,,,,,,34.00,34,72.95,1,0
Rabit - Communion,164,,,,,,35,,,,,,,,,,,,,,,,35.00,35,73,1,0
Puff Daddy - MMM,215,,,,,,,,,35,,,,,,,,,,,,,35.00,35,73,1,0
Palehound - Dry Food,276,,,,,,,,,,,,35,,,,,,,,,,35.00,35,73,1,0
Coldplay - A Head Full of Dreams,288,,,,,,,,,,,,,35,,,,,,,,,35.00,35,73,1,0
Johann Johannsson - Sicario OST,379,,,,,,,,,,,,,,,,,,35,,,,35.00,35,73,1,0
Seymour Wright - Seymour Writes Back,411,,,,,,,,,,,,,,,,,,,,35,,35.00,35,73,1,0
Travi$ Scott - Rodeo,216,,,,,,,,,36,,,,,,,,,,,,,36.00,36,73.05,1,0
Molly Nilsson - Zenith,259,,,,,,,,,,,36,,,,,,,,,,,36.00,36,73.05,1,0
Battles - La Di Da Di,277,,,,,,,,,,,,36,,,,,,,,,,36.00,36,73.05,1,0
Karin Park - Apocalypse Pop,316,,,,,,,,,,,,,,36,,,,,,,,36.00,36,73.05,1,0
Johnny May Cash - My Last Days,380,,,,,,,,,,,,,,,,,,36,,,,36.00,36,73.05,1,0
Lnrdcroy - Much Less Normal,412,,,,,,,,,,,,,,,,,,,,36,,36.00,36,73.05,1,0
Emmylou Harris & Rodney Crowell - The Traveling Kind,37,37,,,,,,,,,,,,,,,,,,,,,37.00,37,73.1,1,0
Richard Hawley - Hollow Meadows,126,,,,37,,,,,,,,,,,,,,,,,,37.00,37,73.1,1,0
Fred Thomas - All are Saved,182,,,,,,,37,,,,,,,,,,,,,,,37.00,37,73.1,1,0
Ratatat - Magnifique,233,,,,,,,,,,37,,,,,,,,,,,,37.00,37,73.1,1,0
Knxwledge - Hud Dreems,260,,,,,,,,,,,37,,,,,,,,,,,37.00,37,73.1,1,0
Ksiezyc - Rabbit Eclipse,317,,,,,,,,,,,,,,37,,,,,,,,37.00,37,73.1,1,0
Laura Stevenson - Cocksure,336,,,,,,,,,,,,,,,37,,,,,,,37.00,37,73.1,1,0
Katie Dey - asdfasdf,384,,,,,,,,,,,,,,,,,,37,,,,37.00,37,73.1,1,0
Jürg Frey - Grizzana and Other Pieces,413,,,,,,,,,,,,,,,,,,,,37,,37.00,37,73.1,1,0
Drenge - Undertow,289,,,,,,,,,,,,,38,,,,,,,,,38.00,38,73.15,1,0
Guttersnipe - Demo,414,,,,,,,,,,,,,,,,,,,,38,,38.00,38,73.15,1,0
Roisin Murphy - Hairless Toys,103,,,39,,,,,,,,,,,,,,,,,,,39.00,39,73.2,1,0
Yumi Zouma - EP II,261,,,,,,,,,,,39,,,,,,,,,,,39.00,39,73.2,1,0
"Decemberists - What a Terrible World, What a Beautiful World",278,,,,,,,,,,,,39,,,,,,,,,,39.00,39,73.2,1,0
Membranes - Dark Matter/Dark Energy,318,,,,,,,,,,,,,,39,,,,,,,,39.00,39,73.2,1,0
Skyler Spence - Prom King,363,,,,,,,,,,,,,,,,,39,,,,,39.00,39,73.2,1,0
Valet - Nature,262,,,,,,,,,,,40,,,,,,,,,,,40.00,40,73.25,1,0
"Mika Vainio & Franck Vigroux - Peau Froide, Leger Soleil",319,,,,,,,,,,,,,,40,,,,,,,,40.00,40,73.25,1,0
Mgta - Exercises in Futility,338,,,,,,,,,,,,,,,40,,,,,,,40.00,40,73.25,1,0
William Basinski - Cascade,395,,,,,,,,,,,,,,,,,,40,,,,40.00,40,73.25,1,0
Allison Cameron & Contact - A Gossamer Bit,415,,,,,,,,,,,,,,,,,,,,40,,40.00,40,73.25,1,0
Aaron Lee Tasjan - In the Blazes,41,41,,,,,,,,,,,,,,,,,,,,,41.00,41,73.3,1,0
Ultimate Painting - Green Lanes,128,,,,41,,,,,,,,,,,,,,,,,,41.00,41,73.3,1,0
Pure Bathing Culture - Pray for Rain,263,,,,,,,,,,,41,,,,,,,,,,,41.00,41,73.3,1,0
"Robert Aiki, Aubrey Lowe & Ariel Kalma - FRKWYS Vol. 12",320,,,,,,,,,,,,,,41,,,,,,,,41.00,41,73.3,1,0
JT The Goon - King Triton,381,,,,,,,,,,,,,,,,,,41,,,,41.00,41,73.3,1,0
Jeremih - Late Nights: The Album,397,,,,,,,,,,,,,,,,,,,41,,,41.00,41,73.3,1,0
Best Coast - California Nights,145,,,,,,42,,,,,,,,,,,,,,,,42.00,42,73.35,1,0
Bicep - Just,264,,,,,,,,,,,42,,,,,,,,,,,42.00,42,73.35,1,0
Miley Cyrus - Miley Cyrus & Her Dead Petz,290,,,,,,,,,,,,,42,,,,,,,,,42.00,42,73.35,1,0
Eccentronic Research Council - Johnny Rocket...,321,,,,,,,,,,,,,,42,,,,,,,,42.00,42,73.35,1,0
Radu Malfatti - One Man and a Fly,416,,,,,,,,,,,,,,,,,,,,42,,42.00,42,73.35,1,0
Gospelbeach - Pacific Surf Line,43,43,,,,,,,,,,,,,,,,,,,,,43.00,43,73.4,1,0
Mark Ronson - Uptown Special,74,,43,,,,,,,,,,,,,,,,,,,,43.00,43,73.4,1,0
Years & Years - Communion,105,,,43,,,,,,,,,,,,,,,,,,,43.00,43,73.4,1,0
Selena Gomez - Revival,196,,,,,,,,43,,,,,,,,,,,,,,43.00,43,73.4,1,0
Bryson Tiller - T R A P S O U L,218,,,,,,,,,43,,,,,,,,,,,,,43.00,43,73.4,1,0
Tyler the Creator - Cherry Bomb,339,,,,,,,,,,,,,,,43,,,,,,,43.00,43,73.4,1,0
Ash Koosha - GUUD,369,,,,,,,,,,,,,,,,,,43,,,,43.00,43,73.4,1,0
Krallice - Ygg Huur,159,,,,,,44,,,,,,,,,,,,,,,,44.00,44,73.45,1,0
Caroline No - No Language,266,,,,,,,,,,,44,,,,,,,,,,,44.00,44,73.45,1,0
Purity Ring - Another Eternity,280,,,,,,,,,,,,44,,,,,,,,,,44.00,44,73.45,1,0
Kerridge - Always Offended Never Ashamed,322,,,,,,,,,,,,,,44,,,,,,,,44.00,44,73.45,1,0
Smurphy - A Shapeless Pool of Lovely Pale Colours...,392,,,,,,,,,,,,,,,,,,44,,,,44.00,44,73.45,1,0
Uwe Oberg - Work,417,,,,,,,,,,,,,,,,,,,,44,,44.00,44,73.45,1,0
Nora Jane Struthers & The Party Line - Wake,45,45,,,,,,,,,,,,,,,,,,,,,45.00,45,73.5,1,0
Prodigy - The Day is My Enemy,107,,,45,,,,,,,,,,,,,,,,,,,45.00,45,73.5,1,0
Fuzz - II,129,,,,45,,,,,,,,,,,,,,,,,,45.00,45,73.5,1,0
Seinabo Sey - Pretend,166,,,,,,45,,,,,,,,,,,,,,,,45.00,45,73.5,1,0
Madonna - Rebel Heart,197,,,,,,,,45,,,,,,,,,,,,,,45.00,45,73.5,1,0
Tei Shi - Verde,267,,,,,,,,,,,45,,,,,,,,,,,45.00,45,73.5,1,0
Cribs - For All My Sisters,291,,,,,,,,,,,,,45,,,,,,,,,45.00,45,73.5,1,0
Title Fight - Hyperview,340,,,,,,,,,,,,,,,45,,,,,,,45.00,45,73.5,1,0
Dâm-Funk - Invite the Light,364,,,,,,,,,,,,,,,,,45,,,,,45.00,45,73.5,1,0
Anamai - Sallows,368,,,,,,,,,,,,,,,,,,45,,,,45.00,45,73.5,1,0
Micachu and the Shapes - Good Sad Happy Bad,418,,,,,,,,,,,,,,,,,,,,45,,45.00,45,73.5,1,0
Punch Brothers - The Phosphorescent Blues,46,46,,,,,,,,,,,,,,,,,,,,,46.00,46,73.55,1,0
Liam Hayes - Slurrup,130,,,,46,,,,,,,,,,,,,,,,,,46.00,46,73.55,1,0
Olivia Chaney - The Longest River,142,,,,,46,,,,,,,,,,,,,,,,,46.00,46,73.55,1,0
Mount Eerie - Sauna,161,,,,,,46,,,,,,,,,,,,,,,,46.00,46,73.55,1,0
"Sorority Noise - Joy, Departed",186,,,,,,,46,,,,,,,,,,,,,,,46.00,46,73.55,1,0
Wale - The Album About Nothing,220,,,,,,,,,46,,,,,,,,,,,,,46.00,46,73.55,1,0
FIDLAR - Too,235,,,,,,,,,,46,,,,,,,,,,,,46.00,46,73.55,1,0
Stealing Sheep - Not Real,268,,,,,,,,,,,46,,,,,,,,,,,46.00,46,73.55,1,0
Beirut - No No No,282,,,,,,,,,,,,46,,,,,,,,,,46.00,46,73.55,1,0
Owiny Sigoma Band - Nyanza,323,,,,,,,,,,,,,,46,,,,,,,,46.00,46,73.55,1,0
Future Brown - Future Brown,365,,,,,,,,,,,,,,,,,46,,,,,46.00,46,73.55,1,0
Theo Burt - Gloss,393,,,,,,,,,,,,,,,,,,46,,,,46.00,46,73.55,1,0
Iris DeMent - The Trackless Woods,47,47,,,,,,,,,,,,,,,,,,,,,47.00,47,73.6,1,0
Death & Vanilla - To Where the Wild Things Are,131,,,,47,,,,,,,,,,,,,,,,,,47.00,47,73.6,1,0
James Taylor - Before This World,199,,,,,,,,47,,,,,,,,,,,,,,47.00,47,73.6,1,0
Pops Staples - Don't Lose This,283,,,,,,,,,,,,47,,,,,,,,,,47.00,47,73.6,1,0
HEALTH - Death Magic,341,,,,,,,,,,,,,,,47,,,,,,,47.00,47,73.6,1,0
Leila Abdul-Rauf - Insomnia,387,,,,,,,,,,,,,,,,,,47,,,,47.00,47,73.6,1,0
DJ Koze - DJ-Kicks,398,,,,,,,,,,,,,,,,,,,47,,,47.00,47,73.6,1,0
Keith Rowe & John Tilbury - Enough Still Not to Know,419,,,,,,,,,,,,,,,,,,,,47,,47.00,47,73.6,1,0
Glen Hansard - Didn't He Ramble,48,48,,,,,,,,,,,,,,,,,,,,,48.00,48,73.65,1,0
David Gilmour - Rattle That Lock,57,,48,,,,,,,,,,,,,,,,,,,,48.00,48,73.65,1,0
Brodinski - Brava,221,,,,,,,,,48,,,,,,,,,,,,,48.00,48,73.65,1,0
Angel Haze - Back to the Woods,236,,,,,,,,,,48,,,,,,,,,,,,48.00,48,73.65,1,0
Jaako Eino Kalevi - Jaako Eino Kalevi,325,,,,,,,,,,,,,,48,,,,,,,,48.00,48,73.65,1,0
C Duncan - Architect,366,,,,,,,,,,,,,,,,,48,,,,,48.00,48,73.65,1,0
Girl Band - Holding Hands with Jamie,133,,,,49,,,,,,,,,,,,,,,,,,49.00,49,73.7,1,0
Meek Mill - Dreams Worth More Than Money,222,,,,,,,,,49,,,,,,,,,,,,,49.00,49,73.7,1,0
White Reaper - White Reaper Does It Again,237,,,,,,,,,,49,,,,,,,,,,,,49.00,49,73.7,1,0
Danny L Harle - Broken Flowers,269,,,,,,,,,,,49,,,,,,,,,,,49.00,49,73.7,1,0
Bring Me The Horizon - That's the Spirit,292,,,,,,,,,,,,,49,,,,,,,,,49.00,49,73.7,1,0
Russell Haswell - As Sure As Night Follows Day,326,,,,,,,,,,,,,,49,,,,,,,,49.00,49,73.7,1,0
Flying Saucer Attack - Instrumentals 2015,420,,,,,,,,,,,,,,,,,,,,49,,49.00,49,73.7,1,0
Kristin Diable - Create Your Own Mythology,50,50,,,,,,,,,,,,,,,,,,,,,50.00,50,73.75,1,0
Yo La Tengo - Stuff Like That There,143,,,,,50,,,,,,,,,,,,,,,,,50.00,50,73.75,1,0
Drake & Future - What a Time to be Alive,223,,,,,,,,,50,,,,,,,,,,,,,50.00,50,73.75,1,0
Palmbomen II - Palmbomen II,270,,,,,,,,,,,50,,,,,,,,,,,50.00,50,73.75,1,0
Jeff Bridges - Sleeping Tapes,377,,,,,,,,,,,,,,,,,,50,,,,50.00,50,73.75,1,0
William Basinski - The Deluge,421,,,,,,,,,,,,,,,,,,,,50,,50.00,50,73.75,1,0
