ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Tobias Jesso Jr. - Goon,87,,46,,18,,,,,,23,,22,,,,,,,46,,,31.00,6.2,64,5,0
Ashley Monroe - The Blade,18,18,,,,,,,38,,,,37,,,,25,38,,,,,31.20,6.24,64.05,5,0
Titus Andronicus - The Most Lamentable Tragedy,24,24,,,,,32,17,,,9,,,,,,,,,,,,20.50,5.125,64.1,4,1
Rae Sremmurd - SremmLife,181,,,,,,,36,44,3,,48,,,,,,,,29,,,32.00,6.4,64.25,5,1
"John Grant - Grey Tickles, Black Pressure",67,,23,29,11,25,,,,,,,,,,,,,,,,,22.00,5.5,64.4,4,0
The Weeknd - Beauty Beyond the Madness,86,,45,,,,,,5,23,,,,19,,,,,,,,,23.00,5.75,64.6,4,1
Future - 56 Nights,213,,,,,,,,,33,,,,,,21,,,6,,33,,23.25,5.8125,64.65,4,1
A$AP Rocky - At.Long.Last.A$AP,203,,,,,,,,,7,45,,,12,,30,,,,,,,23.50,5.875,64.7,4,1
Young Thug - Barter 6,244,,,,,,,,,,,15,,44,,27,,,,14,,,25.00,6.25,65,4,0
Kelela - Hallucinogen EP,158,,,,,,25,,,38,,,,,,,,,8,31,,,25.50,6.375,65.1,4,1
Jessica Pratt - On Your Own Love Again,36,36,,36,,41,,,,,,47,23,,,,,,,,,,36.60,7.32,65.4,5,0
Ezra Furman - Perpetual Motion People,60,,31,30,4,43,,,,,,,,,,,,,,,,,27.00,6.75,65.4,4,1
Floating Points - Elaenia,120,,,,25,,,,,,,,,,,,25,,,20,46,,29.00,7.25,65.8,4,0
Panda Bear - Panda Bear Meets the Grim Reaper,141,,,,,45,,,,,,2,,,,,,,48,22,,,29.25,7.3125,65.85,4,1
Jazmine Sullivan - Reality Show,194,,,,,,,,32,16,,,,,,,25,,,44,,,29.25,7.3125,65.85,4,0
Adele - 25,42,42,,,,,,,2,4,,,,,,,,,,,,,16.00,5.333333333,66.15,3,2
FKA Twigs - M3LL155X,152,,,,,,38,,,30,,,,,,,,41,,16,,,31.25,7.8125,66.25,4,0
Car Seat Headrest - Teens of Style,183,,,,,,,39,30,,,,14,,,42,,,,,,,31.25,7.8125,66.25,4,0
Helm - Olympic Mess,300,,,,,,,,,,,,,,14,,,,18,,20,,17.33,5.777777778,66.35,3,0
