ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Suede - Night Thoughts,116,alternative rock,,33,,,,,,,,,,,,,36,,,,,,39,,,,,,,,,,,,,,,,,36.00,12,71.75,3,0
Klara Lewis - Too,386,dark ambient,,,,,,,,,,,,,,,14,,,,,,,,,,,,,45,49,,,,,,,,,36.00,12,71.75,3,0
Steve Hauschildt - Strands,526,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,28,,,17.50,8.75,71.80555556,2,1
Pangaea - In Drum Play,277,electronic,,,,,,,,,,27,,,,,,,,,,,,,,,,,,9,,,,,,,,,,18.00,9,71.83333333,2,1
Kadhja Bonet - The Visitor,313,soul,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,10,,18.00,9,71.83333333,2,1
Ian William Craig - Centres,389,ambient,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,28,,,,,,,,,18.00,9,71.83333333,2,1
Cavern of Anti-Matter - Void Beats/Invocation Trex,20,krautrock,20,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,71.86111111,2,0
Laura Cannell - Simultaneous Flight Movement,388,experimental,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,25,,,,,,,,,18.50,9.25,71.86111111,2,0
Marissa Nadler - Strangers,297,folk,,,,,,,,,,,,50,,,20,,,,,,,,,,43,,,,,,,,,,,,,37.67,12.55555556,71.88888889,3,0
Camp Cope - Camp Cope,395,indie rock,,,,,,,,,,,,,,,,37,,1,,,,,,,,,,,,,,,,,,,,19.00,9.5,71.88888889,2,1
Ngaiire - Blastoma,424,r&b,,,,,,,,,,,,,,,,,,31,,,,,,7,,,,,,,,,,,,,,19.00,9.5,71.88888889,2,1
GOAT - Requiem,174,psychedelic rock,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,20.00,10,71.94444444,2,0
Tacocat - Lost Time,232,indie pop,,,,,,,27,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,71.94444444,2,0
Death Grips - Bottomless Pit,204,hip hop,,,,,,50,,,,,,,,,,,,42,,24,,,,,,,,,,,,,,,,,,38.67,12.88888889,71.97222222,3,0
Mudcrutch - 2,215,americana,,,,,,29,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,10.5,72,2,0
Carly Rae Jepsen - EMOTION Side B,252,dance pop,,,,,,,,,49,,,43,,,,,,,,25,,,,,,,,,,,,,,,,,,39.00,13,72,3,0
Matmos - Ultimate Care II,387,glitch,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,29,,,,,,,,,21.00,10.5,72,2,0
Travis Scott - Birds in the Trap Sing McKnight,364,hip hop,,,,,,,,,,,,,,5,,,,,,,,,38,,,,,,,,,,,,,,,21.50,10.75,72.02777778,2,1
School of Seven Bells - SVIIB,417,dream pop,,,,,,,,,,,,,,,,,19,,,,24,,,,,,,,,,,,,,,,,21.50,10.75,72.02777778,2,0
Mark Pritchard - Under the Sun,4,ambient,4,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,22.50,11.25,72.08333333,2,1
Negative Gemini - Body Work,318,electronic,,,,,,,,,,,,21,,,,,,,,,,,,,,,,24,,,,,,,,,,22.50,11.25,72.08333333,2,0
Kaitlyn Aurelia Smith & Suzanne Ciani - Sunergy,366,electronic,,,,,,,,,,,,,,,46,,,,,,,,,,,,,41,,,,,,,33,,,40.00,13.33333333,72.08333333,3,0
Olympia - Self Talk,422,indie pop,,,,,,,,,,,,,,,,,,33,,,,,,12,,,,,,,,,,,,,,22.50,11.25,72.08333333,2,0
Future - EVOL,208,hip hop,,,,,,43,,,,,,,,,,,,,42,,,,,,,,,,,,,36,,,,,,40.33,13.44444444,72.11111111,3,0
De La Soul - and the Anonymous Nobody...,448,hip hop,,,,,,,,,,,,,,,,,,,,32,,45,,44,,,,,,,,,,,,,,40.33,13.44444444,72.11111111,3,0
Kero Kero Bonito - Bonito Generation,311,electropop,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,18,,,,,,23.50,11.75,72.13888889,2,0
75 Dollar Bill - Wood / Metal / Plastic / Pattern / Rhythm / Rock,161,psychedelic rock,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,24.00,12,72.16666667,2,0
Giggs - Landlord,175,hip hop,,,,27,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,24.00,12,72.16666667,2,0
Bat For Lashes - The Bride,434,art pop,,,,,,,,,,,,,,,,,,,47,,,,,,46,,,,,,,,,32,,,,41.67,13.88888889,72.22222222,3,0
BE - One,23,drone,23,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.25,2,0
Against Me! - Shape Shift With Me,290,punk rock,,,,,,,,,,,30,,,,,50,46,,,,,,,,,,,,,,,,,,,,,42.00,14,72.25,3,0
The Caretaker - Everywhere at the End of Time,385,experimental,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,35,,,,,,25.50,12.75,72.25,2,0
Show Me The Body - Body War,165,post-hardcore,,,,48,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50,13.25,72.30555556,2,1
Green Day - Revolution Radio,168,pop punk,,,,39,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50,13.25,72.30555556,2,0
Shackleton - Devotional Songs,383,experimental,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,35,,,,,,,,,26.50,13.25,72.30555556,2,0
William Bell - This Is Where I Live,121,soul,,38,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,13.5,72.33333333,2,0
Into It. Over It. - Standards,194,emo,,,,,35,,,,,,,,,,,,49,,,,,,,,,,,,,,45,,,,,,,43.00,14.33333333,72.33333333,3,0
Parker Millsap - The Very Last Day,295,singer-songwriter,,,,,,,,,,,11,,43,,,,,,,,,,,,,,,,,,,,,,,,,27.00,13.5,72.33333333,2,0
Modern Baseball - Holy Ghost,236,indie rock,,,,,,,,50,,,,,,,,43,,,,,,,,,,,,,,,37,,,,,,,43.33,14.44444444,72.36111111,3,0
Vince Staples - Prima Donna,503,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,13,,27.50,13.75,72.36111111,2,0
BADBADNOTGOOD - IV,616,nu jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,16,,27.50,13.75,72.36111111,2,0
Kornel Kovacs - The Bells,269,deep house,,,,,,,,,,48,,8,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,14,72.38888889,2,1
Katie Dey - Flood Network,249,indietronica,,,,,,,,18,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,72.41666667,2,0
Steven Julien - Fallen,270,deep house,,,,,,,,,,46,,,46,,,,,,,,,,,,,,,,,,,,,,40,,,44.00,14.66666667,72.41666667,3,0
Margaret Glaspy - Emotions and Math,227,indie rock,,,,,,,41,45,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,44.33,14.77777778,72.44444444,3,0
Aaron Lee Tasjan - Silver Tears,293,americana,,,,,,,,,,,18,,40,,,,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,72.44444444,2,0
The Radio Dept. - Running Out of Love,461,synthpop,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,9,,,,,,,,29.00,14.5,72.44444444,2,1
Oren Ambarchi - Hubris,543,krautrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,45,,,,,,29.50,14.75,72.47222222,2,0
Meilyr Jones - 2013,97,indie pop,,44,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,31.00,15.5,72.55555556,2,0
Biffy Clyro - Ellipsis,176,alternative rock,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,31.00,15.5,72.55555556,2,0
Bonnie Raitt - Dig In Deep,211,roots rock,,,,,,37,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,72.55555556,2,0
LVL Up - Return to Love,219,indie rock,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,31.00,15.5,72.55555556,2,0
Explosions in the Sky - The Wilderness,57,post-rock,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,31.50,15.75,72.58333333,2,0
Swet Shop Boys - Cashmere,171,hip hop,,,,36,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,72.58333333,2,0
Majid Jordan - Majid Jordan,348,electropop,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,13,,,,,,,31.50,15.75,72.58333333,2,0
Honeyblood - Babes Never Die,257,alternative rock,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,32.50,16.25,72.63888889,2,0
William Tyler - Modern Country,163,folk,,,21,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,33.00,16.5,72.66666667,2,0
Steve Gunn - Eyes on the Lines,124,singer-songwriter,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,34.00,17,72.72222222,2,0
Chairlift - Moth,399,synthpop,,,,,,,,,,,,,,,,33,,,,35,,,,,,,,,,,,,,,,,,34.00,17,72.72222222,2,0
Steve Mason - Meet the Humans,254,singer-songwriter,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,34.50,17.25,72.75,2,0
Lil Uzi Vert - Lil Uzi Vert vs. The World,362,hip hop,,,,,,,,,,,,,,20,,,,,,,,,,,,,,50,,,,,,,,,,35.00,17.5,72.77777778,2,0
Oathbreaker - Rheia,403,black metal,,,,,,,,,,,,,,,,20,,,50,,,,,,,,,,,,,,,,,,,35.00,17.5,72.77777778,2,0
MIA - AIM,451,electropop,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,44,,,,,35.00,17.5,72.77777778,2,0
Karl Blau - Introducing Karl Blau,556,alt-country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,42,,,,,35.00,17.5,72.77777778,2,0
Bastille - Wild World,173,synthpop,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,35.50,17.75,72.80555556,2,0
Norah Jones - Day Breaks,207,singer-songwriter,,,,,,46,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,35.50,17.75,72.80555556,2,0
Metallica - Hardwired...To Self-Destruct,212,heavy metal,,,,,,36,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,35.50,17.75,72.80555556,2,0
Crying - Beyond the Fleeting Gales,241,power pop,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,35.50,17.75,72.80555556,2,0
Warpaint - Heads Up,288,dream pop,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,32,,,,,,,35.50,17.75,72.80555556,2,0
Blossoms - Blossoms,87,indie rock,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,36.00,18,72.83333333,2,0
Alicia Keys - HERE,214,neo-soul,,,,,,32,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,36.00,18,72.83333333,2,0
LUH - Spiritual Songs For Lovers to Sing,24,indie rock,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,36.50,18.25,72.86111111,2,0
Lydia Loveless - Real,238,alt-country,,,,,,,,47,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.86111111,2,0
No Zu - Afterlife,425,indie,,,,,,,,,,,,,,,,,,30,,,,,,43,,,,,,,,,,,,,,36.50,18.25,72.86111111,2,0
Aesop Rock - The Impossible Kid,447,hip hop,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,27,,36.50,18.25,72.86111111,2,0
serpentwithfeet - blisters,505,art pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,24,,,,,,36.50,18.25,72.86111111,2,0
The Monkees - Good Times!,114,pop rock,,30,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,18.5,72.88888889,2,0
Mal Devisa - Kiid,246,alternative r&b,,,,,,,,29,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,37.00,18.5,72.88888889,2,0
Frightened Rabbit - Painting of a Panic Attack,261,indie rock,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,37.00,18.5,72.88888889,2,0
Dawes - We're All Gonna Die,205,pop rock,,,,,,49,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,72.94444444,2,0
Arabrot - The Gospel,391,noise rock,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.00,1,72.94444444,1,1
Mothers - When You Walk a Long Distance You Are Tired,99,indie rock,,,,,41,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,38.50,19.25,72.97222222,2,0
White Denim - Stiff,122,psychedelic rock,,39,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,38.50,19.25,72.97222222,2,0
Lolina - Live in Paris,585,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2.00,2,72.97222222,1,1
La Femme - Mystere,605,indie pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2.00,2,72.97222222,1,1
Kedr Livanskiy - January Sun,327,electronic,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,73,1,1
Joey Purp - iiiDrops,355,hip hop,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,42,,,,,,,39.00,19.5,73,2,0
Innercity Ensemble - III,390,jazz,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3.00,3,73,1,1
Susso - Keira,626,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3.00,3,73,1,1
A.B. Original - Reclaim Australia,431,hip hop,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4.00,4,73.02777778,1,1
Lorenzo Senni - Persona,527,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4.00,4,73.02777778,1,1
Arca - Entranas,584,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4.00,4,73.02777778,1,1
Twin Peaks - Down In Heaven,282,indie rock,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,30,,,,,,,40.00,20,73.05555556,2,0
Balance and Composure - Light We Made,565,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5.00,5,73.05555556,1,1
PNL - Dans La Legende,604,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5.00,5,73.05555556,1,1
Barbara Hannigan - Let Me Tell You,347,classical,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,73.08333333,1,1
Zeal and Ardor - Devil Is Fine,407,black metal,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.00,6,73.08333333,1,1
The Rolling Stones - Blue & Lonesome,221,rock,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.11111111,1,1
DIANA - Familiar Touch,326,synthpop,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.11111111,1,1
Ital Tek - Hollowed,466,IDM,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7.00,7,73.11111111,1,1
James Ferraro - Human Story 3,583,modern classical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7.00,7,73.11111111,1,1
Lucy Dacus - No Burden,235,singer-songwriter,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.13888889,1,1
The Last Shadow Puppets - Everything You've Come To Expect,420,indie rock,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,44,,,,41.50,20.75,73.13888889,2,0
Charli XCX - Vroom Vroom,582,electropop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,8.00,8,73.13888889,1,1
Burial - Young Death / Nightmarket,325,ambient,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,73.16666667,1,1
Vijay Iyer & Wadada Leo Smith - A Cosmic Rhythm with Each Stroke,493,avant-garde jazz,,,,,,,,,,,,,,,,,,,,,,,,,44,,40,,,,,,,,,,,42.00,21,73.16666667,2,0
Gaika - Security,546,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9.00,9,73.16666667,1,1
Alex Cameron - Jumping The Shark,603,art pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,9.00,9,73.16666667,1,1
Dam Funk - DJ-Kicks,647,funk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9.00,9,73.16666667,1,1
Heron Oblivion - Heron Oblivion,104,psychedelic rock,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.19444444,1,1
Dori Freeman - Dori Freeman,296,americana,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.19444444,1,1
Culture Abuse - Peach,406,rock,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.19444444,1,1
Mark Ernestus' Ndagga Rhythm Force - Yermande,545,dub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10.00,10,73.19444444,1,1
Elysia Crampton - Dissolution of The Sovereign...,581,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10.00,10,73.19444444,1,1
Xenia Rubinos - Black Terry Cat,346,art pop,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.22222222,1,0
Jeff Rosenstock - WORRY.,405,power pop,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.22222222,1,0
Gate - Saturday Night Fever,544,experimental rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,11.00,11,73.22222222,1,0
TRIM - 1-800 Dinosaur Presents: Trim,646,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11.00,11,73.22222222,1,0
Juan Atkins & Moritz Von Oswald - Borderland: Transport,274,minimal techno,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,48,,,43.50,21.75,73.25,2,0
Tindersticks - The Waiting Room,13,chamber pop,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,73.27777778,1,0
Courtney Marie Andrews - Honest Life,222,americana,,,,,,,50,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,22,73.27777778,2,0
Moodymann - DJ-Kicks,492,deep house,,,,,,,,,,,,,,,,,,,,,,,,,49,,39,,,,,,,,,,,44.00,22,73.27777778,2,0
Samaris - Black Lights,559,indietronica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13.00,13,73.27777778,1,0
Seekersinternational - LoversDedicationStation,625,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13.00,13,73.27777778,1,0
Yumi Zouma - Yoncalla,323,synthpop,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.30555556,1,0
Ala.ni - You & I,602,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,14.00,14,73.30555556,1,0
Shabaka and the Ancestors - Wisdom of Elders,624,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,14.00,14,73.30555556,1,0
G Perico - Shit Don't Stop,645,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14.00,14,73.30555556,1,0
The Cult - Hidden City,106,hard rock,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.33333333,1,0
Various Artists - Sky Girl,322,indie,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,73.33333333,1,0
"Childish Gambino - Awaken, My Love!",475,neo-soul,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,15.00,15,73.33333333,1,0
Dexys - Let the Record Show: Dexys Do Irish and Country Soul,611,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15.00,15,73.33333333,1,0
Terrace Martin - Velvet Portraits,644,neo-soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15.00,15,73.33333333,1,0
Fear of Men - Fall Forever,321,indie pop,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.36111111,1,0
Carrie Rodriguez - Lola,345,americana,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.36111111,1,0
Young Thug - Slime Season 3,363,hip hop,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,73.36111111,1,0
"The Outfit, TX - Green Lights: Everything Goin",525,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,16.00,16,73.36111111,1,0
Foodman - Ez Minzoku,580,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,16.00,16,73.36111111,1,0
Dinosaur Jr. - Give a Glimpse of What Yer Not,107,alternative rock,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.38888889,1,0
The Comet is Coming - Channel the Spirits,128,space rock,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,46.00,23,73.38888889,2,0
Hayes Carll - Lovers and Leavers,294,alt-country,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.38888889,1,0
Cross Record - Wabi-Sabi,320,slowcore,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,73.38888889,1,0
The Peep Tempel - Joy,491,rock,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,17.00,17,73.38888889,1,0
Konx-Om-Pax - Caramel,524,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,17.00,17,73.38888889,1,0
Syd Arthur - Apricity,108,progressive rock,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.41666667,1,0
Andy Shauf - The Party,319,singer-songwriter,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,73.41666667,1,0
Big Scary - Animal,429,indie rock,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,18.00,18,73.41666667,1,0
Bjarki - b,523,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,18.00,18,73.41666667,1,0
Grand Blanc - Memoires Vives,601,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,18.00,18,73.41666667,1,0
2 8 1 4 - Rain Temple,623,ambient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,18.00,18,73.41666667,1,0
Unloved - Guilty of Love,19,dream pop,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.44444444,1,0
Modern Studies - Swell To Great,109,folk rock,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.44444444,1,0
David T. Little - Dog Days,343,classical,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,73.44444444,1,0
RM Hubbert - Telling the Trees,558,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,19.00,19,73.44444444,1,0
Martha - Blisters in the Pit of My Heart,54,pop punk,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,47.50,23.75,73.47222222,2,0
Bob Dylan - Fallen Angels,110,singer-songwriter,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,73.47222222,1,0
Sia - This Is Acting,501,electropop,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,20.00,20,73.47222222,1,0
Zomby - Ultra,528,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,47,,47.50,23.75,73.47222222,2,0
Jeremih - Late NIghts: The Album,578,r&b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20.00,20,73.47222222,1,0
Yussef Kamaal - Black Focus,643,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20.00,20,73.47222222,1,0
Black Mountain - IV,21,psychedelic rock,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.5,1,0
Sote - Hardcore Sounds from Tehran,381,electronic,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,21.00,21,73.5,1,0
Emma Ruth Rundle - Marked for Death,445,indie,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,21.00,21,73.5,1,0
Jordan Rakei - Cloak,490,neo-soul,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,21.00,21,73.5,1,0
David Toop - Entities Inertias Faint Beings,542,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,21.00,21,73.5,1,0
MONEY - Suicide Songs,557,indie pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,21.00,21,73.5,1,0
Princess Nokia - 1992,577,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,21.00,21,73.5,1,0
Beyond the Wizards Sleeve - The Soft Bounce,22,neo-psychedelia,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.52777778,1,0
Lucius - Good Grief,234,indie pop,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.52777778,1,0
Robert Ellis - Robert Ellis,292,singer-songwriter,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.52777778,1,0
Hoops - Hoops,317,indie,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,73.52777778,1,0
Neurosis - Fires Within Fires,444,post-rock,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22.00,22,73.52777778,1,0
Demdike Stare - Wonderland,522,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,22.00,22,73.52777778,1,0
Djwwww - Arigato,576,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,22.00,22,73.52777778,1,0
Mica Levi & Oliver Coates - Remain Calm,622,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,22.00,22,73.52777778,1,0
Delroy Edwards - Hangin' At The Beach,642,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22.00,22,73.52777778,1,0
Public Access T.V. - Never Enough,49,indie rock,49,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,24.5,73.55555556,2,0
