ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Margo Price - Midwest Farmer's Daughter,3,country,3,,23,33,,21,12,,,,3,,20,,,,15,,,,,30,22,48,,,,,,,,,,,,,,20.91,1.900826446,58.47222222,11,2
Savages - Adore Life,38,post-punk,38,,,46,39,,,,24,33,34,,,,,,,20,10,,25,,,46,,,,,,12,21,,,35,,,,29.46,2.266272189,58.55555556,13,1
Noname - Telefone,193,hip hop,,,,,36,,,28,29,31,,,22,25,,,44,,,,,,37,,,46,27,,,,26,26,,,,32,,31.46,2.420118343,59.27777778,13,0
Whitney - Light Upon The Lake,58,indie rock,,,,42,38,,37,,38,,,30,,,,47,43,,,27,,32,36,20,41,,31,,,24,,,,,,,,34.71,2.479591837,59.33333333,14,0
Iggy Pop - Post Pop Depression,1,alternative rock,1,6,25,8,50,45,,,,,,,,,,,,47,,,29,46,,31,,,,,,,,,,21,,,,28.09,2.553719008,60.66666667,11,3
YG - Still Brazy,244,hip hop,,,,,,,,32,,21,,,,19,,41,,46,,,,47,,,39,27,22,14,,,,,,,,1,,28.09,2.553719008,60.66666667,11,1
Pinegrove - Cardinal,198,indie rock,,,,,30,,14,24,20,,44,,38,,,,,,40,39,,,32,,48,,46,,,,12,,,,,,,32.25,2.6875,60.75,12,0
Schoolboy Q - Blank Face LP,50,hip hop,50,,,,15,,,14,,,,,,9,,,,,,43,,,,,26,,38,,,29,28,,37,,,30,,29.00,2.636363636,60.94444444,11,1
PJ Harvey - The Hope Six Demolition Project,103,alternative rock,,9,6,,,,,,,22,,,,,,,,45,,41,14,,,29,,,,,,,,,11,3,,,,20.00,2.222222222,61.25,9,3
Drake - VIEWS,180,hip hop,,,,17,,42,,,,40,,,,15,,,,35,,,,,44,,,17,,,,,15,,8,48,,,,28.10,2.81,61.97222222,10,1
Kamaiyah - A Good Night in the Ghetto,250,hip hop,,,,,,,,16,,42,,,,21,,48,39,,,,,,,,33,,47,6,,15,25,,,,,,,29.20,2.92,62.27777778,10,1
Anna Meredith - Varmints,153,art pop,,,41,,,,,,17,,,,,,49,,,,30,,5,,,,,,,,17,3,,,,28,35,,,25.00,2.777777778,62.5,9,2
The Avalanches - Wildflower,77,electronic,,,22,,,,25,,,,,,,,,,,21,,10,,15,,6,36,,,,,,,,,18,,,,19.13,2.390625,62.58333333,8,2
Michael Kiwanuka - Love & Hate,17,soul,17,2,,23,,,,,,,2,,,,,,,,,,,,,13,,,,,,,,,16,14,,,,12.43,1.775510204,62.83333333,7,2
Paul Simon - Stranger to Stranger,102,singer-songwriter,,8,24,,,12,39,,,,20,,,,,,23,,,47,,,,,,25,,,,,,,,,,,,24.75,3.09375,63.83333333,8,1
White Lung - Paradise,178,noise rock,,,,19,48,31,,17,,,,,,,,,37,,18,,,,,,37,41,,,,,38,,,,,,,31.78,3.530864198,64.19444444,9,0
Miranda Lambert - The Weight of These Wings,218,country,,,,,,16,,,,,28,,9,,,,16,,,,,,13,,40,14,,,,,,,,,,,,19.43,2.775510204,64.19444444,7,1
Jessy Lanza - Oh No,328,alternative r&b,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,11,,,34,15,,,4,,,11.67,1.944444444,64.44444444,6,3
Drive-By Truckers - American Band,63,alt-country,,,13,,,24,48,,,,7,,14,,,,,,,,,18,,,,39,,,,,,,,,,,,23.29,3.326530612,64.94444444,7,1
Christine and the Queens - Chaleur Humaine,16,electropop,16,46,49,3,,,,,,,,,,,,,,,,,6,,,,,,,,,38,,,,10,,,,24.00,3.428571429,65.08333333,7,3
HINDS - Leave Me Alone,18,indie rock,18,,,,,,33,,33,28,,,,,,,34,,,34,,,,,,,,,,20,43,,,,,,,30.38,3.796875,65.08333333,8,0
Kaitlyn Aurelia Smith - EARS,281,folktronica,,,,,,,,,,10,,38,30,,,,,,,,,,,33,,,29,,18,,,,,,10,,,24.00,3.428571429,65.08333333,7,2
Cass McCombs - Mangy Love,112,singer-songwriter,,26,31,,,,,31,,,33,,,,,22,,,,,,,,40,,,,,,,,,,7,,,,27.14,3.87755102,65.69444444,7,1
Maren Morris - Hero,220,country,,,,,,13,,,,,40,,36,,,44,,,,,,,16,,47,9,,,,,,,,,,,,29.29,4.183673469,66.11111111,7,1
Wilco - Schmilco,119,indie rock,,36,15,,16,41,26,,,,,,,,,,32,,,,,,40,,,,,,,,,,,,,,,29.43,4.204081633,66.13888889,7,0
Esperanza Spalding - Emily's D+Evolution,206,jazz fusion,,,,,,48,,,,,,,28,41,,,,,39,,44,39,,,18,,30,,,,,,,,,,,35.88,4.484375,66.30555556,8,0
Frankie Cosmos - Next Thing,199,indie pop,,,,,28,,29,44,26,35,,,,,,,,,23,,,,,,,,48,,,,,,,,,,,33.29,4.755102041,66.88888889,7,0
Lambchop - FLOTUS,48,indie,48,4,19,,44,,,,,,31,,,,,,,,,,17,,,,,,,,,,,,,,,,,27.17,4.527777778,67.02777778,6,1
Tim Hecker - Love Streams,157,ambient,,,37,,17,,,48,,,,,,,,,,,29,45,,35,,,,,,,,,,27,,,,,,34.00,4.857142857,67.02777778,7,0
Equiknoxx - Bird Sound Power,309,juke,,,,,,,,,,,,35,,,48,,,,,,,,,,,,,2,,,,,,,8,4,,19.40,3.88,67.27777778,5,3
Kevin Gates - Islah,190,hip hop,,,,,42,,,,,,,,,18,,,,,,,,,,,22,30,44,,,,,,,,,17,,28.83,4.805555556,67.30555556,6,0
Kate Tempest - Let Them Eat Chaos,25,hip hop,25,,,29,,,,,,,,,,,,,,,,,3,,,16,,,,,,,,,,31,,,,20.80,4.16,67.47222222,5,1
case/lang/veirs - case/lang/veirs,113,folk,,27,28,,,,32,,,,5,,,,,,,,,,22,,,,,,,,,,,,,,,,,22.80,4.56,67.75,5,1
King - We Are King,149,r&b,,,45,,,,,,,,,,,,26,,,,,,35,,,,21,,37,,,,,,,,34,,,33.00,5.5,68,6,0
Tegan and Sara - Love You to Death,179,synthpop,,,,18,27,,28,,,,,,,,,,13,38,,,,,,,,,,,,,,,,,,,,24.80,4.96,68.02777778,5,0
Shirley Collins - Lodestar,162,folk,,,27,,,,,,,,,,,,5,,,,,,16,,,,,,,,2,,,,,,,,,12.50,3.125,68.05555556,4,2
King Gizzard and the Lizard Wizard - Nonagon Infinity,160,psychedelic rock,,,33,,,,,,,,,,,,,,,3,,40,46,,,4,,,,,,,,,,,,,,25.20,5.04,68.08333333,5,2
Shura - Nothing's Real,266,synthpop,,,,,,,,,19,,,,,,,,,50,,,12,,39,,,,,,,7,,,,,,,,25.40,5.08,68.11111111,5,1
Thee Oh Sees - A Weird Exits,7,psychedelic rock,7,29,11,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,39,,,,26.60,5.32,68.27777778,5,1
Preoccupations - Preoccupations,440,post-punk,,,,,,,,,,,,,,,,,,,33,36,,28,,,,,,,,18,,,,,,23,,27.60,5.52,68.41666667,5,0
