ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
HEALTH - DISCO4 :: PART II,370,electronic,,,,,,,,,,,49,,,,,,,,,38,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,12.33333333,74.17021277,3,0,0
Silvana Estrada - Marchita,209,folk,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,18.50,9.25,74.19148936,2,0,0
Alex Cameron - Oxy Music,374,rock,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,18.50,9.25,74.19148936,2,0,0
Persher - Man with the Magic Soap,315,metal,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,18.50,9.25,74.19148936,2,0,0
Wunderhorse - Cub,356,rock,,,,,,,,,,,,,19,,48,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,37.33,12.44444444,74.19148936,3,0,0
Mindforce - New Lords,184,rock,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,18.50,9.25,74.19148936,2,0,0
Carpenter Brut - LEATHER TERROR,615,electronic,,,,,,,,,,,,,,,,,,,,25,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,18.50,9.25,74.19148936,2,0,0
Lambchop - The Bible,439,pop,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,19.00,9.5,74.21276596,2,0,0
Kali Malone - Living Torch,777,experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,5,,19.50,9.75,74.23404255,2,1,0
Orville Peck - Bronco,192,folk,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,49,,,,,,,,38.33,12.77777778,74.25531915,3,0,0
Arcade Fire - WE,377,rock,,,,,,,,,,,,,,,21,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,74.25531915,2,0,0
070 Shake - You Can't Kill Me,235,r&b,,,,,,,17,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,10,74.25531915,2,0,0
