ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Carter Tutti Void - Triumvirate,350,Industrial,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,11.00,11,71.44444444,1,0,0
Shura - forevher,37,Sophisti-Pop,37,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50,21.75,71.5,2,0,0
The Twilight Sad - It Won't Be Like This All The Time,210,Post-Punk,,,,,,,39,,,,,,,,,,,48,,,,,,,,,,,,,,,,43.50,21.75,71.5,2,0,0
Kevin Morby - Oh My God,162,Singer-Songwriter,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
Iggy Pop - Free,227,Art Rock,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
Oh Sees - Face Stabber,267,Psychedelic Rock,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
MC Yallah & Debmaster - Kubali,301,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
Quelle Chris - Guns,349,Abstract Hip Hop,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
King Gizzard and the Lizard Wizard - Fishing for Fishies,369,Psychedelic Rock,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,13.00,13,71.55555556,1,0,0
Baby Keem - DIE FOR MY BITCH,79,Trap Rap,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,71.61111111,1,0,0
Nkisi - 7 Directions,166,Techno,,,,,,47,,,,,,42,,,,,,,,,,,,,,,,,,,,,,44.50,22.25,71.61111111,2,0,0
Harrga - Héroïques Animaux De La Misère,191,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,71.61111111,1,0,0
Kit Sebastian - Mantra Moderne,226,Psychedelic Pop,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,71.61111111,1,0,0
Cherry Glazerr - Stuffed & Ready,246,Indie Rock,,,,,,,,,42,,,,,,,,,47,,,,,,,,,,,,,,,,44.50,22.25,71.61111111,2,0,0
Carl Stone - Himalaya,300,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14.00,14,71.61111111,1,0,0
Octo Octa - Resonant Body,348,Deep House,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,14.00,14,71.61111111,1,0,0
Rosie Lowe - YU,15,Synth Funk,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,71.66666667,1,0,0
Tinariwen - Amadjar,144,Tishoumaren,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,71.66666667,1,0,0
The Utopia Strong - The Utopia Strong,190,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,71.66666667,1,0,0
The Delines - Imperial,225,Americana,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,71.66666667,1,0,0
Juice WRLD - DEATH RACE FOR LOVE,269,Hip Hop,,,,,,,,,,,50,,40,,,,,,,,,,,,,,,,,,,,,45.00,22.5,71.66666667,2,0,0
Jaimie Branch - Fly Or Die II: bird dogs of paradise,299,Jazz,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,15.00,15,71.66666667,1,0,0
Benny The Butcher - The Plugs I Met,78,Hip Hop,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,71.72222222,1,0,0
Snapped Ankles - Stunning Luxury,189,Dance Punk,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,71.72222222,1,0,0
Crumb - Jinx,224,Indie Pop,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,71.72222222,1,0,0
Jonas Brothers - Happiness Begins,334,R&B,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,16.00,16,71.72222222,1,0,0
Liam Gallagher - Why Me? Why Not.,17,Britpop,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,71.77777778,1,0,0
Deafkids - Metaprogramação,188,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,17,71.77777778,1,0,0
Matana Roberts - COIN COIN Chapter Four: Memphis,298,Jazz,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17.00,17,71.77777778,1,0,0
Kedr Livanskiy - Your Need,347,House,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,17.00,17,71.77777778,1,0,0
P.P. Arnold - The New Adventures of...P.P. Arnold,142,Pop Soul,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,71.83333333,1,0,0
Pip Blom - Boat,223,Indie Pop,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,71.83333333,1,0,0
Swans - Leaving Meaning,222,Post-Rock,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,71.88888889,1,0,0
Peter Perrett - Humanworld,266,Singer-Songwriter,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,71.88888889,1,0,0
Erika De Casier - Essentials,346,R&B,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,19.00,19,71.88888889,1,0,0
BIG | BRAVE - A Gaze Among Them,255,Post-Metal,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,71.94444444,1,0,0
Dreamville - Revenge of the Dreamers III,75,Hip Hop,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72,1,0,0
Lambchop - This (is what I wanted to tell you),122,Sophisti-Pop,,,,50,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,48.00,24,72,2,0,0
Malibu Ken - Malibu Ken,254,Hip Hop,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72,1,0,0
IDK - IS HE REAL?,276,Hip Hop,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72,1,0,0
Murlo - Dolos,345,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21.00,21,72,1,0,0
Olympia - Flamingo,368,Indie Pop,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,21.00,21,72,1,0,0
Banks - III,22,Alternative R&B,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.05555556,1,0,0
Griselda - WWCD,74,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.05555556,1,0,0
DIIV - Deceiver,220,Shoegaze,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.05555556,1,0,0
Laurie Anderson et al. - Songs From The Bardo,297,Spoken Word,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.05555556,1,0,0
Rick Ross - Port of Miami 2,73,Trap Rap,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,72.11111111,1,0,0
Harry Styles - Fine Line,313,Pop,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,23.00,23,72.11111111,1,0,0
Little Brother - May The Lord Watch,24,Hip Hop,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
International Teachers of Pop - International Teachers of Pop,185,Synthpop,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
The Specials - Encore,264,Ska,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
21 Savage - i am > i was,275,Trap Rap,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
Tunes of Negation - Reach The Endless Sea,296,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
Karol G - OCEAN,333,Latin Pop,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
Seeker Lover Keeper - Wild Seeds,367,Twee Pop,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,24.00,24,72.16666667,1,0,0
The HawtThorns - Morning Sun,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,72.22222222,1,0,0
Msylma - Dhil-un Taht Shajarat Al-Zaqum,184,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,72.22222222,1,0,0
Damon Locks Black Monument Ensemble - Where Future Unfolds,295,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,25.00,25,72.22222222,1,0,0
Charlie Collins - Snowpine,366,Singer-Songwriter,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,25.00,25,72.22222222,1,0,0
Richard Skelton - Border Ballads,183,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Empath - Active Listening: Night on Earth,239,Noise Pop,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Zonal - Wrecked,294,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Maren Morris - GIRL,332,Country Pop,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Efdemin - New Atlantis,344,Minimal Techno,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Haelos - Any Random Kindness,377,Trip Hop,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,26.00,26,72.27777778,1,0,0
Foals - Everything Not Saved Will Be Lost (Part 2),218,Alternative Rock,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,72.33333333,1,0,0
Chromatics - Closer To Grey,253,Synthpop,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,72.33333333,1,0,0
Boogie - Everythings For Sale,274,Hip Hop,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,27.00,27,72.33333333,1,0,0
Carl Stone - Baroo,293,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,27.00,27,72.33333333,1,0,0
Westside Gunn - Hitler Wears Hermes 7,70,Hip Hop,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Tony Njoku - Your Psyche's Rainbow Panorama,182,Art Pop,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Chali 2na & Krafty Kuts - Adventures of a Reluctant Superhero,217,Hip Hop,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Girlpool - What Chaos Is Imaginary,237,Indie Rock,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Mizmor - Cairn,252,Doom Metal,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
King Midas Sound - Solitude,292,Drone,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Coldplay - Everyday Life,312,Art Pop,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,28.00,28,72.38888889,1,0,0
Jordan Rakei - Origin,29,Alternative R&B,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Jim Jones - El Capo,69,Hip Hop,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Edwyn Collins - Badbea,136,Pop Rock,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Teeth of the Sea - Wraith,181,Post-Rock,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Cigarettes After Sex - Cry,216,Slowcore,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Control Top - Covert Contracts,236,Post-Punk,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Trash Kit - Horizon,263,Post-Punk,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Eliane Radigue - Occam Ocean 2,291,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Eartheater - Trinity,343,Art Pop,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,29.00,29,72.44444444,1,0,0
Chaka Khan - Hello Happiness,30,Synth Funk,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Future - Future Hndrxx Presents: The WIZRD,68,Trap Rap,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Esperanza Spalding - 12 Little Spells,135,Art Pop,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Errant Monks - Psychopposition,179,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Errant Monks - The Limit Experience,180,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Sote - Parallel Persia,290,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Holy Holy - My Own Pool of Light,365,Indie Pop,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Ekiti Sound - Abeg No Vex,376,Afrobeats,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,30.00,30,72.5,1,0,0
Le Butcherettes - bi/MENTAL,31,Art Rock,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,72.55555556,1,0,0
03 Greedo & Kenny Beats - Netflix & Deal,67,Trap Rap,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,72.55555556,1,0,0
EARTHGANG - Mirrorland,273,Hip Hop,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,31.00,31,72.55555556,1,0,0
Sunwatchers - Illegal Moves,289,Psychedelic Rock,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,31.00,31,72.55555556,1,0,0
Carla dal Forno - Look Up Sharp,342,Minimal Wave,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,31.00,31,72.55555556,1,0,0
Elbow - Giants Of All Sizes,32,Art Rock,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
"Snoh Aalegra - ugh, those feels again",66,Neo-Soul,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
BTS - MAP OF THE SOUL: PERSONA,107,K-Pop,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Alexander Tucker - Guild of the Asbestos Weaver,178,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Spelling - Mazy Fly,251,Minimal Synth,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Sheer Mag - A Distant Call,316,Hard Rock,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Khalid - Free Spirit,331,R&B,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Giant Swan - Giant Swan,341,Industrial Techno,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Tiny Ruins - Olympic Girls,364,Folk,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,32.00,32,72.61111111,1,0,0
Jake Xerxes Fussell - Out of Sight,132,Singer-Songwriter,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,72.66666667,1,0,0
Yao Bobby & Simon Grab - Diamonds,177,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,72.66666667,1,0,0
Kokoko! - Fongola,214,Synthpunk,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,72.66666667,1,0,0
SASAMI - SASAMI,363,Dream Pop,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,33.00,33,72.66666667,1,0,0
Youngboy Never Broke Again - AI Youngboy 2,65,Trap Rap,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,72.72222222,1,0,0
John Tilbury - The Tiger's Mind,176,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,72.72222222,1,0,0
Metronomy - Metronomy Forever,213,Indietronica,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,34,72.72222222,1,0,0
Nicholas Deyoe - James Tenney: Changes - 64 Studies for 6 Harps,288,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,34.00,34,72.72222222,1,0,0
Weval - The Weight,375,Downtempo,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,34.00,34,72.72222222,1,0,0
Keane - Cause And Effect,35,Pop Rock,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
King Gizzard and the Lizard Wizard - Infest the Rats' Nest,131,Stoner Metal,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
Abuse of Power - What on Earth Can We Do,235,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
Inter Arma - Sulphur English,248,Sludge Metal,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
The Caretaker - Everywhere at the End of Time - Stages 4-6,287,Dark Ambient,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
BROCKHAMPTON - GINGER,311,Pop Rap,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
rRoxymore - Face To Phase,340,UK Bass,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,35.00,35,72.77777778,1,0,0
Christian Scott aTunde Adjuah - Ancestral Recall,104,Jazz Fusion,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,72.83333333,1,0,0
Sly & The Family Drone - Gentle Persuaders,175,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,72.83333333,1,0,0
Tindersticks - No Treasure But Hope,212,Chamber Pop,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,36,72.83333333,1,0,0
YATTA - WAHALA,286,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,36.00,36,72.83333333,1,0,0
Opeth - In Cauda Venenum,374,Progressive Rock,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,36.00,36,72.83333333,1,0,0
Rex Orange County - Pony,62,Indie Pop,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,72.88888889,1,0,0
Sunn O))) - Pyroclasts,285,Drone Metal,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,37.00,37,72.88888889,1,0,0
Maluma - 11:11,330,Latin Pop,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,37.00,37,72.88888889,1,0,0
"Oli XL - Rogue Intruder, Soul Enhancer",339,UK Bass,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,37.00,37,72.88888889,1,0,0
Brightness - Brightness,362,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,37.00,37,72.88888889,1,0,0
Bedouine - Bird Songs of a Killjoy,157,Singer-Songwriter,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
Amygdala - Our Voices Will Soar Forever,234,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
Jennifer Walshe - ALL THE MANY PEOPLS,284,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
RAP - Export,322,Ambient Techno,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
Luke Combs - What You See Is What You Get,329,Country,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
Tropical Fuck Storm - Braindrops,361,Art Punk,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,38.00,38,72.94444444,1,0,0
Hey Colossus - Four Bibles,173,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73,1,0,0
Tomb Mold - Planetary Clairvoyance,247,Death Metal,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73,1,0,0
Bonnie 'Prince' Billy - I Made A Place,262,Singer-Songwriter,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73,1,0,0
Big Stick - LP,283,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,39.00,39,73,1,0,0
Hannah Williams & The Affirmations - 50 Foot Woman,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.05555556,1,0,0
Cosey Fanni Tutti - TUTTI,172,Post-Industrial,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.05555556,1,0,0
Ezra Collective - You Can't Steal My Joy,209,Jazz Fusion,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.05555556,1,0,0
RY X - Unfurl,360,Folktronica,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40.00,40,73.05555556,1,0,0
LÉON - LÉON,41,Pop Soul,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
YNW Melly - We All Shine,58,Trap Rap,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
Pivot Gang - You Can't Sit With Us,100,Trap Rap,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
Theon Cross - Fyah,171,Jazz,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
MUNA - Saves The World,328,Synthpop,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
Leif - Loom Dream,338,Ambient,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
Mark Lanegan Band - Somebody's Knocking,373,Alternative Rock,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,41.00,41,73.11111111,1,0,0
Kelsey Waldon - White Noise / White Lines,42,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.16666667,1,0,0
Ghold - INPUT>CHAOS,170,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.16666667,1,0,0
The Rails - Cancel The Sun,208,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,73.16666667,1,0,0
Gang Starr - One of the Best Yet,43,Hip Hop,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
The Regrettes - How Do You Love?,98,Indie Rock,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
"Shit & Shine - Doing Drugs, Selling Drugs",169,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
W.H. Lung - Incidental Music,261,Neo-Psychedelia,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
"Todd Snider - Cash Cabin Sessions, Vol. 3",318,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
Youth Group - Australian Halloween,358,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,43.00,43,73.22222222,1,0,0
Lucy Rose - No Words Left,44,Singer-Songwriter,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Lady Lamb - Even in the Tremor,97,Singer-Songwriter,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Chris Forsyth - All Time Present,127,Jam Band,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Black to Comm - Seven Horses for Seven Kings,168,Dark Ambient,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Mac DeMarco - Here Comes The Cowboy,207,Singer-Songwriter,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Kevin Abstract - ARIZONA BABY ,272,Pop Rap,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
"The Black Keys - ""Let's Rock""",317,Garage Rock,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,44.00,44,73.27777778,1,0,0
Michaela Anne - Desert Dove,45,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Tinashe - Songs For You,55,Alternative R&B,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Royal Trux - White Stuff,126,Hard Rock,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
LOFT - and departt from mono games,167,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Pond - Tasmania,206,Neo-Psychedelia,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Ed Sheeran - No. 6 Collaborations Project,271,Pop Rap,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
North Sea Radio Orchestra - Folly Bololey,282,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Ozuna - Nibiru,327,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Winterbourne - Echo of Youth,357,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,73.33333333,1,0,0
Deerhunter - Why Hasn't Everything Already Disappeared?,125,Indie Rock,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.38888889,1,0,0
Duke - Uingizaji Hewa,281,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,46.00,46,73.38888889,1,0,0
CHAI - PUNK,321,Dance Punk,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,46.00,46,73.38888889,1,0,0
