ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Bill Callahan - Shepherd in a Sheepskin Vest,151,Singer-Songwriter,,,,2,,19,,32,,8,,,,15,,,,,,,,,,,,,,,,,,,,15.20,3.04,58.38888889,5,2,0
Aldous Harding - Designer,149,Singer-Songwriter,,,,5,,,46,,41,23,,,,39,,,11,,,,,,,,,,,,,,,,,27.50,4.583333333,59.16666667,6,1,0
Young Thug - So Much Fun,89,Trap Rap,,4,,,,,,25,,,3,,18,,43,,,,,,,,,,,,,,,,,,,18.60,3.72,59.33333333,5,2,0
Julia Jacklin - Crushing,101,Singer-Songwriter,,,40,,8,,,,,12,,,,,,33,3,,,,,,,,,,,,,,,,,19.20,3.84,59.5,5,2,0
100 gecs - 1000 gecs,238,Bubblegum Bass,,,,,,,,27,,,,19,19,42,,25,,50,,,,,,,,,,,,,,,,30.33,5.055555556,60.11111111,6,0,0
(Sandy) Alex G - House of Sugar,95,Indie Folk,,,46,,29,,,6,13,,,,,17,,,,,,,,,,,,,,,,,,,,22.20,4.44,60.33333333,5,1,0
slowthai - Nothing Great About Britain,109,Hip Hop,,,27,41,,,12,,,,,,,34,,,,2,,,,,,,,,,,,,,,,23.20,4.64,60.61111111,5,1,0
DaBaby - Baby On Baby,82,Trap Rap,,11,,,,,,,,,18,,9,45,,34,,,,,,,,,,,,,,,,,,23.40,4.68,60.66666667,5,1,0
Big Thief - Two Hands,163,Indie Folk,,,,,4,,17,,,,,,17,13,,,,,,,,,,,,,,,,,,,,12.75,3.1875,61.16666667,4,1,0
Holly Herndon - PROTO,174,Glitch Pop,,,,,,37,,13,43,,,,,44,,36,,29,,,,,,,,,,,,,,,,33.67,5.611111111,61.22222222,6,0,0
Sturgill Simpson - Sound & Fury,103,Blues Rock,,,37,34,,,,,,35,,,16,,35,,,49,,,,,,,,,,,,,,,,34.33,5.722222222,61.44444444,6,0,0
Taylor Swift - Lover,28,Electropop,28,,,,,,,,,,25,,4,,3,,,,,,,,,,,,,,,,,,,15.00,3.75,61.66666667,4,2,0
Megan Thee Stallion - Fever,72,Trap Rap,,24,,,46,,,,,,16,,31,,23,,,,,,,,,,,,,,,,,,,28.00,5.6,61.94444444,5,0,0
Summer Walker - Over It,56,R&B,,43,,,,,,,,,19,,38,,21,20,,,,,,,,,,,,,,,,,,28.20,5.64,62,5,0,0
Burna Boy - African Giant,80,Afrobeats,,13,,,,,,,,,,,46,26,14,42,,,,,,,,,,,,,,,,,,28.20,5.64,62,5,0,0
Mannequin Pussy - Patience,160,Punk Rock,,,,,33,,,14,29,,34,,,35,,,,,,,,,,,,,,,,,,,,29.00,5.8,62.22222222,5,0,0
The Highwomen - The Highwomen,106,Americana,,,33,,22,,,,,,,,10,,8,,,,,,,,,,,,,,,,,,,18.25,4.5625,62.38888889,4,2,0
Better Oblivion Community Center - S/T,111,Folk Rock,,,25,,18,,,33,,,43,,,,34,,,,,,,,,,,,,,,,,,,30.60,6.12,62.66666667,5,0,0
Carly Rae Jepsen - Dedicated,10,Dance Pop,10,,,,7,,,,,,46,,,,20,,,,,,,,,,,,,,,,,,,20.75,5.1875,62.94444444,4,2,0
Dave - Psychodrama,21,Hip Hop,21,,,23,,,,,,36,,,,,,,,5,,,,,,,,,,,,,,,,21.25,5.3125,63.05555556,4,1,0
Nilüfer Yanya - Miss Universe,99,Indie Pop,,,42,,28,,,47,,,42,,,37,39,,,,,,,,,,,,,,,,,,,39.17,6.527777778,63.05555556,6,0,0
75 Dollar Bill - I Was Real,140,Psychedelic Rock,,,,20,,31,,,,38,,1,,,,,,,,,,,,,,,,,,,,,,22.50,5.625,63.33333333,4,1,1
Kim Gordon - No Home Record,186,Noise Rock,,,,,,20,,,,32,,18,,24,,,,,,,,,,,,,,,,,,,,23.50,5.875,63.55555556,4,0,0
Fat White Family - Serfs Up!,145,Neo-Psychedelia,,,,14,,8,35,,,42,,,,,,,,,,,,,,,,,,,,,,,,24.75,6.1875,63.83333333,4,1,0
JPEGMAFIA - All My Heroes Are Cornballs,159,Hip Hop,,,,,35,,,,10,,,20,,,,,,35,,,,,,,,,,,,,,,,25.00,6.25,63.88888889,4,1,0
Faye Webster - Atlanta Millionaires Club,116,Alt-Country,,,16,,10,,,,,,,,,49,,,29,,,,,,,,,,,,,,,,,26.00,6.5,64.11111111,4,1,0
Charly Bliss - Young Enough,120,Power Pop,,,11,,36,,,12,,,47,,,,,,,,,,,,,,,,,,,,,,,26.50,6.625,64.22222222,4,0,0
Sleaford Mods - Eton Alive,192,Post-Punk,,,,,,13,6,,,45,,,,,,,,44,,,,,,,,,,,,,,,,27.00,6.75,64.33333333,4,1,0
Rico Nasty & Kenny Beats - Anger Management,64,Trap Rap,,35,,,,,,23,,,,,45,43,,39,,,,,,,,,,,,,,,,,,37.00,7.4,64.44444444,5,0,0
