ALBUM,ID,NME,UNCUT,Q,MOJO,AmSong,RoughT,QUIETUS,STONE,PASTE,SGUM,GvsB,FASTER,AVClub,POPMAT,PMA,WIRE,NPR,SPIN,FACT,DRWND,CoS,AMG,SLANT,WEISS,TMT,PFORK,MAGNET,405,CRACK,UTR,COMPLX,FLVRW,WS,NOISEY,P&P,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s,#1s
Lee Bains III & The Glory Fires - Dereconstructed,63,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,74,1,0,0
Angel 1 - Allegra Bin 1,413,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Burial Hex - The Hierophant,497,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Doug Paisley - Strong Feelings,137,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Helm - The Hollow Organ,352,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Inward Circles - Nimrod,168,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Kindness - Otherness,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,41.00,41,74.02857143,1,0,0
Lee Gamble - KOCH,105,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Mark Lanegan Band - Phantom Radio,66,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Rails - Fair Warning,158,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Somi - The Lagos Music Salon,307,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,41.00,41,74.02857143,1,0,0
Augie March - Havens Dumb,290,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
Bohren & Der Club of Gore - Piano Nights,167,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
Fryars - Power,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,42.00,42,74.05714286,1,0,0
Gem Jones - Admiral Frenchkiss,496,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
Joseph Hammer - Roadless Travel,353,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
KIT - Lownt God Rising,414,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
Kool A.D. - Word O.K.,458,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,42.00,42,74.05714286,1,0,0
David Kilgour & The Heavy 8s - End Times Undone,106,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
H.R. Giger's Studiolo - H.R. Giger's Studiolo,415,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
LVL Up - Hoodwink'd,234,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
Oren Ambarchi - Quixotism,354,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
Raveonettes - Pe'ahi,436,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
Serengeti - Kenny Dennis III,483,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
Soft Pink Truth - Why Do the Heathen Rage?,495,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,43.00,43,74.08571429,1,0,0
Torn Hawk - Through Force of Will,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,43.00,43,74.08571429,1,0,0
Consumer Electronics - Estuary English,166,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Death Grips - niggas on the moon,494,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Deerhoof - La Isla Bonita,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,44.00,44,74.11428571,1,0,0
DJ Quik - The Midnight Life,484,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Laura Cannell - Quick Sparrows Over The Black Earth,355,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Lust For Youth - International,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,44.00,44,74.11428571,1,0,0
Mike Farris - Shine For All the People,309,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Omarion - Sex Playlist,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,44.00,44,74.11428571,1,0,0
Rodney Crowell - Tarpaper Sky,139,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
SD - Truly Blessed,416,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Wilko Johnson & Roger Daltrey - Going Back Home,107,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,74.11428571,1,0,0
Bear In Heaven - Time is Over One Day Old,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,45.00,45,74.14285714,1,0,0
BONG - Stoner Rock,165,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Gesloten Cirkel - Submit X,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,45.00,45,74.14285714,1,0,0
Howard Riley - To Be Continued...,356,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Jesse Winchester - A Reasonable Amount of Trouble,140,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Lee Gamble - KOCH,493,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Logic - Under Pressure,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,45.00,45,74.14285714,1,0,0
Mix-o-Rap - I am the DMR,417,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Neil Young - A Letter Home,108,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Shihad - FVEY,291,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
Trent Reznor & Atticus Ross - Gone Girl,437,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
You Blew It! - Keep Doing What You're Doing,233,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,74.14285714,1,0,0
And You Will Know Us By The Trail of Dead - IX,438,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
J Mascis - Tied to a Star,109,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
lsdxoxo - whorecore,418,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
Ninos Du Brasil - Novos Mistérios,492,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
Nisennenmondai - N,164,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
Pell - Floating While Dreaming,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,46.00,46,74.17142857,1,0,0
Twin Peaks - Wild Onion,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
"Willie Watson - Folk Singer, Vol. 1",81,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.17142857,1,0,0
Ai Aso - Lone,491,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,47.00,47,74.2,1,0,0
Frank & Tony - You Go Girl,419,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,47.00,47,74.2,1,0,0
Gary Clark Jr - Gary Clark Jr Live,202,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.2,1,0,0
Lower - Seek Warmer Climes,461,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,47.00,47,74.2,1,0,0
Rosebuds - Sand + Silence,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,47.00,47,74.2,1,0,0
SOHN - Tremors,310,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.2,1,0,0
Thou - Heathen,232,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.2,1,0,0
V/A - Shady XV,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,47.00,47,74.2,1,0,0
Akio Suzuki & Aki Onda - ma ta ta bui,357,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Ball Park Music - Puddinghead,292,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Clark - Clark,516,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Coldplay - Ghost Stories,201,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Craft Spells - Nausea,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,48.00,48,74.22857143,1,0,0
Has Lo & Castle - Live Like You're Dead,487,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Jessica Lea Mayfield - Make My Head Sing,142,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Olga Bell - Krai,163,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Pixies - Indie Cindy,111,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Sondre Lerche - Please,311,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
T C F - 486669f0e9b8990384108f3d54c6a8f...,490,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
We Are Shining - Kara,159,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Zilla Rocca - No Vacation For Murder,488,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,48.00,48,74.22857143,1,0,0
Black Milk - If There's a Hell Below,489,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Celestial Trax - Production Mix,420,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Cut Hands - Festival of the Dead,162,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Doug Paisley - Strong Feelings,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,49.00,49,74.25714286,1,0,0
King Creosote - From Scotland with Love,112,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
La Dispute - Rooms of the House,218,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Low Pros - EP 1,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,49.00,49,74.25714286,1,0,0
MONEY - The Shadow of Heaven,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,49.00,49,74.25714286,1,0,0
Peep Tempel - Tales,293,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Raury - Indigo Child,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,49.00,49,74.25714286,1,0,0
Robyn Hitchock - The Man Upstairs,70,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Tacocat - NVM,391,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Tinariwen - Emmaar,200,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.25714286,1,0,0
Charles Barabé - Insultes (hommage à John Cage),421,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Dan Sultan - Blackbird,294,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Dr. John - Ske-Dat-De-Dat... The Spirit of Satch,113,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Eno-Hyde - Someday World,160,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Glass Animals - ZABA,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,50.00,50,74.28571429,1,0,0
Hospitality - Trouble,217,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Julian Casablancas & The Voidz - Tyranny,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
Neighbourhood - #000000 & #ffffff,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50.00,50,74.28571429,1,0,0
Tweens - Tweens,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,50.00,50,74.28571429,1,0,0
"Xiu Xiu - Angel Guts, Red Classroom",161,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.28571429,1,0,0
