ALBUM,ID,STONE,SPIN,PASTE,MOJO,QUIETUS,SGUM,Q,UNCUT,NME,GvsB,AmSong,AVClub,P&P,POPMAT,DRWND,MAGNET,NPR,COMPLX,PFORK,eMUSIC,FACT,WIRE,SLANT,TMT,,AVG,WT-AVG,CONS-SCORE,# Lists
Woodkid - The Golden Age,284,,,,,,,,,,,,,17,,,,,,,,,,,,,17.00,17,72.58333333,1
Wesley Stace - Self-Titled,311,,,,,,,,,,,,,,,,17,,,,,,,,,,17.00,17,72.58333333,1
Action Bronson - Blue Chips 2,338,,,,,,,,,,,,,,,,,,17,,,,,,,,17.00,17,72.58333333,1
Mumdance - Twists and Turns,373,,,,,,,,,,,,,,,,,,,,,17,,,,,17.00,17,72.58333333,1
Okkyung Lee - Ghil,400,,,,,,,,,,,,,,,,,,,,,,17,,,,17.00,17,72.58333333,1
Gesaffelstein - Aleph,285,,,,,,,,,,,,,18,,,,,,,,,,,,,18.00,18,72.625,1
Nils Frahm - Spaces,294,,,,,,,,,,,,,,,18,,,,,,,,,,,18.00,18,72.625,1
Powell - Untitled,374,,,,,,,,,,,,,,,,,,,,,18,,,,,18.00,18,72.625,1
Pinkunoizu - The Drop,138,,,,,19,,,,,,,,,,,,,,,,,,,,,19.00,19,72.66666667,1
Endless Boogie - Long Island,193,,,,,,,,19,,,,,,,,,,,,,,,,,,19.00,19,72.66666667,1
Recycle Culture - In Transit,228,,,,,,,,,,19,,,,,,,,,,,,,,,,19.00,19,72.66666667,1
65daysofstatic - Wild Light,295,,,,,,,,,,,,,,,19,,,,,,,,,,,19.00,19,72.66666667,1
Lady Lamb the Beekeeper - Ripely Pine,355,,,,,,,,,,,,,,,,,,,,19,,,,,,19.00,19,72.66666667,1
eMMplekz - Your Crate Has Changed,401,,,,,,,,,,,,,,,,,,,,,,19,,,,19.00,19,72.66666667,1
Dean Blunt - Stone Island,437,,,,,,,,,,,,,,,,,,,,,,,,19,,19.00,19,72.66666667,1
Biffy Clyro - Opposites,183,,,,,,,20,,,,,,,,,,,,,,,,,,,20.00,20,72.70833333,1
Knx. - Anthology,229,,,,,,,,,,20,,,,,,,,,,,,,,,,20.00,20,72.70833333,1
MssingNo - MssingNo,375,,,,,,,,,,,,,,,,,,,,,20,,,,,20.00,20,72.70833333,1
Main - Ablation,402,,,,,,,,,,,,,,,,,,,,,,20,,,,20.00,20,72.70833333,1
Mavis Staples - One True Vine,109,,,,21,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.75,1
Broadcast - Berberian Sound Studio,194,,,,,,,,21,,,,,,,,,,,,,,,,,,21.00,21,72.75,1
Hearts - Hemiplegia,230,,,,,,,,,,21,,,,,,,,,,,,,,,,21.00,21,72.75,1
Willis Earl Beal - Nobody Knows,286,,,,,,,,,,,,,21,,,,,,,,,,,,,21.00,21,72.75,1
Moderat - II,296,,,,,,,,,,,,,,,21,,,,,,,,,,,21.00,21,72.75,1
Prurient - Through the Window,376,,,,,,,,,,,,,,,,,,,,,21,,,,,21.00,21,72.75,1
Lightning Dust - Fantasy,422,,,,,,,,,,,,,,,,,,,,,,,21,,,21.00,21,72.75,1
Andrew Pekler - Cover Versions,436,,,,,,,,,,,,,,,,,,,,,,,,21,,21.00,21,72.75,1
Slaid Cleaves - Still Fighting The War,255,,,,,,,,,,,22,,,,,,,,,,,,,,,22.00,22,72.79166667,1
The House in the Woods - Bucolica,377,,,,,,,,,,,,,,,,,,,,,22,,,,,22.00,22,72.79166667,1
Bill Orcutt - A History of Every One,435,,,,,,,,,,,,,,,,,,,,,,,,22,,22.00,22,72.79166667,1
Jonathan Wilson - Fanfare,195,,,,,,,,23,,,,,,,,,,,,,,,,,,23.00,23,72.83333333,1
Quasimoto - Yessir Whatever,231,,,,,,,,,,23,,,,,,,,,,,,,,,,23.00,23,72.83333333,1
Bastille - Bad Blood,289,,,,,,,,,,,,,,23,,,,,,,,,,,,23.00,23,72.83333333,1
Jay Z - Magna Carta Holy Grail,339,,,,,,,,,,,,,,,,,,23,,,,,,,,23.00,23,72.83333333,1
DJ Rashad - I Don't Give a Fuck,61,,24,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,72.875,1
Empire of the Sun - Ice on the Dune,185,,,,,,,24,,,,,,,,,,,,,,,,,,,24.00,24,72.875,1
Mazzy Star - Seasons of Your Day,191,,,,,,,50,49,,,,,,,,,,,,,,,,,,49.50,24.75,72.875,2
Johnny Flynn - Country Mile,256,,,,,,,,,,,24,,,,,,,,,,,,,,,24.00,24,72.875,1
Girls Names - The New Life,297,,,,,,,,,,,,,,,24,,,,,,,,,,,24.00,24,72.875,1
Alasdair Roberts & Friends - A Wonder Working Stone,403,,,,,,,,,,,,,,,,,,,,,,24,,,,24.00,24,72.875,1
Dirty Beaches - Drifters/Love Is The Devil,434,,,,,,,,,,,,,,,,,,,,,,,,24,,24.00,24,72.875,1
Teeth of the Sea - Master,142,,,,,25,,,,,,,,,,,,,,,,,,,,,25.00,25,72.91666667,1
Cuushe - Butterfly Case,233,,,,,,,,,,25,,,,,,,,,,,,,,,,25.00,25,72.91666667,1
Bryan Ferry Orchestra - The Jazz Age,312,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Buika - La Noche Mas Larga,313,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Caleb Burhans - Evensong,314,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Darcy James Argue's Secret Society - Brooklyn Babylon,315,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Dessner/Muhly/Pallett/Worden - David Lang: Death Speaks,316,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Dawn of Midi - Dysnomia,317,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Dawn Upshaw & Maria Schneider - Winter Morning Walks,318,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Gregory Porter - Liquid Spirit,320,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
In Solitude - Sister,321,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Isabelle Faust & Swedish Radio Symphony - Bartok Violin Concertos Nos 1 & 2,322,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
John Legend - Love In The Future,323,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
John Luther Adams - Inuksuit,324,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Juana Molina - Wed 21,325,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
La Santa Cecilia - Treinta Dias,326,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
La Vida Boheme - Sera,327,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Latvian Radio Choir/Sigvards Klava - Rachmaninoff: All-Night Vigil,328,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Mala Rodriguez - Bruja,329,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Pedrito Martinez Group - Pedrito Martinez Group,330,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
San Fermin - San Fermin,331,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Starlito & Don Trip - Step Brothers 2,332,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Van-Anh Vanessa Vo - Three-Mountain Pass,333,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Wayne Shorter - Without A Net,334,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
William Onyeabor - Who Is William Onyeabor?,335,,,,,,,,,,,,,,,,,25,,,,,,,,,25.00,25,72.91666667,1
Inter Arma - Sky Burial,356,,,,,,,,,,,,,,,,,,,,25,,,,,,25.00,25,72.91666667,1
MGUN - The Near Future,378,,,,,,,,,,,,,,,,,,,,,25,,,,,25.00,25,72.91666667,1
Young Echo - Nexus,404,,,,,,,,,,,,,,,,,,,,,,25,,,,25.00,25,72.91666667,1
Little Boots - Nocturnes,423,,,,,,,,,,,,,,,,,,,,,,,25,,,25.00,25,72.91666667,1
Villagers - {Awayland},111,,,,26,,,,,,,,,,,,,,,,,,,,,,26.00,26,72.95833333,1
Rich Homie Quan - I Promise/Still Going In,234,,,,,,,,,,26,,,,,,,,,,,,,,,,26.00,26,72.95833333,1
Kid Cudi - Indicud,341,,,,,,,,,,,,,,,,,,26,,,,,,,,26.00,26,72.95833333,1
Syclops - A Blink of a Eye,379,,,,,,,,,,,,,,,,,,,,,26,,,,,26.00,26,72.95833333,1
Inga Copeland - Higher Powers,433,,,,,,,,,,,,,,,,,,,,,,,,26,,26.00,26,72.95833333,1
Floorplan - Paradise,143,,,,,27,,,,,,,,,,,,,,,,,,,,,27.00,27,73,1
Mogwai - Les Revenants Soundtrack,298,,,,,,,,,,,,,,,27,,,,,,,,,,,27.00,27,73,1
Juicy J - Stay Trippy,342,,,,,,,,,,,,,,,,,,27,,,,,,,,27.00,27,73,1
Ron Morelli - Spit,380,,,,,,,,,,,,,,,,,,,,,27,,,,,27.00,27,73,1
Vatican Shadow - Remember Your Black Day,144,,,,,28,,,,,,,,,,,,,,,,,,,,,28.00,28,73.04166667,1
Classixx - Hanging Gardens,236,,,,,,,,,,28,,,,,,,,,,,,,,,,28.00,28,73.04166667,1
Josh Ritter - The Beast In Its Tracks,258,,,,,,,,,,,28,,,,,,,,,,,,,,,28.00,28,73.04166667,1
Sleaford Mods - Austerity Dogs,405,,,,,,,,,,,,,,,,,,,,,,28,,,,28.00,28,73.04166667,1
Rudimental - Home,65,,29,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.08333333,1
Matmos - The Marriage of True Minds,145,,,,,29,,,,,,,,,,,,,,,,,,,,,29.00,29,73.08333333,1
Hiss Golden Messenger - Haw,196,,,,,,,,29,,,,,,,,,,,,,,,,,,29.00,29,73.08333333,1
Willy Mason - Carry On,259,,,,,,,,,,,29,,,,,,,,,,,,,,,29.00,29,73.08333333,1
Boldy James - My 1st Chemistry Set,287,,,,,,,,,,,,,29,,,,,,,,,,,,,29.00,29,73.08333333,1
Orchestral Manoeuvres In The Dark - English Electric,290,,,,,,,,,,,,,,29,,,,,,,,,,,,29.00,29,73.08333333,1
Au Revoir Simone - Move In Spectrums,300,,,,,,,,,,,,,,,29,,,,,,,,,,,29.00,29,73.08333333,1
Holly Williams - The Highway,357,,,,,,,,,,,,,,,,,,,,29,,,,,,29.00,29,73.08333333,1
Eliane Radigue - Psi 847,406,,,,,,,,,,,,,,,,,,,,,,29,,,,29.00,29,73.08333333,1
"The Body - Christs, Redeemers",432,,,,,,,,,,,,,,,,,,,,,,,,29,,29.00,29,73.08333333,1
Yeah Yeah Yeahs - Mosquito,208,,,,,,,,,30,,,,,,,,,,,,,,,,,30.00,30,73.125,1
3:33 - $,238,,,,,,,,,,30,,,,,,,,,,,,,,,,30.00,30,73.125,1
Aoife O'Donovan - Fossils,260,,,,,,,,,,,30,,,,,,,,,,,,,,,30.00,30,73.125,1
The Devil Makes Three - I'm A Stranger Here,291,,,,,,,,,,,,,,30,,,,,,,,,,,,30.00,30,73.125,1
King Khan and the Shrines - Idle No More,87,,,31,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.16666667,1
Merchandise - Totale Nite,209,,,,,,,,,31,,,,,,,,,,,,,,,,,31.00,31,73.16666667,1
Steve Earle - Low Highway,261,,,,,,,,,,,31,,,,,,,,,,,,,,,31.00,31,73.16666667,1
Jacob Kirkegaard & Else Marie Pade - Svaevninger,407,,,,,,,,,,,,,,,,,,,,,,31,,,,31.00,31,73.16666667,1
Glenn Jones - My Garden State,116,,,,32,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.20833333,1
Heatsick - Re-Engineering,148,,,,,32,,,,,,,,,,,,,,,,,,,,,32.00,32,73.20833333,1
Empress Of - Systems,240,,,,,,,,,,32,,,,,,,,,,,,,,,,32.00,32,73.20833333,1
Son Volt - Honky Tonk,262,,,,,,,,,,,32,,,,,,,,,,,,,,,32.00,32,73.20833333,1
Simone Dinnerstein & Tift Merritt - Night,358,,,,,,,,,,,,,,,,,,,,32,,,,,,32.00,32,73.20833333,1
FKA Twigs - EP2,382,,,,,,,,,,,,,,,,,,,,,32,,,,,32.00,32,73.20833333,1
Nmesh - Nu.Wav Hallucinations,431,,,,,,,,,,,,,,,,,,,,,,,,32,,32.00,32,73.20833333,1
British Sea Power - Machineries of Joy,149,,,,,33,,,,,,,,,,,,,,,,,,,,,33.00,33,73.25,1
The Field - Cupid's Head,170,,,,,,33,,,,,,,,,,,,,,,,,,,,33.00,33,73.25,1
Richard Thompson - Electric,197,,,,,,,,33,,,,,,,,,,,,,,,,,,33.00,33,73.25,1
Still Corners - Strange Pleasures,241,,,,,,,,,,33,,,,,,,,,,,,,,,,33.00,33,73.25,1
Mark Knopfler - Privateering,263,,,,,,,,,,,33,,,,,,,,,,,,,,,33.00,33,73.25,1
Roly Porter - Life Cycle of a Massive Star,383,,,,,,,,,,,,,,,,,,,,,33,,,,,33.00,33,73.25,1
V/A - The Outer Church,409,,,,,,,,,,,,,,,,,,,,,,33,,,,33.00,33,73.25,1
Lee Noble - Ruiner,430,,,,,,,,,,,,,,,,,,,,,,,,33,,33.00,33,73.25,1
Karen Gwyer - Needs Continuum,118,,,,34,,,,,,,,,,,,,,,,,,,,,,34.00,34,73.29166667,1
Wire - Change Becomes Us,150,,,,,34,,,,,,,,,,,,,,,,,,,,,34.00,34,73.29166667,1
Yuck - Glow & Behold,171,,,,,,34,,,,,,,,,,,,,,,,,,,,34.00,34,73.29166667,1
Tinashe - Black Water,242,,,,,,,,,,34,,,,,,,,,,,,,,,,34.00,34,73.29166667,1
Vic Mensa - Innanetape,343,,,,,,,,,,,,,,,,,,34,,,,,,,,34.00,34,73.29166667,1
Best Coast - Fade Away,35,35,,,,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.33333333,1
Midlake - Antiphon,119,,,,35,,,,,,,,,,,,,,,,,,,,,,35.00,35,73.33333333,1
Gorguts - Colored Sands,172,,,,,,35,,,,,,,,,,,,,,,,,,,,35.00,35,73.33333333,1
Devendra Banhart - Mala,186,,,,,,,35,,,,,,,,,,,,,,,,,,,35.00,35,73.33333333,1
SZA - S,243,,,,,,,,,,35,,,,,,,,,,,,,,,,35.00,35,73.33333333,1
Tristen - CAVES,264,,,,,,,,,,,35,,,,,,,,,,,,,,,35.00,35,73.33333333,1
Mr. Muthafuckin' eXquire - Kismet,384,,,,,,,,,,,,,,,,,,,,,35,,,,,35.00,35,73.33333333,1
(Ensemble Pearl) - (Ensemble Pearl),152,,,,,36,,,,,,,,,,,,,,,,,,,,,36.00,36,73.375,1
Mark Kozelek & Desertshore - S/T,200,,,,,,,,36,,,,,,,,,,,,,,,,,,36.00,36,73.375,1
Deap Valley - Sistrionix,210,,,,,,,,,36,,,,,,,,,,,,,,,,,36.00,36,73.375,1
Jessy Lanza - Pull My Hair Back,410,,,,,,,,,,,,,,,,,,,,,,36,,,,36.00,36,73.375,1
The So So Glos - Blowout,37,37,,,,,,,,,,,,,,,,,,,,,,,,,37.00,37,73.41666667,1
Le1f - Fly Zone,153,,,,,37,,,,,,,,,,,,,,,,,,,,,37.00,37,73.41666667,1
Young Galaxy - Ultramarine,244,,,,,,,,,,37,,,,,,,,,,,,,,,,37.00,37,73.41666667,1
"Eels - Wonderful, Glorious",301,,,,,,,,,,,,,,,37,,,,,,,,,,,37.00,37,73.41666667,1
Tree - Sunday School II: When Church Lets Out,385,,,,,,,,,,,,,,,,,,,,,37,,,,,37.00,37,73.41666667,1
Atom TM - HD,411,,,,,,,,,,,,,,,,,,,,,,37,,,,37.00,37,73.41666667,1
A Hawk And A Hacksaw - You Have Already Gone,154,,,,,38,,,,,,,,,,,,,,,,,,,,,38.00,38,73.45833333,1
Courtney Barnett - The Double EP,211,,,,,,,,,38,,,,,,,,,,,,,,,,,38.00,38,73.45833333,1
CFCF - Outside,245,,,,,,,,,,38,,,,,,,,,,,,,,,,38.00,38,73.45833333,1
Night Beds - Country Sleep,265,,,,,,,,,,,38,,,,,,,,,,,,,,,38.00,38,73.45833333,1
Lanterns On The Lake - Until The Colours Run,302,,,,,,,,,,,,,,,38,,,,,,,,,,,38.00,38,73.45833333,1
Maya Jane Coles - Comfort,359,,,,,,,,,,,,,,,,,,,,38,,,,,,38.00,38,73.45833333,1
Donato Dozzy - Plays Bee Mask,386,,,,,,,,,,,,,,,,,,,,,38,,,,,38.00,38,73.45833333,1
Ashley Paul - Line The Clouds,412,,,,,,,,,,,,,,,,,,,,,,38,,,,38.00,38,73.45833333,1
Ahnnu - World Music,429,,,,,,,,,,,,,,,,,,,,,,,,38,,38.00,38,73.45833333,1
Keith Urban - Fuse,39,39,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.5,1
of Montreal - Lousy With Sylvianbriar,91,,,39,,,,,,,,,,,,,,,,,,,,,,,39.00,39,73.5,1
Don Christian - The Wayfarer,155,,,,,39,,,,,,,,,,,,,,,,,,,,,39.00,39,73.5,1
The Julie Ruin - Run Fast,212,,,,,,,,,39,,,,,,,,,,,,,,,,,39.00,39,73.5,1
Lee Bannon - Never/mind/the/darkness/of/it...,246,,,,,,,,,,39,,,,,,,,,,,,,,,,39.00,39,73.5,1
Ben Goldberg - Unfold Ordinary,360,,,,,,,,,,,,,,,,,,,,39,,,,,,39.00,39,73.5,1
King Louie - Jeep Music,387,,,,,,,,,,,,,,,,,,,,,39,,,,,39.00,39,73.5,1
The Necks - Open,413,,,,,,,,,,,,,,,,,,,,,,39,,,,39.00,39,73.5,1
Chief Keef - Almighty So,428,,,,,,,,,,,,,,,,,,,,,,,,39,,39.00,39,73.5,1
Black Sabbath - 13,123,,,,40,,,,,,,,,,,,,,,,,,,,,,40.00,40,73.54166667,1
L. Pierre - The Island Come True,156,,,,,40,,,,,,,,,,,,,,,,,,,,,40.00,40,73.54166667,1
Chris Forsyth - Solar Motel,201,,,,,,,,40,,,,,,,,,,,,,,,,,,40.00,40,73.54166667,1
Deer Tick - Negativity,266,,,,,,,,,,,40,,,,,,,,,,,,,,,40.00,40,73.54166667,1
Perfect Pussy - I Have Lost All Desire For Feeling,344,,,,,,,,,,,,,,,,,,40,,,,,,,,40.00,40,73.54166667,1
suicideyear - Japan,388,,,,,,,,,,,,,,,,,,,,,40,,,,,40.00,40,73.54166667,1
Endless Boogie - Long Island,414,,,,,,,,,,,,,,,,,,,,,,40,,,,40.00,40,73.54166667,1
Wanda Group - Piss Fell Out Like Sunlight,157,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,73.58333333,1
Neon Neon - Praxis Makes Perfect,188,,,,,,,41,,,,,,,,,,,,,,,,,,,41.00,41,73.58333333,1
Charlie Worsham - Rubberband,267,,,,,,,,,,,41,,,,,,,,,,,,,,,41.00,41,73.58333333,1
Alice Smith - She,292,,,,,,,,,,,,,,41,,,,,,,,,,,,41.00,41,73.58333333,1
French Montana - Excuse My French,345,,,,,,,,,,,,,,,,,,41,,,,,,,,41.00,41,73.58333333,1
Mutual Benefit - Love's Crushing Diamond,352,,,,,,,,,,,,,,,,,,,41,,,,,,,41.00,41,73.58333333,1
The Men - New Moon,361,,,,,,,,,,,,,,,,,,,,41,,,,,,41.00,41,73.58333333,1
Ciara - Ciara,389,,,,,,,,,,,,,,,,,,,,,41,,,,,41.00,41,73.58333333,1
G*Park - Sub,415,,,,,,,,,,,,,,,,,,,,,,41,,,,41.00,41,73.58333333,1
Matt Costa - Matt Costa,268,,,,,,,,,,,42,,,,,,,,,,,,,,,42.00,42,73.625,1
MONEY - The Shadow Of Heaven,304,,,,,,,,,,,,,,,42,,,,,,,,,,,42.00,42,73.625,1
Juana Molina - Wed 21,416,,,,,,,,,,,,,,,,,,,,,,42,,,,42.00,42,73.625,1
Charles Cohen - The Middle Distance,159,,,,,43,,,,,,,,,,,,,,,,,,,,,43.00,43,73.66666667,1
Cassie - RockaByeBaby,176,,,,,,43,,,,,,,,,,,,,,,,,,,,43.00,43,73.66666667,1
Kris Kristofferson - Feeling Mortal,269,,,,,,,,,,,43,,,,,,,,,,,,,,,43.00,43,73.66666667,1
The Underachievers - Indigoism,347,,,,,,,,,,,,,,,,,,43,,,,,,,,43.00,43,73.66666667,1
David Lang - Death Speaks,362,,,,,,,,,,,,,,,,,,,,43,,,,,,43.00,43,73.66666667,1
Vakula - You've Never Been To Konotop,390,,,,,,,,,,,,,,,,,,,,,43,,,,,43.00,43,73.66666667,1
William Tyler - The Impossible Truth,75,,44,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,73.70833333,1
Satelliti - Transister,160,,,,,44,,,,,,,,,,,,,,,,,,,,,44.00,44,73.70833333,1
Fuzz - S/T,202,,,,,,,,44,,,,,,,,,,,,,,,,,,44.00,44,73.70833333,1
Chelsea Wolfe - Pain Is Beauty,363,,,,,,,,,,,,,,,,,,,,44,,,,,,44.00,44,73.70833333,1
Filter Dread - Space Loops,391,,,,,,,,,,,,,,,,,,,,,44,,,,,44.00,44,73.70833333,1
Special Request - Soul Music,417,,,,,,,,,,,,,,,,,,,,,,44,,,,44.00,44,73.70833333,1
Avicii - True,45,45,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.75,1
Cayucas - Bigfoot,95,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,73.75,1
Rabih Beaini - Albidaya,161,,,,,45,,,,,,,,,,,,,,,,,,,,,45.00,45,73.75,1
Sigur Ros - Kveikur,189,,,,,,,45,,,,,,,,,,,,,,,,,,,45.00,45,73.75,1
Tim Easton - Not Cool,271,,,,,,,,,,,45,,,,,,,,,,,,,,,45.00,45,73.75,1
Sky Larkin - Motto,305,,,,,,,,,,,,,,,45,,,,,,,,,,,45.00,45,73.75,1
Earn - Hell on Earth,427,,,,,,,,,,,,,,,,,,,,,,,,45,,45.00,45,73.75,1
Amanda Shires - Down Fell The Doves,272,,,,,,,,,,,46,,,,,,,,,,,,,,,46.00,46,73.79166667,1
Birdman & Rick Ross - The H: The Lost Album Vol. 1,348,,,,,,,,,,,,,,,,,,46,,,,,,,,46.00,46,73.79166667,1
Jacco Gardner - Cabinet of Curiosities,364,,,,,,,,,,,,,,,,,,,,46,,,,,,46.00,46,73.79166667,1
John Wizards - John Wizards,418,,,,,,,,,,,,,,,,,,,,,,46,,,,46.00,46,73.79166667,1
Paisley Parks - G.H.O.S.T.,426,,,,,,,,,,,,,,,,,,,,,,,,46,,46.00,46,73.79166667,1
John Foxx And The Maths - Evidence,163,,,,,47,,,,,,,,,,,,,,,,,,,,,47.00,47,73.83333333,1
Steve Martin & Edie Brickell - Love Has Come For You,273,,,,,,,,,,,47,,,,,,,,,,,,,,,47.00,47,73.83333333,1
The Range - Nonfiction,353,,,,,,,,,,,,,,,,,,,47,,,,,,,47.00,47,73.83333333,1
Friendzone - DX,393,,,,,,,,,,,,,,,,,,,,,47,,,,,47.00,47,73.83333333,1
Body/Head - Coming Apart,77,,48,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,73.875,1
NYPC - NYPC,164,,,,,48,,,,,,,,,,,,,,,,,,,,,48.00,48,73.875,1
Carcass - Surgical Steel,178,,,,,,48,,,,,,,,,,,,,,,,,,,,48.00,48,73.875,1
Iron & Wine - Ghost On Ghost,203,,,,,,,,48,,,,,,,,,,,,,,,,,,48.00,48,73.875,1
Jonny Fritz - Dad Country,274,,,,,,,,,,,48,,,,,,,,,,,,,,,48.00,48,73.875,1
Dom Kennedy - Get Home Safely,349,,,,,,,,,,,,,,,,,,48,,,,,,,,48.00,48,73.875,1
Call Back The Giants - The Marianne,420,,,,,,,,,,,,,,,,,,,,,,48,,,,48.00,48,73.875,1
Frog Eyes - Carey's Cold Spring,425,,,,,,,,,,,,,,,,,,,,,,,,48,,48.00,48,73.875,1
Matt Berry - Kill The Wolf,165,,,,,49,,,,,,,,,,,,,,,,,,,,,49.00,49,73.91666667,1
Courtney Jaye - Love and Forgiveness,275,,,,,,,,,,,49,,,,,,,,,,,,,,,49.00,49,73.91666667,1
Foodman - Shokuhin,424,,,,,,,,,,,,,,,,,,,,,,,,49,,49.00,49,73.91666667,1
Beck - Song Reader,50,50,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.95833333,1
Time Is a Mountain - Time Is a Mountain,128,,,,50,,,,,,,,,,,,,,,,,,,,,,50.00,50,73.95833333,1
Katie Gately - Katie Gately,166,,,,,50,,,,,,,,,,,,,,,,,,,,,50.00,50,73.95833333,1
Houndstooth - Ride Out The Dark,204,,,,,,,,50,,,,,,,,,,,,,,,,,,50.00,50,73.95833333,1
The Black Lillies - Runaway Freeway Blues,276,,,,,,,,,,,50,,,,,,,,,,,,,,,50.00,50,73.95833333,1
SubRosa - More Constant Than The Gods,293,,,,,,,,,,,,,,50,,,,,,,,,,,,50.00,50,73.95833333,1
"The Veils - Time Stays, We Go",307,,,,,,,,,,,,,,,50,,,,,,,,,,,50.00,50,73.95833333,1
Big Sean - Hall Of Fame,350,,,,,,,,,,,,,,,,,,50,,,,,,,,50.00,50,73.95833333,1
Laura Stevenson - Wheel,365,,,,,,,,,,,,,,,,,,,,50,,,,,,50.00,50,73.95833333,1
Cream Juice - Man Feelings,394,,,,,,,,,,,,,,,,,,,,,50,,,,,50.00,50,73.95833333,1
Jem Finer & Andrew Kötting - Visionary Seascapes,421,,,,,,,,,,,,,,,,,,,,,,50,,,,50.00,50,73.95833333,1
