ALBUM,ID,STONE,SPIN,PASTE,MOJO,QUIETUS,SGUM,Q,UNCUT,NME,GvsB,AmSong,AVClub,P&P,POPMAT,DRWND,MAGNET,NPR,COMPLX,PFORK,eMUSIC,FACT,WIRE,SLANT,TMT,,AVG,WT-AVG,CONS-SCORE,# Lists
MIA - Matangi,47,47,11,24,,,,,,12,,,,26,,,,,32,46,,,,,,,28.29,4.040816327,61.375,7
Fuck Buttons - Slow Focus,48,48,,,,,,,,40,,,12,,,13,,,,45,23,,,19,,,28.57,4.081632653,61.45833333,7
Boards of Canada - Tomorrow's Harvest,52,,7,,,,,25,10,,,,,,,22,,,,38,,,23,,,,20.83,3.472222222,61.45833333,6
Rhye - Woman,63,,26,32,,,,,,,,,,24,38,,,25,14,42,,,,,,,28.71,4.102040816,61.5,7
Parquet Courts - Light Up Gold,11,11,,23,,,,33,18,24,,,,,,,,,,40,,,,,,,24.83,4.138888889,62.45833333,6
Blood Orange - Cupid Deluxe,168,,,,,,20,,,,,,,10,,,,25,9,21,,,,,,,17.00,3.4,62.91666667,5
Dean Blunt - The Redeemer,151,,,,,35,,,,,22,,,,,,,,,,,1,26,,2,,17.20,3.44,62.95833333,5
John Grant - Pale Green Ghosts,101,,,,5,,,9,4,,,,,,,9,,,,,,,,,,,6.75,1.6875,63.625,4
Laurel Halo - Chance of Rain,140,,,,,21,,,,,40,,,,,,,,,,,36,2,,14,,22.60,4.52,64.08333333,5
The Haxan Cloak - Excavation,55,,14,40,,14,,,,,,,,,,,,,,29,17,,,,,,22.80,4.56,64.125,5
Foals - Holy Fire,133,,,,,9,,15,,4,,,,,,15,,,,,,,,,,,10.75,2.6875,64.29166667,4
Tegan & Sara - Heartthrob,30,30,13,,,,19,,,33,,,,,24,,,,,,,,,,,,23.80,4.76,64.33333333,5
DJ Rashad - Double Cup,237,,,,,,,,,,29,,,,,,,,39,23,,,12,,20,,24.60,4.92,64.5,5
Kelela - CUT 4 ME,69,,36,,,23,,,,,,,,,,,,,28,,33,5,,,,,25.00,5,64.58333333,5
Pet Shop Boys - Electric,108,,,,20,26,,30,,,,,,,,46,,,,,,,,10,,,26.40,5.28,64.875,5
James Holden - The Inheritors,73,,42,,14,,,,,,,,,,,44,,,,,,16,27,,,,28.60,5.72,65.33333333,5
Mikal Cronin - MCII,57,,18,2,,,,,,,,,,,36,,,,,,18,,,,,,18.50,4.625,65.58333333,4
ASAP Ferg - Trap Lord,147,,,,,31,44,,,,,,,19,,,,,8,,48,,,,,,30.00,6,65.625,5
Speedy Ortiz - Major Arcana,99,,,49,,,31,,,44,,,16,,45,,,,,48,,,,,,,38.83,6.472222222,65.95833333,6
Nine Inch Nails - Hesitation Marks,19,19,15,,,,25,,,,,,,,,25,,,,,,,,,,,21.00,5.25,66,4
Laura Mvula - Sing To The Moon,107,,,,19,,,16,,,,,,,,,,25,,,24,,,,,,21.00,5.25,66,4
Eleanor Friedberger - Personal Record,96,,,46,24,,,,37,,,,,,31,,22,,,,,,,,,,32.00,6.4,66.04166667,5
ASAP Rocky - Long Live ASAP,146,,,,,30,47,,,,,,,25,,,,,19,39,,,,,,,32.00,6.4,66.04166667,5
Okkervil River - The Silver Gymnasium,84,,,22,,,,,43,,,,,,20,,1,,,,,,,,,,21.50,5.375,66.08333333,4
Ashley Monroe - Like A Rose,18,18,35,,,,,,,,,14,,,26,,,,,,,,,,,,23.25,5.8125,66.375,4
Eminem - Marshall Mathers LP 2,24,24,28,,,,,,,,,,,,48,,,,6,,,,,,,,26.50,6.625,66.91666667,4
Manic Street Preachers - Rewind The Film,112,,,,28,,,6,45,,,,,,,32,,,,,,,,,,,27.75,6.9375,67.125,4
The Flaming Lips - The Terror,49,49,,,48,,,,,,,,,,,,,25,,,35,,,,34,,38.20,7.64,67.33333333,5
Forest Swords - Engravings,173,,,,,,37,,,,,,,,,,,,,34,,,35,,10,,29.00,7.25,67.33333333,4
Julianna Barwick - Nepenthe,216,,,,,,,,,,3,,,,,3,,,,,,,,,35,,13.67,4.555555556,67.33333333,3
Jai Paul - Jai Paul,221,,,,,,,,,,9,,,,,,,,,20,,12,,,,,13.67,4.555555556,67.33333333,3
Atoms For Peace - Amok,15,15,,,,,,,27,,,,,,,,4,,,,,,,,,,15.33,5.111111111,67.54166667,3
Jagwar Ma - Howlin',180,,,,,,,11,,16,,,,,,23,,,,,,,,,,,16.67,5.555555556,67.70833333,3
Yo La Tengo - Fade,177,,,,,,46,,30,,,,,,,48,3,,,,,,,,,,31.75,7.9375,67.79166667,4
Paul McCartney - New,4,4,,,42,,,,,,,8,,,,,,,,,,,,,,,18.00,6,67.875,3
Local Natives - Hummingbird,86,,,30,,,,,,,,,,,,12,,,,,,,,15,,,19.00,6.333333333,68,3
Prefab Sprout - Crimson/Red,105,,,,12,,,34,12,,,,,,,,,,,,,,,,,,19.33,6.444444444,68.04166667,3
Foxygen - We Are The 21st Century Ambassadors,79,,,3,46,,,,,,,,,,,,10,,,,,,,,,,19.67,6.555555556,68.08333333,3
Pharmakon - Abandon,175,,,,,,40,,,,,,,,,,,,,,,,16,,4,,20.00,6.666666667,68.125,3
Brandy Clark - Twelve Stories,257,,,,,,,,,,,27,,,,,,25,,,8,,,,,,20.00,6.666666667,68.125,3
Daniel Avery - Drone Logic,131,,,,,7,,29,,,,,,,,,,25,,,,,,,,,20.33,6.777777778,68.16666667,3
Death Grips - Government Plates,74,,43,,,,,,,,36,,,,,,,,,,,,,17,41,,34.25,8.5625,68.20833333,4
Justin Timberlake - The 20/20 Experience,67,,32,,,,49,,,,,,,,,17,,,,44,,,,,,,35.50,8.875,68.41666667,4
J. Cole - Born Sinner,41,41,,,,,,,,,,,,,,,,,13,,,,,14,,,22.67,7.555555556,68.45833333,3
Superchunk - I Hate Music,76,,45,,,,22,,,,,,,,,,7,,,,,,,,,,24.67,8.222222222,68.70833333,3
Grumbling Fur - Glynnaestra,129,,,,,1,,,,,,,,,,,,,,,,24,49,,,,24.67,8.222222222,68.70833333,3
Palma Violets - 180,184,,,,,,,21,,32,,,,,25,,,,,,,,,,,,26.00,8.666666667,68.875,3
Los Campesinos! - No Blues,280,,,,,,,,,,,,18,,49,14,,,,,,,,,,,27.00,9,69,3
Cass McCombs - Big Wheel and Others,93,,,42,,,,7,,,,,,,,,,,,,34,,,,,,27.67,9.222222222,69.08333333,3
Caitlin Rose - The Stand-In,62,,25,,,,,,25,,,34,,,,,,,,,,,,,,,28.00,9.333333333,69.125,3
Frightened Rabbit - Pedestrian Verse,92,,,41,,,,,,,,,13,,,30,,,,,,,,,,,28.00,9.333333333,69.125,3
Charli XCX - True Romance,227,,,,,,,,,,18,,,,,,,,49,,,,,18,,,28.33,9.444444444,69.16666667,3
King Krule - 6 Feet Beneath,214,,,,,,,,,47,,,,30,46,,,,38,,,,,,,,40.25,10.0625,69.20833333,4
Valerie June - Pushin' Against A Stone,44,44,,,,,,,,,,21,,,,,,25,,,,,,,,,30.00,10,69.375,3
John Murry - The Graceless Age,104,,,,10,,,,,,,5,,,,,,,,,,,,,,,7.50,3.75,69.375,2
Graham Lambkin & Jason Lescalleet - Photographs,397,,,,,,,,,,,,,,,,,,,,,,9,,7,,8.00,4,69.41666667,2
RP Boo - Legacy,134,,,,,10,,,,,,,,,,,,,,,,,7,,,,8.50,4.25,69.45833333,2
Rashad Becker - Traditional Music of Notional Species v1,136,,,,,15,,,,,,,,,,,,,,,,,3,,,,9.00,4.5,69.5,2
Hookworms - Pearl Mystic,207,,,,,,,,,18,,,,,,1,,,,,,,,,,,9.50,4.75,69.54166667,2
Paramore - Paramore,278,,,,,,,,,,,,15,,,4,,,,,,,,,,,9.50,4.75,69.54166667,2
Majical Cloudz - Impersonator,351,,,,,,,,,,,,,,,,,,,8,12,,,,,,10.00,5,69.58333333,2
Migos - Young Rich Niggas,64,,27,,,,26,,,,,,,,,,,,44,,,,,,,,32.33,10.77777778,69.66666667,3
Arca - &&&&&,224,,,,,,,,,,13,,,,,,,,,,,,,,9,,11.00,5.5,69.66666667,2
Phoenix - Bankrupt!,22,22,,,,,29,,47,,,,,,,,,,,,,,,,,,32.67,10.88888889,69.70833333,3
Volcano Choir - Repave,83,,,17,,,11,,,,,,,,,,,,,,,,,,,,14.00,7,69.91666667,2
Matthew E White - Big Inner,182,,,,,,,17,11,,,,,,,,,,,,,,,,,,14.00,7,69.91666667,2
Kevin Gates - The Luca Brasi Story,340,,,,,,,,,,,,,,,,,,24,,,7,,,,,15.50,7.75,70.04166667,2
Logos - Cold Mission,139,,,,,20,,,,,,,,,,,,,,,,13,,,,,16.50,8.25,70.125,2
Burial - Truant/Rough Sleeper,217,,,,,,,,,,4,,,,,,,,,33,,,,,,,18.50,9.25,70.29166667,2
Lucius - Wildewoman,82,,,13,,,,,,,,,,,,,,25,,,,,,,,,19.00,9.5,70.33333333,2
Darkside - Psychic,235,,,,,,,,,,27,,,,,,,,,11,,,,,,,19.00,9.5,70.33333333,2
Colin Stetson - New History Warfare Vol. 3,72,,41,,,,,,,,,,,,,36,,,,,,,,37,,,38.00,12.66666667,70.375,3
Elvis Costello & The Roots - Wise Up Ghost,115,,,,31,,,,,,,9,,,,,,,,,,,,,,,20.00,10,70.41666667,2
Stara Rzeka - Cien Chmury Nad Ukrytym Polem,135,,,,,12,,,,,,,,,,,,,,,,,,,28,,20.00,10,70.41666667,2
The Civil Wars - The Civil Wars,254,,,,,,,,,,,19,,,,,,,,,,,,23,,,21.00,10.5,70.5,2
Typhoon - White Lighter,90,,,37,,,,,,,,,,,,,,,,,,,,6,,,21.50,10.75,70.54166667,2
Sun Kil Moon & The Album Leaf - Perils From The Sea,102,,,,8,,,,35,,,,,,,,,,,,,,,,,,21.50,10.75,70.54166667,2
Ariana Grande - Yours Truly,232,,,,,,,,,,24,,,,,,,,20,,,,,,,,22.00,11,70.58333333,2
Wolf Eyes - No Answer : Lower Floors,396,,,,,,,,,,,,,,,,,,,,,,8,,36,,22.00,11,70.58333333,2
Roy Harper - Man and Myth,122,,,,39,,,,6,,,,,,,,,,,,,,,,,,22.50,11.25,70.625,2
Matana Roberts - Coin Coin Chapter Two,398,,,,,,,,,,,,,,,,,,,,,,14,,31,,22.50,11.25,70.625,2
Fire! Orchestra - Exit!,141,,,,,24,,,,,,,,,,,,,,,,,22,,,,23.00,11.5,70.66666667,2
Pissed Jeans - Honeys,299,,,,,,,,,,,,,,,28,18,,,,,,,,,,23.00,11.5,70.66666667,2
White Denim - Corsicana Lemonade,198,,,,,,,,34,,14,,,,,,,,,,,,,,,,24.00,12,70.75,2
Kvelertak - Meir,68,,34,,,,15,,,,,,,,,,,,,,,,,,,,24.50,12.25,70.79166667,2
Unknown Mortal Orchestra - II,85,,,25,,,,,24,,,,,,,,,,,,,,,,,,24.50,12.25,70.79166667,2
Primal Scream - More Light,114,,,,30,,,49,,46,,,,,,,,,,,,,,,,,41.67,13.88888889,70.83333333,3
