ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
CHVRCHES - Love is Dead,350,Synthpop,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
The Story So Far - Proper Dose,403,Pop Punk,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Trouble & Mike WiLL Made It - Edgewood,410,Trap Rap,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Miya Folick - Premonitions,426,Indie Pop,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,45.00,45,74.0625,1,0,0
Hodera - Besides,453,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,45.00,45,74.0625,1,0,0
Maxo Kream - Punken,495,Trap Rap,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,45.00,45,74.0625,1,0,0
Binker and Moses - Alive in the East?,102,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.09375,1,0,0
Balun - Prisma Tropical,203,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.09375,1,0,0
The Weeknd - My Dear Melancholy,297,Alternative R&B,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,46.00,46,74.09375,1,0,0
Kenny Allstar - Block Diaries,313,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,46.00,46,74.09375,1,0,0
Jon Hassell - Listening to Pictures (Pentimento Volume One),391,Ambient,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,46.00,46,74.09375,1,0,0
Sunmi - Warning,427,K-Pop,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,46.00,46,74.09375,1,0,0
Antarctigo Vespucci - Love in the Time of E-Mail,454,Power Pop,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,46.00,46,74.09375,1,0,0
Ross from Friends - Family Portrait,472,Deep House,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,46.00,46,74.09375,1,0,0
Kali Malone - Organ Dirges 2016-2017,496,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,46.00,46,74.09375,1,0,0
Arc Iris - Icon of Ego,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,46.00,46,74.09375,1,0,0
Mattiel - Mattiel,47,Alternative Rock,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Imarhan - Temet,103,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Gaika - Basic Volume,179,Hip Hop,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Dilly Dally - Heaven,265,Alternative Rock,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Ozuna - Aura,278,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Nap Eyes - I'm Bad Now,324,Indie Rock,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Ipek Gorgun - Ecce Homo,392,Electroacoustic,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Gorillaz - The Now Now,404,Electropop,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,47.00,47,74.125,1,0,0
Reese Laflare - Reese Laflare,428,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,47.00,47,74.125,1,0,0
Trevor Powers - Mulberry Violence,473,Glitch Pop,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,47.00,47,74.125,1,0,0
V/A - Patina Echoes,497,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,47.00,47,74.125,1,0,0
"The Good, The Bad & The Queen - Merrie Land",516,Art Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,47.00,47,74.125,1,0,0
Electric Indigo - 5 1 1 5 9 3,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,47.00,47,74.125,1,0,0
Django Django - Marble Skies,48,Indie Pop,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.15625,1,0,0
Alexander Tucker - Don't Look Away,238,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.15625,1,0,0
Kyle - Light of Mine,266,Pop Rap,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,74.15625,1,0,0
Okzharp & Manthe Ribane - Closer Apart,356,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,48.00,48,74.15625,1,0,0
The Prodgy - No Tourists,405,Big Beat,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,48.00,48,74.15625,1,0,0
Twice - Summer Nights,429,K-Pop,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,48.00,48,74.15625,1,0,0
Molly Burch - First Flower,461,Indie Pop,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,48.00,48,74.15625,1,0,0
Chevel - Always Yours,498,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,48.00,48,74.15625,1,0,0
Josh Rouse - Love in the Modern Age,513,Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,48.00,48,74.15625,1,0,0
Lucrecia Dalt - Anticlines,560,Electroacoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48.00,48,74.15625,1,0,0
Rex Orange Country - Apricot Princess,49,R&B,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Mary Lattimore - Hundreds of Days,87,New Age,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Villagers - The Art of Pretending to Swim,104,Indie Folk,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Alison Cotton - All is Quiet at the Ancient Theatre,239,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Dierks Bentley - The Mountain,279,Country,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
The Longcut - Arrows,325,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Georgia Anne Muldrow - Overload,347,Neo-Soul,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Musarc & Neil Luck - Bloody Sirens,394,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Rejjie Snow - Dear Annie,406,Hip Hop,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Esperanza Spalding - 12 Little Spells,415,Art Pop,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,49.00,49,74.1875,1,0,0
Stove - 's Favorite Friend,455,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,49.00,49,74.1875,1,0,0
ELOHIM - Elohim,462,Electropop,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,49.00,49,74.1875,1,0,0
King Champion Sounds - For A Lark,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,49.00,49,74.1875,1,0,0
Satoshi Nakamoto - NYPD Records Volume 2,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,49.00,49,74.1875,1,0,0
The Necks - Body,88,Post-Rock,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.21875,1,0,0
Migos - Culture II,298,Trap Rap,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,50.00,50,74.21875,1,0,0
Dean Blunt - Soul on Fire,315,Hypnagogic Pop,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,50.00,50,74.21875,1,0,0
The Sonder Bombs - MODERN FEMALE ROCKSTAR,456,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,50.00,50,74.21875,1,0,0
Frigs - Basic Behaviour,463,Post-Punk,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50.00,50,74.21875,1,0,0
Many Rooms - There is a Presence Here,474,Ambient Pop,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,50.00,50,74.21875,1,0,0
