ALBUM,ID,genre,RTRADE,UNCUT,MOJO,PASTE,CoS,LINE,NPR,QUIETUS,SGUM,UPROXX,BILLBRD,COMPLX,CRACK,MSCOMH,NOISEY,PFORK,POPMAT,WIRE,NME,SPIN,RS,405,ALTERN,BLARE,EARBUD,FACT,GIITV,Q,TMT,TREBLE,VINFAC,GUARD,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Agnarkea - Black Helicopters,381,Electronic,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,28.00,28,73.53125,1,0,0
Dessa - Chime,468,Art Pop,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,28.00,28,73.53125,1,0,0
Kelman Duran - 13th Month,488,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,28.00,28,73.53125,1,0,0
The Blood Tub Orchestra - The Seven Curses of the Music Hall,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,28.00,28,73.53125,1,0,0
Fire-Toolz - Skinless X-1,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,28.00,28,73.53125,1,0,0
Dave East - P2,148,Hip Hop,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.5625,1,0,0
Leikeli47 - Acrylic,189,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.5625,1,0,0
Todd Barton - Multum in Parvo,224,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.5625,1,0,0
Hailu Mergia - Lala Belu,382,Jazz,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,29.00,29,73.5625,1,0,0
Young Nudy - SlimeBall 3,489,Trap Rap,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,29.00,29,73.5625,1,0,0
Prime Minister of Doom - Mudshadow Propaganda,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,29.00,29,73.5625,1,0,0
Josh T. Pearson - The Straight Fits,30,Indie Rock,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
Melissa Laveaux - Radyo Siwel,71,Indie Pop,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
The Yossarians - Ambition Will Eat Itself,225,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
Benin City - Last Night,349,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
Jim O'Rourke - Sleep Like It's Winter,383,Ambient,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
Free Cake For Every Creature - The Bluest Star,411,Twee Pop,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,30.00,30,73.59375,1,0,0
Tess Roby - Beacon,490,Ambient Pop,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,30.00,30,73.59375,1,0,0
Lord Huron - Vide Noir,504,Indie Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30.00,30,73.59375,1,0,0
Klein - cc,528,Sound Collage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,30.00,30,73.59375,1,0,0
Orquesta Akokan - Orquesta Akokan,191,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.625,1,0,0
Jenny Hval - The Long Sleep,226,Art Pop,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,31,73.625,1,0,0
Ryuichi Sakamoto - async remodels,308,Ambient,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,31.00,31,73.625,1,0,0
Anne Guthrie - Brass Orchids,384,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,31.00,31,73.625,1,0,0
Hana Vu - How Many Times Have You Driven By,421,Indie Pop,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,31.00,31,73.625,1,0,0
Spanish Love Songs - Schmaltz,445,Emo,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,31.00,31,73.625,1,0,0
Pinkshinyultrablast - Miserable Miracles,505,Dream Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,31.00,31,73.625,1,0,0
Exael - Collex,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,31.00,31,73.625,1,0,0
Car Seat Headrest - Twin Fantasy,151,Indie Rock,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.65625,1,0,0
Laibach - The Sound of Music,227,Post-Industrial,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,32,73.65625,1,0,0
Sarah Shook & The Disarmers - Years,359,Alt-Country,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,32.00,32,73.65625,1,0,0
OHMME - Parts,407,Indie Rock,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,32.00,32,73.65625,1,0,0
Beta Librae - Sanguine Bond,491,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32.00,32,73.65625,1,0,0
Dead Can Dance - DIONYSUS,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,32.00,32,73.65625,1,0,0
Armand Hammer - Paraffin,529,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,32.00,32,73.65625,1,0,0
Children of Zeus - Travel Light,553,Hip Hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,32.00,32,73.65625,1,0,0
Rosanne Cash - She Remembers Everything,122,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Tash Sultana - Flow State,152,Neo-Soul,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Pale Waves - My Mind Makes Noises,173,Pop Rock,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Colin Self - Siblings,192,Art Pop,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
Dear Nora - Skulls Example,248,Indie Pop,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,33.00,33,73.6875,1,0,0
