ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Sabrina Carpenter - Short n' Sweet,,,,25,34,,4,45,,,,,42,,,3,,28,19,,,,,,,,,,35,44,29,,,14,9,,3,,,,,,,,,,23.86,1.704081633,56.15789474,14,4,0
"Cassandra Jenkins - My Light, My Destroyer",14,11,27,22,,20,,43,,,13,,,,9,,,,,,,,,1,,,,43,28,,9,,,,31,,,,,,,,,,,,20.85,1.603550296,56.47368421,13,3,1
The Last Dinner Party - Prelude to Ecstasy,46,,5,,,,,,,50,5,,23,,,32,,50,,,,10,,,28,13,48,45,,28,,,,8,,,37,,,,,,,,,,28.53,1.902222222,56.65789474,15,4,0
Blood Incantation - Absolute Elsewhere,,,,12,9,,,26,,,36,,,,,,5,,,,,,16,,,27,,30,34,,,4,16,,,,,11,,,,,,,,,18.83,1.569444444,57.26315789,12,3,0
Mdou Moctar - Funeral for Justice,22,14,,18,7,,19,,,12,,,,,,,,,,13,,,,,,,50,,30,4,47,39,,,45,,,,,,,,,,,,24.62,1.893491124,57.76315789,13,2,0
Johnny Blue Skies - Passage du Desir,,17,,,4,5,24,42,,,38,,,,,,18,,,,,34,,,,28,,,,15,28,25,,,,,,,,,,,,,,,23.17,1.930555556,58.63157895,12,2,0
Laura Marling - Patterns in Repeat,41,45,3,,,42,,,,22,34,,,,34,,,36,,,36,,,25,,,35,24,31,,,,,,25,,,,,,,,,,,,30.93,2.209183673,58.76315789,14,1,0
Jamie xx - In Waves,,,22,50,28,,,,,,,,,,,48,,17,,,11,,,,,4,13,,,8,,30,,,44,12,,,,,,,,,,,23.92,1.993055556,58.86842105,12,2,0
Mount Eerie - Night Palace,,,,,26,,,7,,45,,6,,,17,,,,,,,23,,,,,,22,7,32,22,18,,,,,,,,,,,,,,,20.45,1.859504132,59.21052632,11,3,0
Amyl and the Sniffers - Cartoon Darkness,34,,7,,17,,,,,,,,29,26,,,,,,,5,,3,,1,,41,,,,,,,38,34,,,,,,,,,,,,21.36,1.94214876,59.47368421,11,4,1
Chat Pile - Cool World,,,,7,19,,,21,,,,,,,11,,37,,,44,,35,,,,,,6,,,,1,,,49,,,6,,,,,,,,,21.45,1.950413223,59.5,11,4,1
Knocked Loose - You Won't Go Before You're Supposed To,,,,41,43,,,,,,,,27,14,,,16,,,27,,,1,15,,8,,,,,,,,,42,,,12,,,,,,,,,22.36,2.033057851,59.76315789,11,2,1
Schoolboy Q - Blue Lips,,,,31,33,,,,,,44,,28,,,25,17,39,10,,,29,,22,,,,,,,,,,,,,6,44,,,,,,,,,27.33,2.277777778,59.94736842,12,2,0
Vince Staples - Dark Times,,,,20,36,8,,,,,,,,12,35,30,,14,32,,,18,,,,,,,,,,,,,,,8,,,,,,,,,,21.30,2.13,60.86842105,10,2,0
Gillian Welch & David Rawlings - Woodland,4,2,,,,22,28,,,,,,,,45,,,,,,43,,,34,,25,,,,33,31,27,,,,,,,,,,,,,,,26.73,2.429752066,61.02631579,11,2,0
Fabiana Palladino - Fabiana Palladino,,,20,,,33,,,,,,24,,,,,,13,,37,,,,,,,17,,,,,44,,45,17,14,,,,,,,,,,,26.40,2.64,62.21052632,10,0,0
KA - The Thief Next to Jesus,,,,,,47,,18,,,,12,,,19,,48,,6,,,,,,,,,,24,,,42,14,,,,49,,,,,,,,,,27.90,2.79,62.60526316,10,1,0
Bill Ryder-Jones - Iechyd Da,5,16,19,,,,,,22,,,,40,,,,44,,,,,,,,,15,23,,,,,,,,32,,,,,,,,,,,,24.00,2.666666667,62.92105263,9,1,0
Mabe Fratti - Sentir Que No Sabes,,31,,,,17,,35,,,,,,,20,,,,,8,,,,43,,,,,20,,,35,,,12,,,,,,,,,,,,24.56,2.728395062,63.05263158,9,1,0
Hurray for the Riff Raff - The Past Is Still Alive,,20,,,,12,36,,,,,,,,8,,32,,,,,,,,,,,,33,40,19,43,,,,,,,,,,,,,,,27.00,3,63.63157895,9,1,0
KNEECAP - Fine Art,,,26,,,,,,,27,,,13,50,,,,,,,,41,,46,44,48,,,,,,,,2,29,,,,,,,,,,,,32.60,3.26,63.84210526,10,1,0
