ALBUM,MOJO,UNCUT,RGHTRD,EXCLM,CNSQE,PASTE,ROLSTN,SGUM,QTUS,STILL,NORIP,FADER,NME,ALTNVE,BPM,BBRD,BVEG,CLASH,CMPLX,CRACK,DBLJ,FLOOD,KRNG,LINE,LTW,MONDO,mOMH,NT,P4K,POPMT,SLANT,TRBLE,WIRE,HOTP,GRDN,LESIN,EARMK,SPTNK,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Poppy - Negative Spaces,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,14,,,,,,,,,10.00,5,71.57894737,2,1,0
Nubya Garcia - Odyssey,45,,,,,,,40,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,32.67,10.88888889,71.65789474,3,0,0
Charles Lloyd - The Sky Will Still Be There Tomorrow,29,46,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,33.33,11.11111111,71.71052632,3,0,0
Wunderhorse - Midas,,,42,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,34.00,11.33333333,71.76315789,3,0,0
AURORA - What Happened to the Heart?,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,35,,,35,,,,,,,,,,,,,34.33,11.44444444,71.78947368,3,0,0
DJ Anderson Do Paraíso - Queridão,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,15.00,7.5,71.84210526,2,1,0
Chow Lee - Sex Drive,,,,,,,,,,,,34,,,,,,,42,,,,,,,,,,,,30,,,,,,,,,,,,,,,,35.33,11.77777778,71.86842105,3,0,0
Dialect - Atlas of Green,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,15.50,7.75,71.86842105,2,0,0
Ayra Starr - The Year I Turned 21,,,,,,,,,,,,20,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,8,71.89473684,2,0,0
Good Looks - Lived Here For A While,,,,,,48,,,,,27,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,35.67,11.88888889,71.89473684,3,0,0
Hovvdy - Hovvdy,,,,,31,,,33,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67,11.88888889,71.89473684,3,0,0
Judas Priest - Invincible Shield,,,,,45,,,,,,,,,,,,,,,,,,26,,,,,,,,,,36,,,,,,,,,,,,,,35.67,11.88888889,71.89473684,3,0,0
SahBabii - Saaheem,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,21,,,,,,,,,,16.00,8,71.89473684,2,0,0
SOPHIE - SOPHIE,,,1,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,16.00,8,71.89473684,2,1,1
The Jesus and Mary Chain - Glasgow Eyes,47,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,38,,,,,,,,,,,35.67,11.88888889,71.89473684,3,0,0
Green Day - Saviors,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,24,,,,,,,,,,16.50,8.25,71.92105263,2,1,0
King Hannah - Big Swimmer,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,24,,,,,,,,,,,16.50,8.25,71.92105263,2,1,0
LL Cool J - The Force,,,,,,,,47,,,,,,,,,,,40,,21,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,12,71.92105263,3,0,0
Oranssi Pazuzu - Muuntautuja,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,16.50,8.25,71.92105263,2,1,0
The Body & Dis Fig - Orchards of a Futile Heaven,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,16.50,8.25,71.92105263,2,0,0
Cameron Winter - Heavy Metal,,,,,,,,,,48,,,,,,,,,,,,,,28,,,,33,,,,,,,,,,,,,,,,,,,36.33,12.11111111,71.94736842,3,0,0
Cloud Nothings - Final Summer,,,50,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,36.33,12.11111111,71.94736842,3,0,0
Drug Church - Prude,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,50,,26,,,,,,,,,,,,,,,36.67,12.22222222,71.97368421,3,0,0
Hamish Hawk - A Firmer Hand,,,,,,,,,42,,,,,,,,,,,,,,,,,,30,,,,38,,,,,,,,,,,,,,,,36.67,12.22222222,71.97368421,3,0,0
METZ - Up On Gravity Hill,,,,,,,,,,,42,,,,,,,,,,,,,,,,,46,,,,22,,,,,,,,,,,,,,,36.67,12.22222222,71.97368421,3,0,0
Orla Gartland - Everybody Needs A Hero,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,17.50,8.75,71.97368421,2,0,0
Gatecreeper - Dark Superstition,,,,,,,,,,,,,,,,,28,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,18.00,9,72,2,1,0
State Faults - Children of the Moon,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,18.00,9,72,2,1,0
Fat White Family - Forgiveness Is Yours,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,18.50,9.25,72.02631579,2,0,0
David Gilmour - Luck and Strange,18,48,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,37.67,12.55555556,72.05263158,3,0,0
Soft Play - Heavy Jelly,,,,,,,,,,,,,,,,,,,,,,,17,,21,,,,,,,,,,,,,,,,,,,,,,19.00,9.5,72.05263158,2,0,0
Meryl Streek - Songs for the Deceased,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,30,,,,,,,,,,,,,19.50,9.75,72.07894737,2,1,0
Naemi - Dust Devil,,,,,,,,,26,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50,9.75,72.07894737,2,0,0
Latto - Sugar Honey Iced Tea,,,,,,,46,,,,,,,38,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33,12.77777778,72.10526316,3,0,0
Michael Head & The Red Elastic Band - Loophole,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,10.5,72.15789474,2,0,0
Skee Mask - Resort,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,33,,,,,,,,,21.00,10.5,72.15789474,2,1,0
Four Tet - Three,,,,38,,,,38,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.33,13.11111111,72.18421053,3,0,0
Madi Diaz - Weird Faith,,,,,,,,41,,,,,,,,,,,,,,36,,,,,,,,41,,,,,,,,,,,,,,,,,39.33,13.11111111,72.18421053,3,0,0
Peggy Gou - I Hear You,,,38,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,43,,,,,,,,,,,39.33,13.11111111,72.18421053,3,0,0
The High Llamas - Hey Panda,,23,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,21.50,10.75,72.18421053,2,0,0
BIG SPECIAL - Postindustrial Hometown Blues,,,12,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,22.50,11.25,72.23684211,2,0,0
glass beach - plastic death,,,,,,,,44,,,,,,,,,27,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,40.00,13.33333333,72.23684211,3,0,0
The Libertines - All Quiet on the Eastern Esplanade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,21,,,,,,,,,,,22.50,11.25,72.23684211,2,0,0
The Story So Far - I Want To Disappear,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,22.50,11.25,72.23684211,2,0,0
Nemahsis - Verbathim,,,,29,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.50,11.75,72.28947368,2,0,0
"Xiu Xiu - 13"" Frank Beltrame Italian Stiletto with Bison Horn Grips",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,23.50,11.75,72.28947368,2,1,0
"Been Stellar - Scream from New York, NY",,,,,,,,,,,,,,43,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,24.00,12,72.31578947,2,1,0
Horse Jumper of Love - Disaster Trick,,,,,,,,,,,22,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,24.00,12,72.31578947,2,0,0
Tristwch & Fenywod - Tristwch & Fenywod,,,,,,,,,2,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,12,72.31578947,2,1,0
Moor Mother - The Great Bailout,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,4,,,,,,,,,,,,,,24.50,12.25,72.34210526,2,1,0
Gruff Rhys - Sadness Sets Me Free,21,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,25.00,12.5,72.36842105,2,0,0
"Alan Sparhawk - White Roses, My God",,22,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.39473684,2,0,0
Bring Me The Horizon - POST HUMAN: NeX GEn,,,,,,,,,,,,,49,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.39473684,2,1,0
Nap Eyes - The Neon Gate,,,,32,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,12.75,72.39473684,2,0,0
NewDad - MADRA,,,,,,,,,,32,,,45,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,42.00,14,72.39473684,3,0,0
Water Damage - In E,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,26.00,13,72.42105263,2,0,0
Future & Metro Boomin - We Still Don't Trust You,,,,40,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50,13.25,72.44736842,2,0,0
Nxworries - Why Lawd?,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,27.00,13.5,72.47368421,2,0,0
Bashy - Being Poor is Expensive,,,,,,,,,,,,,31,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50,14.25,72.55263158,2,0,0
Deadletter - Hysterical Strength,,,,,,,,,,,,,,,,,,,,,,,,,12,45,,,,,,,,,,,,,,,,,,,,,28.50,14.25,72.55263158,2,0,0
"Camilla Cabello - C,XOXO",,,,,,,,,,,,,,,,,,,44,,,,,14,,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,72.57894737,2,0,0
Kelly Lee Owens - Dreamstate,,,,,,,,,,,,44,43,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.33,14.77777778,72.57894737,3,0,0
Paul Weller - 66,17,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,14.5,72.57894737,2,0,0
Jake Xerxes Fussell - When I'm Called,,28,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,72.60526316,2,0,0
Jazmin Bean - Traumatic Livelihood,,,,,,,,,,16,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,72.60526316,2,0,0
Rosali - Bite Down,,34,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.50,14.75,72.60526316,2,0,0
Erika de Casier - Still,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,30.00,15,72.63157895,2,0,0
High on Fire - Cometh the Storm,,,,,15,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,72.63157895,2,0,0
Les Amazones d'Afrique - Musow Danse,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,30.00,15,72.63157895,2,0,0
Rapsody - Please Don't Cry,,,,,,,,,,,,,,,,,,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,15,72.63157895,2,0,0
Villagers - That Golden Time,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,20,,,,,,,,,,,,,30.00,15,72.63157895,2,0,0
James - Yummy,,,,,,,,,,,,,,,,,,,,,,,,,16,,45,,,,,,,,,,,,,,,,,,,,30.50,15.25,72.65789474,2,0,0
Ruthven - Rough & Ready,,,,,,,,,,,,,,,,,,24,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,30.50,15.25,72.65789474,2,0,0
Anycia - Princess Pop That,,,,,,,29,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,72.68421053,2,0,0
GloRilla - Ehhthang Ehhthang,,,,,,,,,,,,,,21,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,15.5,72.68421053,2,0,0
xaviersobased - keep it goin xav,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,31.00,15.5,72.68421053,2,0,0
BigXthaPlug - Take Care,,,,,,,,,,,,,,,,,46,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,72.71052632,2,0,0
Hiatus Kaiyote - Love Heart Cheat Code,,,,,,,,,,30,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,31.50,15.75,72.71052632,2,0,0
beabadoobee - This Is How Tomorrow Moves,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,32.00,16,72.73684211,2,0,0
BIG | BRAVE - A Chaos of Flowers,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,32.00,16,72.73684211,2,0,0
Dirty Three - Love Changes Everything,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.00,16,72.73684211,2,0,0
Gracie Abrams - The Secret of Us,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,32.00,16,72.73684211,2,0,0
Fred Thomas - Window in the Rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,45,,,,,,,,,,,,,,,32.50,16.25,72.76315789,2,0,0
Latin Mafia - Todos Los Días Todo El Día,,,,,,,,,,,,17,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,16.5,72.78947368,2,0,0
Richard Thompson - Ship To Shore,23,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,16.5,72.78947368,2,0,0
Shakira - Las Mujeres Ya No Lloran,,,,,,,27,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00,16.5,72.78947368,2,0,0
Chrystabell & David Lynch - Cellophane Memories,,,,,,,,,36,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,72.81578947,2,0,0
Einstürzende Neubauten - Rampen: apm (alien pop music),,,,,,,,,25,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,72.81578947,2,0,0
Kali Malone - All Life Long,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,24,,,,,,,,,,,,,,33.50,16.75,72.81578947,2,0,0
Bolis Pupul - Letter To Yu,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,22,,,,,,,,,,,34.00,17,72.84210526,2,0,0
Faye Webster - Underdressed at the Symphony,,,,,,,34,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,34.00,17,72.84210526,2,0,0
"Ghetts - On Purpose, With Purpose",,,,,,,,,,,,,21,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,17,72.84210526,2,0,0
Opeth - The Last Will and Testament,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,34.00,17,72.84210526,2,0,0
Helado Negro - Phasor,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,34.50,17.25,72.86842105,2,0,0
Jordan Rakei - The Loop,,,,,,,,,,,,,,,,,,,,,26,,,,,,44,,,,,,,,,,,,,,,,,,,,35.00,17.5,72.89473684,2,0,0
Tindersticks - Soft Tissue,,,34,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,35.00,17.5,72.89473684,2,0,0
Uniform - American Standard,,,,,,31,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,17.5,72.89473684,2,0,0
Allegra Krieger - Art of the Unseen Infinity Machine,,,,,,38,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,72.92105263,2,0,0
Common & Pete Rock - The Auditorium Vol. 1,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,32,,,,,,,,,,35.50,17.75,72.92105263,2,0,0
julie - my anti-aircraft friend,,,,,,,,,,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,72.92105263,2,0,0
Ezra Feinberg - Soft Power,,,,,,34,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00,18,72.94736842,2,0,0
Lupe Fiasco - Samurai,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,29,,,,,,,,,36.00,18,72.94736842,2,0,0
Hana Vu - Romanticism,,,,,,,,,,,,,,,47,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.97368421,2,0,0
Hannah Frances - Keeper of the Shepherd,,,,,,45,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50,18.25,72.97368421,2,0,0
Mary Halvorson - Cloudward,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,37.50,18.75,73.02631579,2,0,0
Megan Thee Stallion - Megan,,,,,,,,,,,,,48,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50,18.75,73.02631579,2,0,0
21 Savage - american dream,,,,,,,,,,,,,,,,47,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,19,73.05263158,2,0,0
Ahmed - Giant Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1.00,1,73.05263158,1,1,1
Crack Cloud - Red Mile,,,,,,,,,,,,,,41,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,38.00,19,73.05263158,2,0,0
Dawn Richard & Spencer Zahn - Quiet in a World Full of Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37,,,,,,,,,,,,,,,38.00,19,73.05263158,2,0,0
Ex-Easter Island Head - Norther,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1,73.05263158,1,1,1
Fred again.. - ten days,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,47,,,,,,,,,,,,,38.00,19,73.05263158,2,0,0
Nídia & Valentina Magaletti - Estradas,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,31,,,,,,,,,,,,,,38.00,19,73.05263158,2,0,0
Body Meat - Starchris,,,,,,,,,,29,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,73.07894737,2,0,0
Claire Rousay - Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,27,,,,,,,,,,,,38.50,19.25,73.07894737,2,0,0
Karl D'Silva - Love is a Flame in the Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,50,,,,,,,,,,,,38.50,19.25,73.07894737,2,0,0
Oso Oso - life till bones,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2,73.07894737,1,1,0
Yasmin Williams - Acadia,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,38.50,19.25,73.07894737,2,0,0
Bleachers - Bleachers,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,39.00,19.5,73.10526316,2,0,0
Elaine Mitchener - Solo Throat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3.00,3,73.10526316,1,1,0
Yaya Bey - Ten Fold,,,,,,35,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,19.5,73.10526316,2,0,0
Myriam Gendron - Mayday,,36,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.50,19.75,73.13157895,2,0,0
The Voidz - Like All Before You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4.00,4,73.13157895,1,1,0
twenty one pilots - Clancy,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,73.13157895,1,1,0
Mohammad Syfkhan - I Am Kurdish,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,73.15789474,1,1,0
Halsey - The Great Impersonator,,,,,,,42,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.50,20.25,73.18421053,2,0,0
Linkin Park - From Zero,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7.00,7,73.21052632,1,1,0
"Miss Li - Livet, döden, skiten däremellan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7.00,7,73.21052632,1,1,0
"Oren Ambarchi, Johan Berthling & Andreas Werliin - Ghosted II",,50,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,20.5,73.21052632,2,0,0
Bibi Club - Fue De Garde,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Eminem - The Death of Slim Shady (Coup de Grâce),,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Joanna Wang - Hotel La Rut,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Lainey Wilson - Whirlwind,,,,,,,47,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.50,20.75,73.23684211,2,0,0
Sam Lee - Songdreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Shovel Dance Collective - The Shovel Dance,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Ultimate Thunder - A Spider Will Come to Eat Your Flesh,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8.00,8,73.23684211,1,1,0
Ulcerate - Cutting the Throat of God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,8.00,8,73.23684211,1,1,0
Caxtrinho - Queda Livre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,9.00,9,73.26315789,1,1,0
Damien Dempsey - Hold Your Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,9.00,9,73.26315789,1,1,0
Missy Higgins - The Second Act,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,73.26315789,1,1,0
samlrc - A Lonely Sinner,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,73.26315789,1,1,0
Beings - There is a Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,10.00,10,73.28947368,1,1,0
Cool Out Sun - A Lion is a Lion,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.28947368,1,1,0
cumgirl8 - the 8th cumming,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.28947368,1,1,0
KRM & KMRU - Disconnect,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,42,,,,,,,,,,,,,,42.50,21.25,73.28947368,2,0,0
Malik Djoudi - Vivant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,10.00,10,73.28947368,1,1,0
Yung Lean & Bladee - Psykos,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10.00,10,73.28947368,1,1,0
Alora Crucible - Oak Lace Apparition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10.00,10,73.28947368,1,1,0
DHANGSHA - Broadcast Signal Intrusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Elias Rønnenfelt - Heavy Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
John Grant - The Art of the Lie,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Neck Deep - Neck Deep,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Origami Angel - Feeling Not Found,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Pizzatramp - The Last Supper,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Total Blue - Total Blue,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,73.31578947,1,0,0
Emily Wurramara - Nara,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,73.34210526,1,0,0
Phillippe Katerine - Zouzou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13.00,13,73.36842105,1,0,0
Porter Robinson - SMILE! :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13.00,13,73.36842105,1,0,0
The Lovely Eggs - Eggsistentialism,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13.00,13,73.36842105,1,0,0
Toshiya Tsunoda & Taku Unami - Wovenland 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,13.00,13,73.36842105,1,0,0
A Place for Owls - how we dig in the earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,13.00,13,73.36842105,1,0,0
Couch Slut - You Could Do It Tonight,,,,,,,,39,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.50,22.25,73.39473684,2,0,0
Dead Pioneers - Dead Pioneers,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
Elyanna - WOLEDTO,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,73.39473684,1,0,0
