ALBUM,ID,genre,CMPLX,EXCLM,GIGW,GVSB,LTW,MOJO,NPR,PASTE,QTUS,ROUGH,UNCUT,BLBRD,CRACK,SGUM,RS,NBHAP,TRBLE,PFORK,ALBISM,SLANT,WIRE,POPMT,LoBF,FROUT,GODTV,NME,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Lost Girls - Menneskekollektivet,458,Indie,,,,,,,,,,,,,,,,,,36,,16,,,,,,,,,,,,,,26.00,13,71.23076923,2,0,0
Teenage Fanclub,216,Indie,,,,,,23,,,,,30,,,,,,,,,,,,,,,,,,,,,,,26.50,13.25,71.26923077,2,0,0
Tori Amos - Ocean To Ocean,491,Rock,,,,,,,,,,,,,,,,,,,8,,,,,,45,,,,,,,,,26.50,13.25,71.26923077,2,1,0
Greentea Peng - MAN MADE,180,Soul,,,,,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,13.5,71.30769231,2,0,0
Le Ren - Leftovers,79,Folk,,33,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,27.50,13.75,71.34615385,2,0,0
Rosie Lowe & Duval Timothy - Son,151,,,,,25,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,27.50,13.75,71.34615385,2,0,0
MIKE - Disco!,250,Hip Hop,,,,,,,39,,,,,,,,,,,16,,,,,,,,,,,,,,,,27.50,13.75,71.34615385,2,0,0
Koreless - Agor,308,Electronic,,,,,,,,,,23,,,32,,,,,,,,,,,,,,,,,,,,,27.50,13.75,71.34615385,2,0,0
The Killers - Pressure Machine,488,Rock,,,,,,,,,,,,,,,,,,,,25,,,,,,30,,,,,,,,27.50,13.75,71.34615385,2,0,0
Justin Bieber - Justice,20,Pop,20,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,28.00,14,71.38461538,2,0,0
Portrayal Of Guilt - We Are Always Alone,383,Punk,,,,,,,,,,,,,,42,,,14,,,,,,,,,,,,,,,,,28.00,14,71.38461538,2,0,0
Chris Corsano & Bill Orcutt - Made Out Of Sound,384,Experimental,,,,,,,,,,,,,,44,,,,,,,14,,,,,,,,,,,,,29.00,14.5,71.46153846,2,0,0
Carly Pearce - 29: Written In Stone,347,,,,,,,,,,,,,35,,,25,,,,,,,,,,,,,,,,,,,30.00,15,71.53846154,2,0,0
Ada Lea - one hand on the steering wheel...,148,Singer-Songwriter,,,,22,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,31.50,15.75,71.65384615,2,0,0
Mickey Guyton - Remember Her Name,239,Country,,,,,,,23,,,,,,,,41,,,,,,,,,,,,,,,,,,,32.00,16,71.69230769,2,0,0
Easy Life - Life's A Beach,409,Indie,,,,,,,,,,,,,,,,27,,,,,,,,,,39,,,,,,,,33.00,16.5,71.76923077,2,0,0
Nation of Language - A Way Forward,124,Pop,,,42,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,33.50,16.75,71.80769231,2,0,0
David Crosby - For Free,214,Singer-Songwriter,,,,,,19,,,,,48,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,71.80769231,2,0,0
Mon Laferte - SEIS,249,Pop,,,,,,,38,,,,,33,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,71.96153846,2,0,0
Joy Orbison - still slipping vol. 1,290,Electronic,,,,,,,,,26,45,,,,,,,,,,,,,,,,,,,,,,,,35.50,17.75,71.96153846,2,0,0
RP Boo - Established!,480,Electronic,,,,,,,,,,,,,,,,,,37,,,34,,,,,,,,,,,,,35.50,17.75,71.96153846,2,0,0
Israel Nash - Topaz,335,Singer-Songwriter,,,,,,,,,,,46,,,,,,,,,,,,,,25,,,,,,,,,35.50,17.75,71.96153846,2,0,0
Ben Lamar Gay - Open Arms to Open Us,288,Electronic,,,,,,,,,24,,,,,,,,,,,,49,,,,,,,,,,,,,36.50,18.25,72.03846154,2,0,0
Sufjan Stevens & Angelo De Augustine - A Beginner's Mind,320,Indie,,,,,,,,,,47,,,,,,,,,,26,,,,,,,,,,,,,,36.50,18.25,72.03846154,2,0,0
Pauline Anna Strom - Angel Tears in Sunlight,369,Ambient,,,,,,,,,,,,,36,,,,,,,,37,,,,,,,,,,,,,36.50,18.25,72.03846154,2,0,0
Royal Blood - Typhoons,128,Electronic,,,48,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,36.50,18.25,72.03846154,2,0,0
Public Service Broadcasting - Bright Magic,230,Electronic,,,,,,49,,,,,,,,,,,,,,,,25,,,,,,,,,,,,37.00,18.5,72.07692308,2,0,0
Amythyst Kiah - Wary + Strange,248,Rock,,,,,,,37,,,,,,,,,,,,,,,37,,,,,,,,,,,,37.00,18.5,72.07692308,2,0,0
Ashnikko - DEMIDEVIL,130,Pop,,,50,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,37.00,18.5,72.07692308,2,0,0
Joy Crookes - Skin,503,Soul,,,,,,,,,,,,,,,,,,,,,,,33,,,41,,,,,,,,37.00,18.5,72.07692308,2,0,0
King Woman - Celestial Blues,454,Metal,,,,,,,,,,,,,,,,,44,,,,,,,,31,,,,,,,,,37.50,18.75,72.11538462,2,0,0
Wiki - Half God,272,Hip Hop,,,,,,,,45,,,,,,,,,,31,,,,,,,,,,,,,,,,38.00,19,72.15384615,2,0,0
James McMurty - The Horses and the Hounds,400,Rock,,,,,,,,,,,,,,,49,,,,,27,,,,,,,,,,,,,,38.00,19,72.15384615,2,0,0
Lindsey Buckingham - Lindsey Buckingham,219,Rock,,,,,,27,,,,,50,,,,,,,,,,,,,,,,,,,,,,,38.50,19.25,72.19230769,2,0,0
Nitin Sawhney - Immigrants,469,Electronic,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2.00,2,72.19230769,1,1,0
Geese - Projector,263,Indie,,,,,,,,29,,,,,,,,,,,,,,,,48,,,,,,,,,,38.50,19.25,72.19230769,2,0,0
HTRK - Rhinestones,133,Pop,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3,72.23076923,1,1,0
Noga Erez - Kids,401,Pop,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3.00,3,72.23076923,1,1,0
MARINA - Ancient Dreams in a Modern Land,462,Pop,,,,,,,,,,,,,,,,,,,28,50,,,,,,,,,,,,,,39.00,19.5,72.23076923,2,0,0
James - All The Colours Of You,192,Indie,,,,,35,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,39.00,19.5,72.23076923,2,0,0
The Courettes - Back in Mono,172,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,4,72.26923077,1,1,0
Foo Fighters - Medicine,396,Rock,,,,,,,,,,,,,,,40,,,,39,,,,,,,,,,,,,,,39.50,19.75,72.26923077,2,0,0
Cadence Weapon - Parallel World,54,Hip Hop,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.30769231,1,1,0
William Doyle - Great Spans of Muddy Time,278,Indie,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5,72.30769231,1,1,0
Rhiannon Giddens w/ Francesco Turrisi - They're Calling Me Home,333,Folk,,,,,,,,,,,44,,,,,,,,,,,36,,,,,,,,,,,,40.00,20,72.30769231,2,0,0
Daniel Bachman - Axacan,435,Folk,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5.00,5,72.30769231,1,1,0
Garbage - No Gods No Masters,444,Alternative Rock,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5.00,5,72.30769231,1,1,0
W.H. Lung - Vanities,530,Indie,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5.00,5,72.30769231,1,1,0
McKinley Dixon - For My Mama and Anyone Who Look Like Her,99,Hip Hop,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6,72.34615385,1,1,0
Banoffee - Teartracks,357,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6.00,6,72.34615385,1,1,0
Apartment House - Number Pieces,428,Classical,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6.00,6,72.34615385,1,1,0
"Hamid Drake, Elaine Mitchener, William Parker... - Some Good News",446,Jazz,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,7.00,7,72.38461538,1,1,0
Wet - Letter Blue,137,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.42307692,1,1,0
Scotch Rolex - TEWARI,280,Electronic,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,72.42307692,1,1,0
Navy Blue - Navy's Reprise,167,Hip Hop,,,,46,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,42.00,21,72.46153846,2,0,0
Cold Water Swimmers - Holiday at the Secret Lake,174,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,72.46153846,1,1,0
Pom Pom Squad - Death of a Cheerleader,271,Indie,,,,,,,,44,,,,,,,,,,,,,,,40,,,,,,,,,,,42.00,21,72.46153846,2,0,0
TOMORROW X TOGETHER - The Chaos Chapter...,398,,,,,,,,,,,,,,,,46,,,,,,,,,,,38,,,,,,,,42.00,21,72.46153846,2,0,0
Shelley FKA DRAM - Shelley FKA DRAM,10,Soul,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.5,1,1,0
Spiritbox - Eternal Blue,58,Metal,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.5,1,1,0
Du Blonde - Homecoming,102,Indie,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.5,1,1,0
Wild Up & Christopher Rountree - Julius Eastman Vol. 1,234,Classical,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,72.5,1,1,0
Phew - New Decade,475,Electronic,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,10.00,10,72.5,1,1,0
Benny The Butcher & Harry Fraud - The Plugs I Met 2,11,Hip Hop,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.53846154,1,0,0
Leanne Betasamosake Simpson - Theory of Ice,59,Spoken Word,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.53846154,1,0,0
Enumclaw - Jimbo Demo,139,Indie,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.53846154,1,0,0
Hand Habits - Fun House,163,Singer-Songwriter,,,,42,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,43.00,21.5,72.53846154,2,0,0
Durand Jones & The Indications,228,Soul,,,,,,42,,,,44,,,,,,,,,,,,,,,,,,,,,,,,43.00,21.5,72.53846154,2,0,0
Tanz Mein Herz - Quattro,281,Folk,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,72.53846154,1,0,0
Suzanne Santo - Yard Sale,485,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11.00,11,72.53846154,1,0,0
Emma-Jean Thackray - Yellow,104,Jazz,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
Doss - 4 New Hit Songs,140,Electronic,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
Liars - The Apple Drop,282,Indie,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
Bo Burnham - Inside (The Songs),338,Comedy,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
The Antlers - Green To Gold,403,Indie,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
Angel Bat Dawid - Hush Harbor Mixtape Vol. 1,426,Jazz,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,12.00,12,72.57692308,1,0,0
Charlie Adams - Bullseye,105,Pop,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Jessy Lanza - DJ-Kicks,141,Electronic,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Divide and Dissolve - Gas Lit,283,Metal,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Myke Towers - LYKE MIKE,351,Hip Hop,,,,,,,,,,,,45,,,43,,,,,,,,,,,,,,,,,,,44.00,22,72.61538462,2,0,0
Kelman Duran - Night in Tijuana,359,Pop,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Morgan Wade - Reckless,389,Country,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
THALA - Adolescence,404,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Duran Duran - FUTURE PAST,440,Pop,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,13.00,13,72.61538462,1,0,0
Mr Twin Sister - Al Mundo Azul,142,Indie,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,14,72.65384615,1,0,0
We Are Scientists - Huffy,531,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,14.00,14,72.65384615,1,0,0
Carol Hodge - The Crippling Space Between,177,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,15,72.69230769,1,0,0
Les Filles de Illighadad - At Pioneer Works,455,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,15.00,15,72.69230769,1,0,0
Hannah Peel - Fir Wave,514,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,15.00,15,72.69230769,1,0,0
Moneybagg Yo - A Gangsta's Pain,16,Hip Hop,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.73076923,1,0,0
DijahSB - Head Above The Waters,64,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.73076923,1,0,0
Hello Cosmos - Golden Dirt,178,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.73076923,1,0,0
Manic Street Preachers - The Ultra Vivid Lament,213,Rock,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,16,72.73076923,1,0,0
Lucy Kruger & The Lost Boys - Transit Tapes,405,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,16.00,16,72.73076923,1,0,0
Anthony Braxton - 12 Comp (ZIM) 2017,427,Jazz,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,17.00,17,72.76923077,1,0,0
TORRES - Thirstier,492,Indie,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,17.00,17,72.76923077,1,0,0
"Pepe Deluxé - Phantom Cabinet, Vol. 1",499,Pop,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,17.00,17,72.76923077,1,0,0
Kiwi Jr. - Cooler Returns,517,Indie,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,17.00,17,72.76923077,1,0,0
Westside Gunn - Hitler Wears Hermes 8: Sincerely Adolf,18,Hip Hop,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,18,72.80769231,1,0,0
Hiss Golden Messenger - Quietly Blowing It,322,Folk,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,18.00,18,72.80769231,1,0,0
The Felice Brothers - From Dreams To Dust,525,Folk,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,18.00,18,72.80769231,1,0,0
BADBADNOTGOOD - Talk Memory,67,Jazz,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.84615385,1,0,0
CHIHUAHUA - Violent Architecture,179,Indie,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.84615385,1,0,0
Ran Cap Duoi - Ngu Ngay Ngay Ngay Tan The,285,Electronic,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,19.00,19,72.84615385,1,0,0
Liz Phair - Soberish,457,Rock,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,19.00,19,72.84615385,1,0,0
Surfbort - Keep On Truckin',108,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Small Black - Cheap Dreams,146,Electronic,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Modern Nature - Island of Noise,323,Indie,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Leon Bridges - Gold-Diggers Sound,390,R&B,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Maggie Nicols - Creative Contradiction,460,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Morcheeba - Blackest Blue,465,Electronic,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Pino Palladino & Blake Mills - Notes With Attachments,476,Jazz,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20.00,20,72.88461538,1,0,0
Lael Neale - Acquainted with Night,518,Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,20.00,20,72.88461538,1,0,0
Snoh Aalegra - Temporary HIghs in the Violet Skies,21,Soul,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Hildegard - Hildegard,147,Electronic,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Rats on Rafts - Excerpts from Chapter 3,181,Post-Punk,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Eimar Reidy & Natalia Beylis - Whose Woods These Are,286,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
"Leon Vynehall - Rare, Forever",307,Electronic,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Tomu DJ - FEMINISTA,360,Electronic,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Water From Your Eyes - Structure,378,Indie,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
BBC Scottish Symphony Orchestra - Minds In Flux,430,Classical,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Juliana Hatfield - Blood,451,Indie,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
The Body & BIG | BRAVE - Leaving None But Small Birds,487,Indie,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,21.00,21,72.92307692,1,0,0
Idiac - Part Idiot,516,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,21.00,21,72.92307692,1,0,0
The Mudd Club - Bottle Blonde,182,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.96153846,1,0,0
Giveon - When It's All Said And Done...Take Time,339,R&B,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,22.00,22,72.96153846,1,0,0
Kedr Livanskiy - Liminal,361,Electronic,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,22.00,22,72.96153846,1,0,0
Muqata'a - Kamil manqus,466,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,22.00,22,72.96153846,1,0,0
Charlotte Day Wilson - Alpha,71,Soul,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73,1,0,0
Audiobooks - Astro Tough,287,Indie,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,23.00,23,73,1,0,0
M1llionz - Provisional Licence,362,Hip Hop,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,23.00,23,73,1,0,0
Cimafunk - El Alimento,391,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,23.00,23,73,1,0,0
Alpha Maid - CHUCKLE,425,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,23.00,23,73,1,0,0
IDK - USEE4YOURSELF,24,Hip Hop,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Nana Yamato - Before Sunrise,150,Pop,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Alfa Mist - Bring Backs,309,Jazz,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Karol G - KG0516,341,Reggae,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Kings of Convenience - Peace Or Love,406,Folk,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Celeste - Not Your Muse,420,Soul,,,,,,,,,,,,,,,,49,,,50,,,,,,,,,,,,,,,49.50,24.75,73.03846154,2,0,0
William Parker - Migration of Silence Into and Out of the Tone World,496,Jazz,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,24.00,24,73.03846154,1,0,0
Siobhan Wilson - Survivre,523,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,24.00,24,73.03846154,1,0,0
Wale - Folarin II,25,Pop,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
The Black Keys - Delta Kream,218,Rock,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
Microcorps - XMIT,289,Electronic,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
Vanishing Twin - Ookii Gekkou,310,Indie,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
Arushi Jain - Under the Lilac Sky,363,Ambient,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
Aaron Dilloway & Lucrecia Dalt - Lucy & Aaron,422,Experimental,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
Black Coffee - Subconsciously,431,Electronic,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,25.00,25,73.07692308,1,0,0
DJ Sabrina The Teenage DJ - The Makin' Magick II Album,152,Electronic,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.11538462,1,0,0
Matt Berry - The Blue Elephant,183,Indie,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.11538462,1,0,0
Mad Daddy - Mad Daddy,184,Punk,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.11538462,1,0,0
Viagra Boys - Welfare Jazz,311,Post-Punk,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,26.00,26,73.11538462,1,0,0
Don Zilla - Ekizikiza Mubwengula,364,Electronic,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,26.00,26,73.11538462,1,0,0
Tommy Genesis - goldilocks x,111,Pop,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
Private Function - Whose Line Is It Anyway,185,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
Toumani Diabaté & the LSO - Kôrôlén,241,Classical,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
Snapped Ankles - Forest of Your Problems,312,Indie,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
Clarissa Connelly - The Voyager,432,Indie,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
Róisín Murphy - Crooked Machine,479,Electronic,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,27.00,27,73.15384615,1,0,0
LoneLady - Former Things,519,Pop,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,27.00,27,73.15384615,1,0,0
The Vaccines - Back In Love City,112,Indie,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Buzzy Lee - Spoiled Love,154,Indie,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Stephen Fretwell - Busy Guy,186,Singer-Songwriter,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
The Transcendence Orchestra - All Skies Have Sounded,291,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Pip Blom - Welcome Break,313,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Ryley Walker - Course In Fable,325,Indie,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Lucky Daye - Table For Two,344,R&B,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Shaybo - Queen of the South,365,Hip Hop,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Mabiland - Niñxs Rotxs,392,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Perila - How much time it is between you and me?,474,Ambient,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28.00,28,73.19230769,1,0,0
Papur Wal - Amser Mynd Adra,521,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,28.00,28,73.19230769,1,0,0
Conway the Machine - La Maquina,29,Hip Hop,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Pink Suits - Political Child,187,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Field Music - Flat White Moon,220,Indie,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Lukah - When The Black Hand Touches You,242,Hip Hop,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
HARD FEELINGS - HARD FEELINGS,292,Electronic,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Steve Gunn - Other You,326,Indie,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Elton John - The Lockdown Sessions,345,Pop,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Salamanda - Sphere,366,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Natalie Imbruglia - Firebird,467,Pop,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,29.00,29,73.23076923,1,0,0
Noga Erez - KIDS (Against the Machine),520,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,29.00,29,73.23076923,1,0,0
Sleepy Hallow - Still Sleep? ,30,Hip Hop,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,30,73.26923077,1,0,0
