ALBUM,ID,genre,CMPLX,EXCLM,GIGW,GVSB,LTW,MOJO,NPR,PASTE,QTUS,ROUGH,UNCUT,BLBRD,CRACK,SGUM,RS,NBHAP,TRBLE,PFORK,ALBISM,SLANT,WIRE,POPMT,LoBF,FROUT,GODTV,NME,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Mach-Hommy - Pray for Haiti,8,Hip Hop,8,25,,5,,,18,22,,,,,44,47,,,,20,,,,,,,,,,,,,,,,23.63,2.953125,59.19230769,8,2,0
Adele - 30,3,Pop,3,,,,,,14,,,,,4,,,2,,,32,45,,,,32,,,,,,,,,,,18.86,2.693877551,59.88461538,7,3,0
Mogwai - As The Love Continues,106,Indie,,,17,,5,26,,,,49,15,,,,,,,,,,,,,12,8,,,,,,,,,18.86,2.693877551,59.88461538,7,2,0
Kacey Musgraves - star-crossed,22,Pop,22,,,,,,,,,,,13,41,28,,,,,17,,,7,45,,,48,,,,,,,,27.63,3.453125,60.42307692,8,1,0
Arab Strap - As Days Get Dark,101,Indie,,,9,,23,44,,,18,,36,,,17,,,,,,,,,,16,,,,,,,,,,23.29,3.326530612,61.07692308,7,1,0
Madlib - Sound Ancestors,153,Hip Hop,,,,27,,,,19,,10,38,,,34,31,,,,49,,31,,,,,,,,,,,,,29.88,3.734375,61.11538462,8,1,0
Vince Staples - Vince Staples,19,Hip Hop,19,28,,,,,9,,,,,34,,,,,22,,,45,,,,41,,42,,,,,,,,30.00,3.75,61.15384615,8,1,0
Armand Hammer & The Alchemist - HARAM,28,Hip Hop,28,,,15,,,,16,,,,,,37,,,4,26,,47,,,,,,,,,,,,,,24.71,3.530612245,61.46153846,7,1,0
Silk Sonic - An Evening with Silk Sonic,14,Soul,14,,16,,,,50,,,,,7,,,35,,,,,,,,,30,,22,,,,,,,,24.86,3.551020408,61.5,7,1,0
Lana Del Rey - Chemtrais Over The Country Club,206,Singer-Songwriter,,,,,,3,,,,,11,,,,,47,,,43,4,,34,,38,,,,,,,,,,25.71,3.673469388,61.73076923,7,2,0
Lingua Ignota - Sinner Get Ready,78,Electronic,,32,,,,,,23,,50,,,30,,,,19,41,,39,,23,,,,,,,,,,,,32.13,4.015625,61.80769231,8,0,0
Doja Cat - Planet Her,4,Pop,4,,45,,,,31,,,,,5,,,21,,,,,29,,,,,,50,,,,,,,,26.43,3.775510204,61.92307692,7,2,0
Grouper - Shade,134,Ambient,,,,4,,,,,39,,,,,,,,16,18,,,29,,6,,,,,,,,,,,18.67,3.111111111,62,6,2,0
Faye Webster - I Know I'm Funny haha,84,Country,,38,,,,46,,39,,,42,,,,,20,32,11,,,,,,35,,,,,,,,,,32.88,4.109375,62.03846154,8,0,0
Clairo - Sling,115,Singer-Songwriter,,,32,,,,,,,39,,50,,19,,46,,,,,,,30,33,,14,,,,,,,,32.88,4.109375,62.03846154,8,0,0
Loraine James - Reflection,145,Electronic,,,,19,,,,,6,,,,,43,,,42,39,,21,,21,,,,,,,,,,,,27.29,3.897959184,62.15384615,7,1,0
Amyl & The Sniffers - Comfort to Me,97,Punk,,,3,,1,22,,,,34,,,,,,43,,,,,,,,20,,,,,,,,,,20.50,3.416666667,62.42307692,6,2,1
Moor Mother - Black Encyclopedia of the Air,246,Hip Hop,,,,,,,35,,,,,,11,,,,27,27,,,2,32,,,,,,,,,,,,22.33,3.722222222,62.84615385,6,1,0
Arooj Aftab - Vulture Prince,82,Indie,,36,,47,,,7,42,,,6,,,,,,,12,,,,,,,,,,,,,,,,25.00,4.166666667,63.46153846,6,2,0
Sam Fender - Seventeen Going Under,103,Rock,,,11,,44,,,,,,,,,,,,,,,,,3,,17,,1,,,,,,,,15.20,3.04,63.5,5,2,1
SAULT - Nine,217,Soul,,,,,,24,,32,,,5,,,,,,,,16,,,,,31,,47,,,,,,,,25.83,4.305555556,63.65384615,6,1,0
"Damon Albarn - The Nearer the Fountain, More Pure...",196,Indie,,,,,39,43,,,,30,41,,,,,,,,37,,,24,,18,,,,,,,,,,33.14,4.734693878,63.73076923,7,0,0
The Bug - Fire,215,Electronic,,,,,,21,,,1,,,,,,,,28,,,,18,19,,,,,,,,,,,,17.40,3.48,63.92307692,5,1,1
The Armed - Ultrapop,87,Indie,,42,,,,,,8,14,,,,,24,,,3,,,,,,,,,,,,,,,,,18.20,3.64,64.07692308,5,2,0
Tirzah - Colourgrade,132,,,,,2,,,,,17,41,,,,18,,,,13,,,,,,,,,,,,,,,,18.20,3.64,64.07692308,5,1,0
Dave - We're All Alone In This Together,370,Hip Hop,,,,,,,,,,,,,37,,,,,,26,,,8,7,,,18,,,,,,,,19.20,3.84,64.26923077,5,2,0
For Those I Love - For Those I Love,100,Electronic,,,7,,,,,,,13,,,,,,,,,,37,,,,34,,11,,,,,,,,20.40,4.08,64.5,5,1,0
"Courtney Barnett - Things Take Time, Take Time",275,Indie,,,,,,,,49,,17,34,,,,,,,,,10,,,,4,,,,,,,,,,22.80,4.56,64.96153846,5,2,0
Helado Negro - Far In,235,Indie,,,,,,,12,,,,,,,,,,39,46,,34,,39,,22,,,,,,,,,,32.00,5.333333333,65.07692308,6,0,0
Baby Keem - The Melodic Blue,13,Hip Hop,13,,,,,,16,,,,,11,5,,,,,,,,,,,,,,,,,,,,,11.25,2.8125,65.19230769,4,1,0
serpentwithfeet - DEACON,260,R&B,,,,,,,,14,,,,,,6,,,,,,8,,,22,,,,,,,,,,,12.50,3.125,65.38461538,4,2,0
Lana Del Rey - Blue Banisters,77,Singer-Songwriter,,31,,41,,,,,,,,,35,,,,,,,3,,,,,,17,,,,,,,,25.40,5.08,65.46153846,5,1,0
Dawn Richard - Second Line,274,R&B,,,,,,,,47,,,,,,,22,,,22,,,,5,35,,,,,,,,,,,26.20,5.24,65.61538462,5,1,0
Bicep - Isles,120,Electronic,,,38,,,,,,,14,,,,,,,,,,,,,,24,36,23,,,,,,,,27.00,5.4,65.76923077,5,0,0
Circuit Des Yeux - -io,259,Indie,,,,,,,49,,,,,,14,,,,18,,,,9,,,,48,,,,,,,,,27.60,5.52,65.88461538,5,1,0
Magdalena Bay - Mercurial World,131,Pop,,,,1,,,,,,,,,,,,35,,49,,,,20,,,34,,,,,,,,,27.80,5.56,65.92307692,5,1,1
Indigo De Souza - Any Shape You Take,113,Indie,,,30,,,,,25,,,,,,,,,,25,,,,,25,37,,,,,,,,,,28.40,5.68,66.03846154,5,0,0
Jane Weaver - Flock,189,Indie,,,,,31,39,,,,7,25,,,,,,,,,,,,,,41,,,,,,,,,28.60,5.72,66.07692308,5,1,0
Dean Blunt - Black Metal 2,135,Indie,,,,6,,,,,3,,,,42,,,,,19,,,,,,,,,,,,,,,,17.50,4.375,66.15384615,4,2,0
Space Afrika - Honest Labour,136,Electronic,,,,7,,,,,35,,,,3,,,,,,,,26,,,,,,,,,,,,,17.75,4.4375,66.19230769,4,2,0
Erika De Casier - Sensational,143,R&B,,,,16,,,,,44,,,,,40,,,,40,,18,,,,,,,,,,,,,,31.60,6.32,66.65384615,5,0,0
"SPIRIT OF THE BEEHIVE - ENTERTAINMENT, DEATH",69,Indie,,21,,,,,,9,,,,,,27,,,,28,,,,,,,,,,,,,,,,21.25,5.3125,66.73076923,4,1,0
C. Tangana - El Madrileño,233,R&B,,,,,,,5,,,,,10,,,9,,,,,,,,,,,,,,,,,,,8.00,2.666666667,67.26923077,3,3,0
illuminati hotties - Let Me Do One More,91,Indie,,46,,,,,19,,,,,,,,42,,33,35,,,,,,,,,,,,,,,,35.00,7,67.30769231,5,0,0
Ghetts - Conflict of Interest,356,Hip Hop,,,,,,,,,,,,,4,,,,,,,,,,9,,,13,,,,,,,,8.67,2.888888889,67.34615385,3,2,0
Boldy James & The Alchemist - Bo Jackson,44,Hip Hop,44,,,,,,,34,,,,,,31,45,,25,,,,,,,,,,,,,,,,,35.80,7.16,67.46153846,5,0,0
CHVRCHES - Screen Violence,385,Pop,,,,,,,,,,,,,,46,,45,,,12,,,50,,,,26,,,,,,,,35.80,7.16,67.46153846,5,0,0
Saint Etienne - I've Been Trying to Tell You,225,Indie,,,,,,38,,,,42,14,,,,,,,,14,,,,,,,,,,,,,,,27.00,6.75,67.61538462,4,0,0
Polo G - Hall of Fame,26,Hip Hop,26,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,,,,,,16.33,5.444444444,68.23076923,3,1,0
aya - im hole,277,Electronic,,,,,,,,,2,,,,2,,,,,45,,,,,,,,,,,,,,,,16.33,5.444444444,68.23076923,3,2,0
JPEGMAFIA - LP!,117,Hip Hop,,,35,40,,,,,,,,,,,,,30,,,,,,19,,,,,,,,,,,31.00,7.75,68.23076923,4,0,0
Deafheaven - Infinite Granite,262,Indie,,,,,,,,27,,,,,,,,,11,,,,,12,,,,,,,,,,,,16.67,5.555555556,68.26923077,3,0,0
Laura Mvula - Pink Noise,119,Pop,,,37,,,,,,,,,,,,,,,,15,,,,42,,,32,,,,,,,,31.50,7.875,68.30769231,4,0,0
shame - Drunk Tank Pink,314,Post-Punk,,,,,,,,,,31,,,,,,19,,,,,,,,29,50,,,,,,,,,32.25,8.0625,68.42307692,4,0,0
Wednesday - Twin Plagues,144,Indie,,,,18,,,,31,,,,,,11,,,,,,,,,,,,,,,,,,,,20.00,6.666666667,68.65384615,3,0,0
Taylor Swift - Red (Taylor's Version),342,Pop,,,,,,,,,,,,25,,,,,,,,12,,,26,,,,,,,,,,,21.00,7,68.76923077,3,0,0
Spelling - The Turning Wheel,247,Indie,,,,,,,36,,,,,,,,,,9,,,19,,,,,,,,,,,,,,21.33,7.111111111,68.80769231,3,1,0
Brandi Carlile - In These Silent Days,340,Country,,,,,,,,,,,,23,,49,,,,,,,,18,,49,,,,,,,,,,34.75,8.6875,68.80769231,4,0,0
Eris Drew - Quivering In Time,240,Electronic,,,,,,,25,,22,,,,18,,,,,,,,,,,,,,,,,,,,,21.67,7.222222222,68.84615385,3,0,0
Park Hye Jin - Before I Die,306,Electronic,,,,,,,,,,20,,,39,,,,,,,,,,10,,,,,,,,,,,23.00,7.666666667,69,3,1,0
Backxwash - I Lie Here Buried With My Rings and My Dresses,53,Hip Hop,,3,,,,,,,,,,,,,,,26,,,,,41,,,,,,,,,,,,23.33,7.777777778,69.03846154,3,1,0
Hiatus Kaiyote - Mood Valiant,243,Soul,,,,,,,32,,,,,,,,,,,,10,28,,,,,,,,,,,,,,23.33,7.777777778,69.03846154,3,1,0
Cleo Sol - Mother,162,Soul,,,,38,,,26,,,,,,,,,,,,7,,,,,,,,,,,,,,,23.67,7.888888889,69.07692308,3,1,0
Iceage - Seek Shelter,127,Indie,,,47,,,,,,,,,,,45,,18,37,,,,,,,,,,,,,,,,,36.75,9.1875,69.11538462,4,0,0
Genesis Owusu - Smiling With No Teeth,276,Soul,,,,,,,,50,,,,,,,,,,,,,,29,39,,,29,,,,,,,,36.75,9.1875,69.11538462,4,0,0
Tems - If Orange Was A Place,236,Soul,,,,,,,15,,,,,42,,,17,,,,,,,,,,,,,,,,,,,24.67,8.222222222,69.19230769,3,0,0
London Grammar - Californian Soil,411,Indie,,,,,,,,,,,,,,,,31,,,22,,,,,,,21,,,,,,,,24.67,8.222222222,69.19230769,3,0,0
Willow - lately i feel EVERYTHING,43,Alternative Rock,43,,,,,,17,,,,,41,,,,,,,,,,,49,,,,,,,,,,,37.50,9.375,69.23076923,4,0,0
Kanye West - Donda,6,Hip Hop,6,,,,,,,,,,,39,,,,,,,,31,,,,,,,,,,,,,,25.33,8.444444444,69.26923077,3,1,0
Mustafa - When Smoke Rises,55,Soul,,6,,,,,,,,,,,,,30,,,,40,,,,,,,,,,,,,,,25.33,8.444444444,69.26923077,3,1,0
Young Thug - Punk,31,Hip Hop,31,,,,,,,,,,,,46,,29,,,,,,,,,,,45,,,,,,,,37.75,9.4375,69.26923077,4,0,0
Drake - Certified Lover Boy,12,Pop,12,,,,,,,,,,,18,,,48,,,,,,,,,,,,,,,,,,,26.00,8.666666667,69.34615385,3,0,0
Nala Sinephro - Space 1.8,227,Jazz,,,,,,41,,,,,,,15,,,,,24,,,,,,,,,,,,,,,,26.67,8.888888889,69.42307692,3,0,0
Bonnie Prince Billy & Matt Sweeney - Superwolves,231,Indie,,,,,,50,,,,,,,,7,,,,,,,,,,,23,,,,,,,,,26.67,8.888888889,69.42307692,3,1,0
Big Red Machine - How Long Do You Think It's Gonna Last?,402,Indie,,,,,,,,,,,,,,,,4,,,,,,,,45,,35,,,,,,,,28.00,9.333333333,69.57692308,3,1,0
Men I Trust - Untourable Album,81,Indie,,35,,17,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,29.33,9.777777778,69.73076923,3,0,0
Rochelle Jordan - Play With The Changes,94,R&B,,50,,,,,,,31,,,,,,,,,,,,,10,,,,,,,,,,,,30.33,10.11111111,69.84615385,3,1,0
Valerie June - The Moon And Stars: Prescriptions for Dreamers,324,Soul,,,,,,,,,,,24,,,,,,,,,40,,27,,,,,,,,,,,,30.33,10.11111111,69.84615385,3,0,0
girl in red - if i could make it go quiet,343,Indie,,,,,,,,,,,,26,,,,,,,,,,,29,,,36,,,,,,,,30.33,10.11111111,69.84615385,3,0,0
Richard Dawson & Circle - Henki,279,Rock,,,,,,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,,8.50,4.25,69.88461538,2,2,0
JOHN - Nocturnal Manoeuvres,171,,,,,,2,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,9.00,4.5,69.92307692,2,1,0
John Glacier - SHILOH: Lost For Words,355,Hip Hop,,,,,,,,,,,,,1,,,,,,,,,,17,,,,,,,,,,,9.00,4.5,69.92307692,2,1,1
Xenia Rubinos - Una Rosa,381,Indie,,,,,,,,,,,,,,33,,,,33,,,,,27,,,,,,,,,,,31.00,10.33333333,69.92307692,3,0,0
Nas - King's Disease II,32,Hip Hop,32,39,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,31.67,10.55555556,70,3,0,0
Playboi Carti - Whole Lotta Red,388,Hip Hop,,,,,,,,,,,,,,,11,,,9,,,,,,,,,,,,,,,,10.00,5,70,2,1,0
Remi Wolf - Juno,264,Pop,,,,,,,,30,,,,,,,,,,,,,,,31,,,34,,,,,,,,31.67,10.55555556,70,3,0,0
Gazelle Twin & NYX - Deep England,175,Electronic,,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,11.00,5.5,70.07692308,2,1,0
Porter Robinson - Nurture,269,Pop,,,,,,,,41,,,,30,,,,,,,,30,,,,,,,,,,,,,,33.67,11.22222222,70.23076923,3,0,0
Elbow - Flying Dream 1,416,Indie,,,,,,,,,,,,,,,,39,,,31,,,31,,,,,,,,,,,,33.67,11.22222222,70.23076923,3,0,0
Desperate Journalist - Maximum Sorrow!,408,Indie,,,,,,,,,,,,,,,,26,,,,,,,,,1,,,,,,,,,13.50,6.75,70.26923077,2,1,1
LUMP - Animal,202,Indie,,,,,46,,,,,43,,,,,,15,,,,,,,,,,,,,,,,,,34.67,11.55555556,70.34615385,3,0,0
The Coral - Coral Island,208,Indie,,,,,,7,,,,,22,,,,,,,,,,,,,,,,,,,,,,,14.50,7.25,70.34615385,2,1,0
John Grant - Boy From Michigan,211,Pop,,,,,,11,,,,,19,,,,,,,,,,,,,,,,,,,,,,,15.00,7.5,70.38461538,2,0,0
James Blake - Friends That Break Your Heart,33,R&B,33,,44,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,35.00,11.66666667,70.38461538,3,0,0
Maxo Kream - WEIGHT OF THE WORLD,23,Hip Hop,23,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,15.50,7.75,70.42307692,2,1,0
Injury Reserve - By the Time I Get To Phoenix,238,Hip Hop,,,,,,,20,,,,,,,,,,,,,,,11,,,,,,,,,,,,15.50,7.75,70.42307692,2,0,0
Paul Weller - Fat Pop (Volume 1),207,Rock,,,,,,6,,,,,26,,,,,,,,,,,,,,,,,,,,,,,16.00,8,70.46153846,2,1,0
Tomaga - Intimate Immensity,284,Indie,,,,,,,,,16,,,,,,,,,,,,16,,,,,,,,,,,,,16.00,8,70.46153846,2,0,0
Karima Walker - Waking The Dreaming Body,138,Ambient,,,,10,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,16.00,8,70.46153846,2,1,0
Dorothea Paas - Anything Can't Happen,72,Indie,,24,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.50,8.25,70.5,2,1,0
Villagers - Fever Dreams,210,Indie,,,,,,10,,,,,,,,,,23,,,,,,,,,,,,,,,,,,16.50,8.25,70.5,2,1,0
Pink Siifu - GUMBO'!,258,Hip Hop,,,,,,,48,48,,,,,12,,,,,,,,,,,,,,,,,,,,,36.00,12,70.5,3,0,0
J. Cole - The Off-Season,2,Hip Hop,2,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,17.00,8.5,70.53846154,2,1,0
Drug Store Romeos - The world within our bedrooms,109,Indie,,,22,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,17.00,8.5,70.53846154,2,0,0
KA - A Martyr's Reward,40,Hip Hop,40,,,,,,,,,,,,,22,,,,48,,,,,,,,,,,,,,,,36.67,12.22222222,70.57692308,3,0,0
Fiddlehead - Between The Richness,261,Indie,,,,,,,,15,,,,,,20,,,,,,,,,,,,,,,,,,,,17.50,8.75,70.57692308,2,0,0
Anna B Savage - A Common Turn,407,Singer-Songwriter,,,,,,,,,,,,,,,,25,,,,,,,,,10,,,,,,,,,17.50,8.75,70.57692308,2,1,0
slowthai - TYRON,39,Hip Hop,39,,,,,,,,,,,,,,,,,,,,,,,40,,31,,,,,,,,36.67,12.22222222,70.57692308,3,0,0
Skee Mask - Pool,159,Electronic,,,,36,,,,,37,,,,,,,,38,,,,,,,,,,,,,,,,,37.00,12.33333333,70.61538462,3,0,0
Yebba - Dawn,27,Soul,27,,,,,,43,,,,,,,,,,,,42,,,,,,,,,,,,,,,37.33,12.44444444,70.65384615,3,0,0
Yola - Stand For Myself,221,Soul,,,,,,30,,,,,,,,,38,,,,,,,44,,,,,,,,,,,,37.33,12.44444444,70.65384615,3,0,0
Claire Rousey - A Softer Focus,358,Ambient,,,,,,,,,,,,,7,,,,,30,,,,,,,,,,,,,,,,18.50,9.25,70.65384615,2,1,0
Isaiah Rashad - The House is Burning,17,Hip Hop,17,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,19.00,9.5,70.69230769,2,0,0
Indigo Sparke - echo,156,Folk,,,,31,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,19.50,9.75,70.73076923,2,1,0
Robert Plant & Alison Krauss - Raise The Roof,209,Folk,,,,,,9,,,,,31,,,,,,,,,,,,,,,,,,,,,,,20.00,10,70.76923077,2,1,0
Rauw Alejandro - VICE VERSA,348,Pop,,,,,,,,,,,,37,,,3,,,,,,,,,,,,,,,,,,,20.00,10,70.76923077,2,1,0
The Stranglers - Dark Matters,173,Rock,,,,,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50,10.25,70.80769231,2,1,0
Allison Russell - Outside Child,232,Folk,,,,,,,4,,,,,,,,,,,,,,,,,,37,,,,,,,,,20.50,10.25,70.80769231,2,1,0
The Hold Steady - Open Door Policy,327,Indie,,,,,,,,,,,32,,,,,,,,,,,,,,9,,,,,,,,,20.50,10.25,70.80769231,2,1,0
Jana Rush - Painful Enlightenment,368,Electronic,,,,,,,,,,,,,34,,,,,,,,8,,,,,,,,,,,,,21.00,10.5,70.84615385,2,1,0
Jungle - Loving In Stereo,229,Soul,,,,,,45,,,,29,,,,,,,,,,,,,,43,,,,,,,,,,39.00,13,70.84615385,3,0,0
The Anchoress - The Art of Losing,504,Rock,,,,,,,,,,,,,,,,,,,,,,,36,,6,,,,,,,,,21.00,10.5,70.84615385,2,1,0
Sun June - Somewhere,149,Indie,,,,23,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,21.50,10.75,70.88461538,2,0,0
King Gizzard and the Lizard Wizard - L.W.,176,Indie,,,,,13,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,11,70.92307692,2,0,0
James Brandon Lewis - Jesup Wagon,244,Jazz,,,,,,,33,,,,,,,,,,,,,,13,,,,,,,,,,,,,23.00,11.5,71,2,0,0
Lorde - Solar Power,75,Pop,,29,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,24.00,12,71.07692308,2,0,0
Parquet Courts - Sympathy For Life,125,Post-Punk,,,43,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,24.00,12,71.07692308,2,1,0
Godspeed You! Black Emperor - G_d's Pee AT STATE'S END!,300,Indie,,,,,,,,,43,32,,,,,,,,,,,,49,,,,,,,,,,,,41.33,13.77777778,71.11538462,3,0,0
Yasmin Williams - Urban Driftwood,251,Folk,,,,,,,40,,,,,,,,,,,50,,,,35,,,,,,,,,,,,41.67,13.88888889,71.15384615,3,0,0
Lady Blackbird - Black Acid Soul,315,Jazz,,,,,,,,,,33,,,,,,,,,18,,,,,,,,,,,,,,,25.50,12.75,71.19230769,2,0,0
Don Toliver - Life of a DON,9,Hip Hop,9,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,26.00,13,71.23076923,2,1,0
