name,slug,org,country,homepage_url,tags,homepage_blurb,genre_profile,recent_profile,station_class,source,automation_class,favorite
1030 AM (Ciudad de México) - 1030 AM - XEQR-AM - Grupo Radio Centro - Ciudad de México,1030-am-ciudad-de-m-xico-1030-am-xeqr-am-grupo-radio-centro-ciudad-de-m-xico,,Mexico,http://player.listenlive.co/51851/es,"[""1030 am"", ""am"", ""americana"", ""ciudad de méxico"", ""deporte"", ""deportes"", ""el fonógrafo"", ""entretenimiento"", ""español"", ""estación"", ""estado de méxico"", ""grupo radio centro"", ""latin music"", ""latin pop"", ""latinoamérica"", ""live sports"", ""local music"", ""local sports"", ""mexico city"", ""moi merino"", ""music"", ""musica latina"", ""musica latinoamericana"", ""musica romantica"", ""méxico"", ""música"", ""música del recuerdo"", ""música en español"", ""música pop"", ""música variada"", ""norteamérica"", ""pop"", ""pop music"", ""radio"", ""radio centro"", ""recuerdos"", ""sports"", ""sports news"", ""sports talk"", ""valle de méxico""]",Radio Centro 1030 AM,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:28:58.469Z"", ""sampleSize"": 1, ""windowDays"": 90, ""latestSpinAt"": ""2026-08-24T16:46:06.094Z"", ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
12XU,12xu,,Germany,http://onetwoxu.de/,"[""garage punk"", ""indie rock"", ""noise"", ""noise rock"", ""post-punk"", ""punk""]",12XU | Verspannungsmusik!,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:17:04.459Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,,The United States Of America,http://player.181fm.com/?station=181-chilled,"[""ambient"", ""chill"", ""chillout"", ""easy listening"", ""electro""]",Chilled Out Webplayer,"{""top"": [{""count"": 1285, ""genre"": ""electronic""}, {""count"": 758, ""genre"": ""downtempo""}, {""count"": 688, ""genre"": ""pop""}, {""count"": 637, ""genre"": ""trip hop""}, {""count"": 571, ""genre"": ""chillout""}, {""count"": 477, ""genre"": ""ambient""}, {""count"": 384, ""genre"": ""rock""}, {""count"": 302, ""genre"": ""indie pop""}], ""totalCount"": 7874, ""unknownCount"": 5784}","{""top"": [{""count"": 1285, ""genre"": ""electronic""}, {""count"": 758, ""genre"": ""downtempo""}, {""count"": 688, ""genre"": ""pop""}, {""count"": 637, ""genre"": ""trip hop""}, {""count"": 571, ""genre"": ""chillout""}, {""count"": 477, ""genre"": ""ambient""}, {""count"": 384, ""genre"": ""rock""}, {""count"": 302, ""genre"": ""indie pop""}], ""updatedAt"": ""2026-09-16T19:12:56.664Z"", ""sampleSize"": 10139, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T19:10:47.559Z"", ""excludedCount"": 358, ""genreCoverage"": 0.2654305308610617, ""readinessTier"": ""ready"", ""resolvedCount"": 7874, ""resolutionRate"": 0.7766051878883519, ""datedTrackCount"": 7205, ""genreTaggedCount"": 2090, ""uniqueTrackCount"": 672, ""uniqueArtistCount"": 328, ""unknownGenreCount"": 5784, ""datedTrackCoverage"": 0.9150368300736601}",curated,radio_browser,,f
1A Radio — 2000s,rb-1defd57a-bf9c-11e9-8502-52543be04c81,1A Radio,DE,https://www.1aradio.com/,"[""2000s"", ""era"", ""specialist""]","1A Radio bietet f&uuml;r jeden Geschmack das richtige Programm: Schlager, Volksmusik, aktuelle Hits, Oldies der 60er, 70er, 80er und 90er &ndash; hier",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:30:44.777Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,curated,automated,f
1LIVE Fiehe,1live-fiehe,,Germany,https://www1.wdr.de/radio/1live/on-air/sendungen/1live-fiehe/index.html,"[""1 live"", ""1 live fiehe"", ""ambient"", ""drum and bass"", ""dubstep"", ""freestyle"", ""klaus fiehe"", ""krautrock"", ""minimal"", ""raum und zeit""]","Für viele ist er der &#034;deutsche John Peel&#034;, er selbst fühlt sich als &#034;der Typ, der korrektes Zeug auflegt&#034;. Klaus Fiehe impft unsere mainstreamtauben Ohren mit hochdosierten Tracks zwischen Break- und Straight Beats.",,"{""top"": [], ""updatedAt"": ""2026-09-16T19:15:52.270Z"", ""sampleSize"": 0, ""windowDays"": 90, ""latestSpinAt"": null, ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,mixed,f
24-7 Psychedelic Rock,24-7-psychedelic-rock,,The United Kingdom Of Great Britain And Northern Ireland,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/,"[""psychedelic"", ""psychedelic rock""]",24-7 Psychedelic Rock | Niche Radio,"{""top"": [{""count"": 367, ""genre"": ""rock""}, {""count"": 264, ""genre"": ""psychedelic rock""}, {""count"": 222, ""genre"": ""classic rock""}, {""count"": 131, ""genre"": ""progressive rock""}, {""count"": 102, ""genre"": ""folk rock""}, {""count"": 88, ""genre"": ""pop""}, {""count"": 64, ""genre"": ""blues rock""}, {""count"": 63, ""genre"": ""pop rock""}], ""totalCount"": 2443, ""unknownCount"": 1956}","{""top"": [{""count"": 364, ""genre"": ""rock""}, {""count"": 261, ""genre"": ""psychedelic rock""}, {""count"": 219, ""genre"": ""classic rock""}, {""count"": 131, ""genre"": ""progressive rock""}, {""count"": 102, ""genre"": ""folk rock""}, {""count"": 88, ""genre"": ""pop""}, {""count"": 63, ""genre"": ""pop rock""}, {""count"": 61, ""genre"": ""blues rock""}], ""updatedAt"": ""2026-09-16T19:15:53.362Z"", ""sampleSize"": 3253, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:29:40.154Z"", ""excludedCount"": 47, ""genreCoverage"": 0.2020033388981636, ""readinessTier"": ""ready"", ""resolvedCount"": 2396, ""resolutionRate"": 0.736550876114356, ""datedTrackCount"": 2208, ""genreTaggedCount"": 484, ""uniqueTrackCount"": 688, ""uniqueArtistCount"": 127, ""unknownGenreCount"": 1912, ""datedTrackCoverage"": 0.9215358931552587}",curated,radio_browser,,f
2o ΠΑΡΑΔΟΣΙΑΚΑ,2o,,Greece,https://www.ertecho.gr/radio/deytero-paradosiaka/,"[""folk""]",,,"{""top"": [], ""updatedAt"": ""2026-09-16T19:27:40.302Z"", ""sampleSize"": 19, ""windowDays"": 90, ""latestSpinAt"": ""2026-07-30T14:40:23.834Z"", ""excludedCount"": 0, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,,f
4Drive Jazz,4drive-jazz,,Portugal,https://4drivejazz.wixsite.com/radio,"[""jazz fusion"", ""nu-jazz"", ""smooth jazz""]",4Drive Jazz Home Page | Radio,"{""top"": [{""count"": 166, ""genre"": ""jazz""}, {""count"": 138, ""genre"": ""smooth jazz""}, {""count"": 44, ""genre"": ""contemporary jazz""}, {""count"": 18, ""genre"": ""instrumental jazz""}, {""count"": 18, ""genre"": ""jazz fusion""}, {""count"": 14, ""genre"": ""new age""}, {""count"": 10, ""genre"": ""jazz-funk""}, {""count"": 6, ""genre"": ""big band""}], ""totalCount"": 1459, ""unknownCount"": 1289}","{""top"": [{""count"": 166, ""genre"": ""jazz""}, {""count"": 138, ""genre"": ""smooth jazz""}, {""count"": 44, ""genre"": ""contemporary jazz""}, {""count"": 18, ""genre"": ""instrumental jazz""}, {""count"": 18, ""genre"": ""jazz fusion""}, {""count"": 14, ""genre"": ""new age""}, {""count"": 10, ""genre"": ""jazz-funk""}, {""count"": 6, ""genre"": ""big band""}], ""updatedAt"": ""2026-09-16T19:11:20.655Z"", ""sampleSize"": 4235, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:32:36.060Z"", ""excludedCount"": 7, ""genreCoverage"": 0.11691884456671252, ""readinessTier"": ""ready"", ""resolvedCount"": 1454, ""resolutionRate"": 0.3433293978748524, ""datedTrackCount"": 1298, ""genreTaggedCount"": 170, ""uniqueTrackCount"": 720, ""uniqueArtistCount"": 363, ""unknownGenreCount"": 1284, ""datedTrackCoverage"": 0.8927097661623109}",curated,radio_browser,,f
5MBS 99.9FM,5mbs-99-9fm,,Australia,https://5mbs.com/,"[""world"", ""adelaide"", ""blues"", ""classical"", ""jazz"", ""world music""]",South Australia’s Music Broadcasting Society,"{""top"": [], ""totalCount"": 3, ""unknownCount"": 3}","{""top"": [], ""updatedAt"": ""2026-09-16T19:19:34.059Z"", ""sampleSize"": 196, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T08:36:19.718Z"", ""excludedCount"": 172, ""genreCoverage"": 0, ""readinessTier"": ""insufficient"", ""resolvedCount"": 0, ""resolutionRate"": 0, ""datedTrackCount"": 0, ""genreTaggedCount"": 0, ""uniqueTrackCount"": 0, ""uniqueArtistCount"": 0, ""unknownGenreCount"": 0, ""datedTrackCoverage"": 0}",curated,radio_browser,mixed,f
6forty Radio,6forty-radio,,The United States Of America,http://www.6fortyradio.com/,"[""deep indie"", ""modern classical"", ""post-metal"", ""post-rock"", ""shoegaze""]",,"{""top"": [{""count"": 245, ""genre"": ""rock""}, {""count"": 221, ""genre"": ""post-rock""}, {""count"": 77, ""genre"": ""electronic""}, {""count"": 58, ""genre"": ""ambient""}, {""count"": 47, ""genre"": ""experimental""}, {""count"": 46, ""genre"": ""indie rock""}, {""count"": 33, ""genre"": ""instrumental""}, {""count"": 31, ""genre"": ""shoegaze""}], ""totalCount"": 1997, ""unknownCount"": 1699}","{""top"": [{""count"": 245, ""genre"": ""rock""}, {""count"": 221, ""genre"": ""post-rock""}, {""count"": 77, ""genre"": ""electronic""}, {""count"": 58, ""genre"": ""ambient""}, {""count"": 47, ""genre"": ""experimental""}, {""count"": 46, ""genre"": ""indie rock""}, {""count"": 33, ""genre"": ""instrumental""}, {""count"": 31, ""genre"": ""shoegaze""}], ""updatedAt"": ""2026-09-16T19:15:10.877Z"", ""sampleSize"": 3790, ""windowDays"": 90, ""latestSpinAt"": ""2026-09-16T11:34:22.463Z"", ""excludedCount"": 6, ""genreCoverage"": 0.1492985971943888, ""readinessTier"": ""ready"", ""resolvedCount"": 1996, ""resolutionRate"": 0.5266490765171504, ""datedTrackCount"": 1926, ""genreTaggedCount"": 298, ""uniqueTrackCount"": 1509, ""uniqueArtistCount"": 896, ""unknownGenreCount"": 1698, ""datedTrackCoverage"": 0.9649298597194389}",curated,radio_browser,,f
