name,slug,org,country,homepage_url,homepage_blurb,tags,hidden,standard_score,exact_crossings,artist_crossings
Chill Lounge Florida (USA) 128k mp3,chill-lounge-florida-usa-128k-mp3,,The United States Of America,https://vip2.fastcast4u.com/proxy/chillfla?mp=/1,,"[""ambient"",""chill"",""chillout"",""lounge""]",t,,,
CoSTa's Ambient Radio,costa-s-ambient-radio,,Poland,https://pc.costa-server.info.pl:11020/public/costas_ambient_radio,,"[""ambient"",""electronic"",""psybient""]",f,,,
Concertzender De Gehoorde Stilte,concertzender-de-gehoorde-stilte,,The Netherlands,https://www.concertzender.nl/programma_genre/hedendaagse-muziek/,De Concertzender is er voor muziekliefhebbers die het avontuur niet schuwen. Onder het motto,"[""ambient""]",f,,,
Concertzender X-Rated,concertzender-x-rated,,The Netherlands,https://www.concertzender.nl/programma_genre/crosslinks/,De Concertzender is er voor muziekliefhebbers die het avontuur niet schuwen. Onder het motto,"[""ambient"",""avant-garde"",""electronics"",""experimental"",""industrial""]",f,,,
Cryosleep,cryosleep,,The United States Of America,http://www.echoesofbluemars.org/cryosleep.php,,"[""ambient"",""calm"",""music"",""nobeat"",""sleep"",""space""]",f,,,
DARK ZERO RADIO,dark-zero-radio,,Germany,https://dark-zero-radio.com/,"Dark-Zero-Radio is an online radio station based in Germany, specializing in Darkwave, EBM, Futurepop, Gothic Rock, Industrial, New Beat, New Wave, Post-Punk, Synthpop, NDH, and Melodic Rock. Founded in March 2018, it delivers an exciting mix of alternative and underground music ","[""dark wave"",""ebm"",""futurepop"",""gothic"",""gothic-rock"",""industrial"",""new beat."",""new wave"",""post-punk"",""synth-pop""]",f,,,
DEEP IN SPACE,deep-in-space,,The Russian Federation,https://deepinspace.ru/,DEEP IN SPACE - space travel music. Музыка для космических путешествий,"[""ambi"",""ambient"",""chillout"",""deep space"",""space music""]",f,,,
DJ 666 Geordieblackcore,dj-666-geordieblackcore,,,https://laut.fm/dj666geordieblackcore,,"[""black metal"",""crust"",""death metal"",""folk"",""folk metal"",""gore metal"",""grindcore"",""pagan black metal"",""punk"",""thrash metal""]",f,,,
Darksynth Radio,darksynth-radio,,Austria,https://laut.fm/darksynthradio,,"[""electronic"",""80s"",""darkwave"",""electropop"",""gothic"",""industrial"",""minimal wave"",""synthpop""]",f,,,
Deep Radio,deep-radio,,The Netherlands,https://deep.radio/,"Wij zijn Deep, een legendarisch online dance radio station. We ademen al bijna 20 jaar dancemuziek. Ons hart klopt 24 uur per dag in een vette beat. Probeer daar maar eens stil bij te blijven zitten! Overal te beluisteren via https://deep.radio","[""ambient"",""dance"",""deep house"",""downtempo"",""edm"",""house"",""nu-jazz"",""progressive"",""techno""]",f,,,
Dublab,dublab,Dublab,US,https://dublab.com,dublab,"[""anchor"",""specialist""]",f,,,
EBM,ebm,,Germany,https://flatlinesradio.de/,,"[""dark wave"",""ebm"",""electronic"",""electronica"",""experimental"",""industrial"",""martial industrial"",""new wave""]",f,,,
EPIC CLASSICAL - Classical Dinner,epic-classical-classical-dinner,,Germany,https://epic-classical.com/,,"[""ambient"",""chillout"",""classical"",""classical piano"",""jazz"",""klassik"",""lounge"",""piano"",""synth""]",f,,,
EPIC CLASSICAL - Classical Oldies,epic-classical-classical-oldies,,Germany,https://epic-classical.com/,,"[""ambient"",""ambiente"",""classic"",""goldies"",""jazz"",""klassik"",""new classics"",""oldies"",""piano"",""relax""]",f,,,
EPIC CLASSICAL - Classical Study,epic-classical-classical-study,,Germany,https://epic-classical.com/,,"[""adult contemporary"",""ambient"",""chillout"",""chillout+lounge"",""classical"",""jazz"",""klassik"",""music for study""]",t,,,
Echoes of Bluemars,echoes-of-bluemars,,The United States Of America,http://www.echoesofbluemars.org/bluemars.php,,"[""ambient"",""bluemars"",""mars"",""music"",""space""]",f,,,
ElectroZombies,electrozombies,,Germany,https://electrozombies.com/,"Your no.1 place for classic to contemporary synth pop music. Discover music videos, album reviews, and more of your beloved music genre.","[""darkwave"",""ebm"",""electropop"",""futurepop"",""gothic"",""industrial"",""new wave"",""synthpop""]",f,,,
Elektronisch Querbeat,elektronisch-querbeat,,Germany,http://laut.fm/elektronisch_querbeat,,"[""abstract"",""ambient"",""broken beat"",""dubstep"",""glitch"",""idm""]",f,,,
Euro Smooth Jazz,euro-smooth-jazz,,Germany,http://eurosmoothjazz.com/,"Aktueller Song, Playlist und Infos zu Euro Smoothjazz.","[""ambient"",""lounge"",""smooth jazz""]",f,,,
Experimentalgems,experimentalgems,,Germany,https://laut.fm/experimentalgems,,"[""ambient"",""avantgarde"",""drone"",""electronic"",""experimental"",""jazz""]",f,,,
FBi Radio,fbi-radio,Free Broadcast Inc.,AU,https://www.fbi.radio/,The beating heart of Sydney music.,"[""community"",""emerging artists"",""indie""]",f,,,
Flatlines Radio,flatlines-radio,,Germany,https://www.flatlinesradio.de/,,"[""darkwave"",""ebm"",""folk"",""gothic"",""industrial"",""melodic rock"",""metal"",""mittelalter"",""neofolk"",""new wave"",""post-punk""]",f,,,
GDS.FM,gds-fm,,Switzerland,http://www.gds.fm/,"GDS.FM ist eine wichtige Plattform für hiesige Musikschaffende und sendet nonstop besten Sound ohne mühsame Werbeunterbrechungen. Seit 2014 setzen wir uns dafür ein, dass die kulturelle Vielfalt, die das Schweizer Nachtleben zu bieten hat, auch über Radio zugänglich gemacht wird.","[""acid-house"",""experimental"",""hiphop"",""indie rock"",""nu-jazz"",""trip hop""]",f,,,
Glacer FM,glacer-fm,Glacer FM,US,https://www.glacerfm.com/,Glacer FM is the The #1 Global Internet Radio Station focusing on Unsigned and Independent Music in all genres. We engage an audience of music enthusiasts.,"[""discovery"",""indie"",""unsigned artists""]",f,,,
HEXX 9 Radio,hexx-9-radio,,The United States Of America,http://hexx9.com/,", d▲rkk r▲ve vvIŧCђ ┼E̢͏̫̤̫̙͙͕̥̪ΛΛple of ڳad , deth┼ec, l͚̤͔͖̼͔̩ow tape, EVP, dea┼h trvcks","[""ambient"",""darkwave"",""ebm"",""film"",""gothic"",""witch house"",""witchhouse""]",f,,,
HighFi Dream,highfi-dream,,The United States Of America,https://highfidream.com/,High Fi Dream 92.3FM HD4 - Your musical dreams curated.,"[""alternative / indie"",""dream pop"",""dream-pop"",""electronic"",""house/soulful/deep house"",""indie"",""melodic house"",""neo soul"",""neo-soul"",""new wave"",""post punk"",""psychedelic"",""shoegaze"",""synthpop"",""synthwave"",""trip-hop""]",f,,,
Hirschmilch Radio,hirschmilch-radio,,Germany,https://hirschmilch.de:7001/chillout.mp3,,"[""ambient"",""chillout"",""relax""]",f,,,
Journeyscapes Radio,journeyscapes-radio,,Canada,https://www.journeyscapesradio.com/,"Chillout internet radio station for ambient, space, downtempo, ethereal & ethno-electronica, plus music reviews, artist interviews and more!","[""ambient"",""chillout""]",f,,,
KFJC 89.7 FM,kfjc,Foothill College,US,https://kfjc.org,"KFJC 89.7 FM in Los Altos Hills, California, is a volunteer-run radio station serving the Bay Area with live DJs playing a freeform mix of new music, audio art, and experimental sounds found nowhere else.","[""college""]",f,,,
KUVO 89.3 FM,kuvo,KUVO,US,https://www.kuvo.org/,"Since 1985, KUVO JAZZ – an independent, public radio station – has provided a rare blend of music and news.","[""public""]",f,,,
Kapitał,kapita,,Poland,https://radiokapital.pl/,Pierwsze radio społecznościowe w Polsce.,"[""ambient"",""comunity"",""techno""]",f,,,
Kiosk Radio,kiosk-radio,Kiosk Radio,BE,https://www.kioskradio.com/,"Kiosk Radio is a community web radio station and streaming platform broadcasting 24/7 from a wooden kiosk in the heart of Brussels&#x27; historic &#x27;Parc Royal&#x27;. Since 2017, it&#x27;s been a place where music drifts between genres without boundaries or rules.","[""club"",""electronic"",""experimental"",""specialist""]",f,,,
Kool FM,kool-fm,Rinse FM,GB,https://www.rinse.fm/channels/kool,Rinse has dominated London’s radio airwaves for 30 years as a hub of the capital’s thriving urban music community,"[""breakbeat"",""drum and bass"",""jungle"",""specialist""]",f,,,
LYL Radio,lyl-radio,LYL Radio,FR,https://lyl.live/,We,"[""ambient"",""experimental"",""specialist""]",f,,,
Lahmacun Radio,lahmacun-radio,Lahmacun Radio,HU,https://lahmacun.hu/,Lahmacun.hu is an online music & more radio from Budapest since 2018,"[""electronic"",""experimental"",""specialist"",""world""]",f,,,
Laut.FM Chillout-Radio,laut-fm-chillout-radio,,Germany,https://laut.fm/chilloutradio,,"[""ambient"",""space""]",f,,,
Laut.FM Shoegaze,laut-fm-shoegaze,,Germany,https://laut.fm/shoegaze,,"[""ambient"",""dream pop"",""electro"",""indie"",""post-punk"",""rock"",""shoegaze""]",t,,,
Le Grigri,le-grigri,,France,https://www.le-grigri.com/,C&rsquo;était quoi cette track ? ON AIR Titre en cours de diffusion Lecteur audio Download on Follow us Facebook X-twitter Instagram DONATE Carte blanche Carte Blanche de Buck. 1h de sons sélectionnés par le sextet pour leur nouvel album. Listen now ↗ Last news Best album of the ,"[""african music"",""free jazz"",""hip-hop"",""jazz"",""world"",""world music""]",f,,,
MDR Sputnik Insomnia,mdr-sputnik-insomnia,,Germany,http://sputnik.de/sendungen/musikspecials/sputnik-insomnia--100.html,,"[""melancholic"",""psychedelic"",""slow""]",f,,,
Melodies Web Radio,melodies-web-radio,,Greece,https://melodieswebradio.wixsite.com/,,"[""ambient"",""ambient and relaxation music"",""jazz""]",f,,,
Memory Lane | NTS,memory-lane-nts,,The United Kingdom Of Great Britain And Northern Ireland,https://www.nts.live/infinite-mixtapes/memory-lane,"Turn on, tune in, drop out.","[""garage rock"",""psychedelic"",""soul""]",f,,,
Modular-Station,modular-station,,France,https://modular-station.com/,Modular Station &#8211; The Modular Music Radio,"[""ambient"",""electronic"",""experimental"",""modular synthesis"",""soundscape"",""techno""]",f,,,
NEOFOLK,neofolk,,Germany,https://flatlinesradio.de/,,"[""ambient"",""darkfolk"",""experimental"",""folk"",""industrial"",""martial industrial"",""mittelalter"",""neofolk"",""pagan"",""post-punk"",""post-rock""]",f,,,
Netil Radio,netil-radio,,The United Kingdom Of Great Britain And Northern Ireland,http://netilradio.com/,"Real life radio from residents, shows and DJ’s with stories and anecdotes of lives spent in music.","[""ambient"",""beats"",""breaks"",""disco"",""electro"",""electronic"",""hip-hop"",""house"",""reggae"",""techno""]",f,,,
Nightride FM - Datawave,nightride-fm-datawave,,Germany,https://nightride.fm/,"Stream synthwave and cyberpunk music from electronic artists producing retrowave, darksynth, ebm, dnb, edm, techno and other electronica in 320kbps.","[""glitchy synthwave"",""idm"",""retro computing""]",f,,,
OFFradio (320),offradio-320,,Greece,http://offradio.gr/,Turn your radio OFF και άκου #μουσικάρες στο δημοφιλέστερο streaming ραδιόφωνο στην Ελλάδα από το 2008.,"[""alternative"",""ambient"",""chillout"",""eclectic"",""indie"",""lounge"",""trip-hop"",""world"",""world music""]",f,,,
Planet Ambi HD,planet-ambi-hd,,Switzerland,https://planetambi.com/,Planet Ambi HD Radio. We provide 24/7 music for relaxation and sleep. Only the finest ambient soundscapes and no beats. Relaxation in HD.,"[""ambient"",""drone""]",f,,,
Play Emotions,play-emotions,,Italy,,,"[""ambient"",""chill"",""relaxing""]",f,,,
PsyRadio Chillout,psyradio-chillout,,Germany,http://psyradio.fm/,"psyradio is an online webradio station. It broadcasts his finest selection of psychedelic electronic music 24 hours a day. It consists of four music channels: progressive, psytrance, chillout and alternative.","[""chillout"",""psychedelic""]",t,,,
PsyStream,psystream,,The United Kingdom Of Great Britain And Northern Ireland,http://psymusic.co.uk/,,"[""progressive"",""psychedelic"",""psytrance"",""trance""]",f,,,
RADCAP: AMBIENT DUB,radcap-ambient-dub,,The Russian Federation,http://radcap.ru/ambientdub.html,"Радиоканал RADCAP (RADio CAPrice) - AMBIENT DUB - стабильный эфир, хороший звук, качественный контент.","[""ambient"",""ambient dub""]",f,,,
RADCAP: ATMOSPHERIC / AMBIENT BLACK METAL,radcap-atmospheric-ambient-black-metal,,The Russian Federation,http://radcap.ru/aabmds.html,"Радиоканал RADCAP (RADio CAPrice) - ATMOSPHERIC / AMBIENT BLACK METAL - стабильный эфир, хороший звук, качественный контент.","[""ambient"",""ambient black metal"",""atmospheric ambient black metal"",""atmospheric black metal"",""black metal"",""metal"",""radio caprice""]",t,,,
RADCAP: DRONE AMBIENT,radcap-drone-ambient,,The Russian Federation,http://radcap.ru/droneambient.html,"Радиоканал RADCAP (RADio CAPrice) - DRONE AMBIENT - стабильный эфир, хороший звук, качественный контент.","[""ambient"",""drone"",""drone ambient""]",t,,,
RADCAP: INDUSTRIAL / DARK / RITUAL AMBIENT,radcap-industrial-dark-ritual-ambient,,The Russian Federation,http://radcap.ru/darkambient.html,"Радиоканал RADCAP (RADio CAPrice) - INDUSTRIAL / DARK / RITUAL AMBIENT - стабильный эфир, хороший звук, качественный контент.","[""ambient"",""dark ambient"",""industrial"",""ritual""]",f,,,
RADIO DIMENSIONE RELAX,radio-dimensione-relax,,Italy,https://rdastation.it/,,"[""ambient"",""ambient and relaxation music"",""ambient lounge"",""ambiental"",""chillout"",""chillout+lounge"",""deep ambient"",""italian music"",""jazz"",""lounge"",""lounge music"",""relax"",""smooth jazz"",""soft music""]",f,,,
RadiOzora,radiozora,,Hungary,https://radiozora.fm/,We are connected to the same frequency,"[""darkpsy"",""full-on"",""ozora"",""progressive psytrance"",""psychedelic"",""psytrance"",""trance""]",f,,,
RadiOzora Chill,radiozora-chill,,Hungary,https://radiozora.fm/,We are connected to the same frequency,"[""chill"",""chillout"",""downtempo"",""electronic"",""psychedelic"",""psychill""]",t,,,
Radio Caprice - Avant-Garde Jazz / Free Improvisation [2],radio-caprice-avant-garde-jazz-free-improvisation-2,,The Russian Federation,http://radcap.ru/avantgardejazz.html,"Радиоканал RADCAP (RADio CAPrice) - AVANT-GARDE JAZZ - стабильный эфир, хороший звук, качественный контент.","[""avant-garde"",""avant-garde jazz"",""free jazz"",""improvisation"",""radcap""]",t,,,
