name,slug,current_score,exact_7d,artist_7d,artist_facts,recording_mbids
Radio Armisa,radio-armisa,0,0,0,[],[]
Pro-Radio,pro-radio,0,0,0,[],[]
Radio Caprice - Krautrock,radio-caprice-krautrock,0,0,0,[],[]
Art Of Music,art-of-music,0,0,0,[],[]
SomaFM CliqHop IDM (256k MP3),somafm-cliqhop-idm-256k-mp3,0,0,0,[],[]
XWave Radio,xwave-radio,0,0,0,[],[]
SomaFM Sonic Universe (128k AAC),somafm-sonic-universe-128k-aac,0,0,0,[],[]
C Lab,c-lab,0,0,0,[],[]
"..87,5!. Nantes",87-5-nantes,0,0,0,[],[]
SLOBODNÝ VYSIELAČ,slobodn-vysiela,0,0,0,[],[]
SomaFM Boot Liquor (320k MP3),somafm-boot-liquor-320k-mp3,0,0,0,[],[]
SomaFM Boot Liquor (128k AAC),somafm-boot-liquor-128k-aac,0,0,0,[],[]
Rovinj FM,rovinj-fm,0,0,0,[],[]
WBRS 100.1 FM,wbrs,0,0,0,[],[]
WRAS 88.5 FM,wras,0,0,0,[],[]
WKNC 88.1 FM,wknc,0,0,0,[],[]
WDCE 90.1 FM,wdce,0,0,0,[],[]
WORT 89.9 FM,wort,0,0,0,[],[]
KDUR 91.9 FM,kdur,0,0,0,[],[]
KAOS 89.3 FM,kaos,0,0,0,[],[]
KCSM 91.1 FM,kcsm,0,0,0,[],[]
ByteFM,bytefm-192k,0,0,0,[],[]
Omroep Zeeland Radio,omroep-zeeland-radio,0,0,0,[],[]
Systrum Sistum - SSR2,systrum-sistum-ssr2,0,0,0,[],[]
SWISS GROOVE,swiss-groove,0,0,0,[],[]
JAMM FM,jamm-fm,0,0,0,[],[]
East Tennessee's Own WDVX 89.9 FM,east-tennessee-s-own-wdvx-89-9-fm,0,0,0,[],[]
aNONradio,anonradio,0,0,0,[],[]
SomaFM SF 10-33 (128k MP3),somafm-sf-10-33-128k-mp3,0,0,0,[],[]
Radio Paradise World/etc FLAC+meta,radio-paradise-world-etc-flac-meta,0,0,0,[],[]
Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,0,0,0,[],[]
6forty Radio,6forty-radio,0,0,0,[],[]
Tukker FM,tukker-fm,0,0,0,[],[]
dinamo.fm smog,dinamo-fm-smog,0,0,0,[],[]

